 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)
61	60.000	61.000	15.925	21.970	16.575	20.670	7.975	1.453	1.224	9.760	0.106	0.087	-0.087	61.000	17.290	21.775	17.420	17.615	8.142	4.162	4.160	33.868	0.591	0.260	-0.327	61.000	20.345	26.910	29.835	20.865	4.661	11.252	11.158	52.001	-0.376	-0.289	0.035	61.000	23.660	28.665	36.790	27.625	7.000	13.171	13.108	91.750	0.040	NaN	-0.065	61.000	13.650	29.705	8.645	27.950	3.126	5.304	5.105	15.958	0.165	0.123	0.083	61.000	23.985	31.655	31.525	32.955	7.425	7.651	7.634	56.683	-0.074	NaN	0.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
62	61.000	62.000	15.860	22.165	16.575	20.540	10.517	1.775	1.688	17.749	0.464	0.119	-0.205	62.000	17.290	21.775	17.420	17.485	11.132	4.292	4.212	46.889	0.052	0.130	NaN	62.000	21.190	25.870	29.835	20.865	9.288	9.989	9.571	88.902	-1.586	NaN	1.252	62.000	23.725	28.665	36.660	27.560	9.748	12.982	12.266	119.568	-0.841	-0.124	0.065	62.000	13.780	29.640	8.580	27.885	3.166	5.488	3.366	10.655	-1.739	0.082	-0.102	62.000	24.115	31.720	31.525	32.955	9.339	7.512	7.254	67.752	-0.379	NaN	0.139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
63	62.000	63.000	15.730	22.230	16.640	20.475	7.942	1.977	1.611	12.798	-0.076	0.088	-0.118	63.000	17.225	22.295	17.550	17.225	7.810	5.080	5.080	39.673	0.868	0.268	-0.523	63.000	21.060	26.065	29.835	20.865	5.839	10.200	9.939	58.030	0.367	NaN	-0.211	63.000	23.725	28.665	36.595	27.560	7.037	12.917	12.826	90.254	0.560	-0.065	NaN	63.000	13.780	29.575	8.580	27.885	3.099	5.468	5.410	16.765	2.044	NaN	0.020	63.000	24.180	31.720	31.590	32.955	7.523	7.512	7.502	56.433	0.247	0.064	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
64	63.000	64.000	15.730	22.295	16.640	20.345	7.878	2.152	1.803	14.204	0.192	0.118	-0.059	64.000	17.160	22.490	17.550	17.160	7.612	5.344	5.342	40.661	0.262	0.065	-0.199	64.000	20.995	26.325	29.835	20.865	5.614	10.390	10.217	57.359	0.278	NaN	-0.192	64.000	23.725	28.665	36.660	27.495	7.037	12.988	12.903	90.795	0.077	0.071	NaN	64.000	13.780	29.640	8.515	27.950	3.089	5.530	5.457	16.854	0.047	0.042	-0.020	64.000	24.115	31.720	31.590	32.955	7.459	7.576	7.565	56.425	0.063	NaN	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
65	64.000	65.000	15.730	22.230	16.705	20.280	7.791	2.180	1.749	13.626	-0.054	0.087	0.058	65.000	17.160	22.555	17.550	17.030	7.345	5.539	5.528	40.606	0.186	0.130	-0.065	65.000	21.060	26.455	29.835	20.865	5.253	10.404	10.290	54.050	0.074	NaN	-0.015	65.000	23.920	28.730	36.725	27.560	6.925	12.858	12.819	88.763	-0.084	0.059	0.188	65.000	13.845	29.575	8.645	28.015	3.266	5.429	5.329	17.407	-0.127	-0.143	-0.044	65.000	24.245	31.720	31.590	32.955	7.378	7.448	7.423	54.764	-0.142	NaN	0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
66	65.000	66.000	15.665	22.295	16.705	20.215	7.715	2.326	1.875	14.466	0.126	0.058	-0.087	66.000	17.095	22.750	17.615	16.900	7.151	5.873	5.858	41.895	0.330	0.135	-0.200	66.000	20.865	26.520	29.770	20.930	5.161	10.514	10.390	53.624	0.100	-0.090	-0.200	66.000	24.050	28.665	36.725	27.495	7.192	12.729	12.688	91.247	-0.131	0.006	0.135	66.000	13.780	29.705	8.970	28.145	3.191	5.057	4.896	15.624	-0.433	-0.349	0.022	66.000	23.985	31.655	31.525	32.955	7.236	7.651	7.630	55.212	0.208	-0.064	-0.267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
67	66.000	67.000	15.470	22.620	16.705	20.215	7.727	2.704	2.149	16.604	0.274	NaN	-0.378	67.000	17.160	22.685	17.550	16.900	7.547	5.798	5.796	43.746	-0.062	-0.004	0.069	67.000	20.670	26.975	29.250	21.125	5.027	10.385	10.328	51.917	-0.063	-0.539	-0.417	67.000	24.050	28.275	36.010	27.755	7.474	11.971	11.681	87.305	-1.006	-0.726	0.017	67.000	13.195	29.315	9.035	28.145	3.752	4.321	4.320	16.207	-0.577	-0.063	0.669	67.000	23.920	31.590	31.590	32.955	7.215	7.791	7.790	56.205	0.160	0.064	-0.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
68	67.000	68.000	15.275	22.880	16.705	20.215	7.509	3.024	2.310	17.344	0.161	NaN	-0.321	68.000	17.160	22.620	17.550	16.705	7.612	5.928	5.926	45.110	0.130	0.195	0.065	68.000	20.475	27.170	29.185	21.125	4.752	10.602	10.558	50.172	0.230	-0.053	-0.271	68.000	23.790	28.535	35.750	27.690	7.157	11.990	11.821	84.610	0.140	-0.255	-0.278	68.000	13.325	29.250	9.100	28.145	3.643	4.367	4.367	15.907	0.047	-0.063	-0.109	68.000	23.855	31.590	31.590	32.955	7.151	7.855	7.853	56.163	0.064	NaN	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
69	68.000	69.000	15.210	22.945	16.640	20.280	7.523	3.024	2.293	17.251	-0.017	-0.088	-0.088	69.000	17.095	22.750	17.615	16.510	7.544	6.262	6.254	47.185	0.328	0.200	-0.135	69.000	20.345	27.300	29.185	21.125	4.611	10.783	10.734	49.492	0.176	NaN	-0.181	69.000	23.790	28.600	35.685	27.755	7.157	11.925	11.758	84.158	-0.063	-0.069	-0.005	69.000	13.455	29.250	9.100	28.210	3.536	4.477	4.468	15.802	0.102	-0.015	-0.126	69.000	23.855	31.590	31.525	32.955	7.139	7.791	7.790	55.618	-0.063	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70	69.000	70.000	15.210	23.075	16.705	20.345	7.362	3.113	2.295	16.896	0.002	-0.026	-0.114	70.000	17.095	22.750	17.615	16.380	7.476	6.391	6.378	47.683	0.124	0.130	NaN	70.000	20.085	27.430	29.120	21.125	4.189	11.017	10.937	45.812	0.203	-0.053	-0.288	70.000	23.725	28.600	35.750	27.690	6.953	12.059	11.905	82.768	0.146	0.070	-0.065	70.000	13.650	29.315	9.100	28.145	3.438	4.698	4.697	16.148	0.229	0.016	-0.205	70.000	23.920	31.590	31.525	32.955	7.088	7.727	7.726	54.756	-0.065	NaN	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71	70.000	71.000	15.080	23.335	16.705	20.345	6.973	3.403	2.416	16.849	0.121	NaN	-0.291	71.000	17.095	22.750	17.550	16.185	7.280	6.581	6.569	47.823	0.191	0.190	NaN	71.000	20.020	27.430	29.185	21.125	3.962	11.124	11.053	43.796	0.117	0.054	-0.054	71.000	23.465	28.665	35.750	27.690	6.578	12.324	12.220	80.385	0.315	NaN	-0.264	71.000	13.585	29.315	9.100	28.145	3.518	4.635	4.629	16.287	-0.068	NaN	0.063	71.000	23.855	31.525	31.525	32.955	6.987	7.802	7.798	54.486	0.073	NaN	-0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
72	71.000	72.000	15.015	23.400	16.705	20.345	7.483	3.491	2.676	20.022	0.259	NaN	-0.088	72.000	17.095	22.750	17.615	15.925	8.021	6.845	6.845	54.904	0.276	0.264	NaN	72.000	19.955	27.495	29.185	21.125	4.784	11.215	11.100	53.100	0.047	NaN	-0.090	72.000	23.400	28.795	35.945	27.690	7.223	12.594	12.378	89.405	0.158	0.194	-0.076	72.000	13.455	29.315	9.100	28.145	3.314	4.509	4.434	14.695	-0.196	NaN	0.126	72.000	23.855	31.525	31.525	32.890	7.451	7.791	7.771	57.899	-0.028	-0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
73	72.000	73.000	14.885	23.530	16.705	20.410	7.143	3.612	2.529	18.066	-0.147	-0.056	-0.178	73.000	17.030	23.010	17.680	15.665	7.415	7.374	7.363	54.595	0.519	0.265	-0.265	73.000	19.955	27.495	28.795	21.320	4.324	10.783	10.688	46.217	-0.413	-0.431	NaN	73.000	23.335	28.795	36.010	27.690	6.763	12.723	12.569	85.007	0.192	0.065	-0.065	73.000	13.195	29.250	9.100	28.145	3.762	4.241	4.236	15.932	-0.198	NaN	0.268	73.000	23.855	31.525	31.590	32.955	7.171	7.866	7.863	56.383	0.092	0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74	73.000	74.000	15.015	23.335	16.705	20.345	7.189	3.435	2.465	17.720	-0.064	0.057	0.234	74.000	17.095	22.815	17.680	15.340	7.480	7.498	7.491	56.028	0.128	0.324	0.199	74.000	20.020	27.495	28.795	21.320	4.237	10.730	10.668	45.208	-0.019	NaN	0.053	74.000	23.270	28.795	36.075	27.690	6.606	12.853	12.723	84.052	0.154	0.065	-0.065	74.000	13.455	29.380	9.100	28.145	3.500	4.527	4.526	15.844	0.291	NaN	-0.286	74.000	23.790	31.460	31.590	32.955	7.053	7.942	7.940	55.998	0.077	NaN	-0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
75	74.000	75.000	14.950	23.400	16.705	20.345	6.907	3.523	2.359	16.292	-0.106	NaN	-0.089	75.000	17.095	22.750	17.810	15.145	7.215	7.639	7.605	54.870	0.114	0.206	0.065	75.000	20.020	27.495	28.795	21.320	3.828	10.730	10.688	40.919	0.020	NaN	NaN	75.000	23.725	28.600	36.075	27.625	6.769	12.388	12.293	83.211	-0.430	0.005	0.469	75.000	13.325	29.315	9.100	28.145	3.826	4.384	4.362	16.689	-0.164	NaN	0.143	75.000	23.855	31.525	31.590	32.955	6.938	7.866	7.858	54.519	-0.081	NaN	0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
76	75.000	76.000	14.885	23.530	16.640	20.345	6.865	3.637	2.451	16.824	0.092	-0.031	-0.145	76.000	17.095	22.880	17.810	15.015	7.150	7.897	7.865	56.235	0.260	0.129	-0.129	76.000	19.955	27.495	28.795	21.320	3.822	10.783	10.711	40.936	0.023	NaN	-0.053	76.000	23.465	28.665	36.205	27.690	6.515	12.777	12.661	82.485	0.369	0.125	-0.264	76.000	13.325	29.315	9.100	28.145	3.837	4.384	4.369	16.765	0.007	NaN	NaN	76.000	23.855	31.525	31.590	32.955	6.923	7.866	7.861	54.426	0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
77	76.000	77.000	14.950	23.465	16.640	20.280	6.804	3.606	2.463	16.761	0.013	0.057	0.088	77.000	17.160	22.750	17.810	14.950	7.150	7.827	7.800	55.770	-0.065	0.065	0.135	77.000	19.890	27.495	28.795	21.320	3.638	10.836	10.764	39.162	0.052	NaN	-0.053	77.000	23.400	28.665	36.270	27.690	6.361	12.907	12.814	81.513	0.153	0.065	-0.065	77.000	13.520	29.315	9.165	28.145	3.687	4.509	4.485	16.537	0.116	-0.063	-0.188	77.000	23.855	31.460	31.525	32.955	6.874	7.814	7.809	53.683	-0.052	-0.064	-0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
78	77.000	78.000	14.885	23.725	16.575	20.215	6.805	3.896	2.852	19.410	0.389	0.030	-0.262	78.000	17.160	22.750	17.875	15.080	7.480	7.703	7.690	57.519	-0.110	-0.123	NaN	78.000	19.890	27.495	28.860	21.320	4.049	10.890	10.788	43.678	0.024	0.054	NaN	78.000	23.140	28.665	36.075	27.755	6.432	12.967	12.770	82.134	-0.045	-0.199	-0.259	78.000	13.390	29.315	9.100	28.145	3.626	4.447	4.446	16.123	-0.039	0.063	0.125	78.000	23.855	31.460	31.590	32.955	7.064	7.878	7.877	55.643	0.068	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
79	78.000	79.000	14.950	23.790	16.575	19.955	6.476	4.165	3.168	20.512	0.315	0.239	-0.034	79.000	17.290	22.295	17.810	15.080	7.680	7.234	7.232	55.542	-0.458	-0.005	0.463	79.000	19.760	27.560	28.860	21.320	3.737	11.034	10.981	41.033	0.193	NaN	-0.144	79.000	22.880	28.795	36.010	27.755	6.093	13.171	13.085	79.734	0.316	-0.065	-0.269	79.000	13.520	29.315	9.100	28.145	3.442	4.572	4.561	15.700	0.115	NaN	-0.126	79.000	23.920	31.525	31.590	32.955	7.191	7.802	7.798	56.074	-0.080	NaN	0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
80	79.000	80.000	15.015	23.725	16.575	19.825	8.775	4.200	3.900	34.223	0.732	0.121	0.084	80.000	17.290	22.490	17.810	15.080	10.265	7.428	7.341	75.357	0.109	NaN	-0.195	80.000	19.760	27.625	28.860	21.255	6.803	11.108	10.912	74.233	-0.069	0.037	-0.037	80.000	22.880	28.730	35.880	27.755	8.722	13.037	12.144	105.921	-0.941	-0.130	0.005	80.000	13.455	29.380	9.100	28.145	3.488	4.527	3.052	10.647	-1.509	NaN	0.045	80.000	23.920	31.525	31.590	32.890	8.958	7.791	7.476	66.970	-0.322	-0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
81	80.000	81.000	15.080	23.855	16.575	19.760	6.420	4.359	3.530	22.663	-0.370	0.061	-0.100	81.000	17.355	22.295	17.810	15.210	7.752	7.100	7.100	55.039	-0.241	-0.130	0.199	81.000	19.695	27.625	28.795	21.320	3.737	11.071	11.023	41.190	0.111	-0.090	-0.053	81.000	22.620	28.730	35.555	27.755	5.929	12.972	12.834	76.096	0.690	-0.324	-0.259	81.000	13.455	29.250	9.100	28.145	3.469	4.493	4.492	15.582	1.440	NaN	0.032	81.000	23.855	31.460	31.590	32.955	7.164	7.878	7.878	56.438	0.402	0.012	-0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
82	81.000	82.000	15.145	23.790	16.575	19.825	6.685	4.215	3.522	23.542	-0.009	-0.061	0.083	82.000	17.355	22.360	17.810	15.340	7.957	7.035	7.034	55.964	-0.066	-0.130	-0.065	82.000	19.500	27.820	28.600	21.450	3.730	11.108	11.037	41.168	0.014	-0.234	-0.272	82.000	23.725	28.665	35.490	27.755	7.206	11.800	11.667	84.069	-1.167	-0.065	1.107	82.000	13.455	29.250	9.100	28.145	3.412	4.493	4.485	15.303	-0.007	NaN	NaN	82.000	23.920	31.525	31.525	32.890	7.320	7.727	7.726	56.556	-0.151	-0.075	0.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
83	82.000	83.000	15.210	23.725	16.575	19.890	6.670	4.071	3.431	22.887	-0.090	-0.061	0.083	83.000	17.290	22.295	17.810	15.535	7.952	6.780	6.780	53.911	-0.254	-0.194	0.060	83.000	19.370	28.015	28.405	21.580	3.462	11.092	11.062	38.300	0.025	-0.234	-0.219	83.000	23.725	28.665	35.490	27.755	7.191	11.800	11.682	84.010	0.015	NaN	NaN	83.000	13.325	29.250	9.100	28.210	3.518	4.351	4.348	15.295	-0.137	-0.016	0.126	83.000	23.920	31.525	31.590	32.955	7.331	7.802	7.802	57.198	0.076	0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
84	83.000	84.000	15.145	23.790	16.640	19.825	6.606	4.237	3.524	23.280	0.092	0.084	-0.084	84.000	17.290	22.165	17.810	15.665	8.086	6.521	6.521	52.728	-0.259	-0.130	0.130	84.000	19.175	28.080	28.340	21.580	3.321	11.236	11.195	37.176	0.133	-0.053	-0.197	84.000	23.725	28.665	35.425	27.820	7.255	11.730	11.608	84.213	-0.074	-0.070	NaN	84.000	13.390	29.315	9.100	28.145	3.375	4.447	4.447	15.007	0.099	0.017	-0.080	84.000	23.985	31.525	31.460	32.955	7.459	7.611	7.610	56.763	-0.192	-0.128	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
85	84.000	85.000	15.340	23.400	16.640	19.630	6.896	3.988	3.438	23.711	-0.086	0.184	0.432	85.000	17.290	22.100	17.810	15.795	8.081	6.326	6.326	51.123	-0.195	-0.130	0.065	85.000	19.240	28.015	28.340	21.580	3.321	11.145	11.103	36.872	-0.092	NaN	0.091	85.000	23.725	28.665	35.295	27.885	7.177	11.596	11.479	82.388	-0.129	-0.134	NaN	85.000	13.390	29.380	9.100	28.145	3.406	4.464	4.459	15.185	0.012	NaN	-0.018	85.000	23.985	31.525	31.460	32.955	7.407	7.611	7.611	56.370	6.779E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
86	85.000	86.000	15.210	23.725	16.705	19.500	8.846	4.482	4.277	37.835	0.839	0.144	-0.350	86.000	17.290	22.035	17.745	15.860	10.801	6.192	6.121	66.117	-0.205	-0.070	0.065	86.000	19.305	28.015	28.340	21.580	6.343	11.092	10.911	69.214	-0.192	NaN	0.053	86.000	23.660	28.730	35.230	27.885	9.576	11.601	10.940	104.767	-0.539	-0.065	-0.070	86.000	13.390	29.315	9.165	28.145	3.577	4.384	2.829	10.119	-1.630	-0.063	0.017	86.000	23.985	31.525	31.460	32.955	9.159	7.611	7.264	66.535	-0.346	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
87	86.000	87.000	15.275	23.465	16.705	19.435	6.637	4.276	3.557	23.609	-0.720	0.061	0.267	87.000	17.290	21.970	17.745	15.925	7.940	6.062	6.060	48.114	-0.061	-0.065	0.065	87.000	19.305	27.950	28.405	21.515	3.096	11.145	11.121	34.434	0.210	0.091	0.038	87.000	23.725	28.665	35.100	27.885	6.936	11.402	11.332	78.598	0.392	-0.130	0.069	87.000	13.390	29.250	9.165	28.145	3.570	4.367	4.356	15.548	1.527	NaN	0.016	87.000	23.985	31.525	31.460	32.955	7.269	7.611	7.606	55.284	0.341	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
88	87.000	88.000	15.210	23.465	16.770	19.240	6.352	4.504	3.542	22.498	-0.015	0.205	-0.023	88.000	17.355	21.840	17.745	15.990	7.672	5.863	5.858	44.946	-0.202	-0.065	0.134	88.000	19.240	27.950	28.405	21.580	2.600	11.161	11.154	29.000	0.033	-0.037	-0.053	88.000	23.725	28.665	34.970	27.885	6.619	11.272	11.253	74.483	-0.080	-0.130	NaN	88.000	13.520	29.250	9.165	28.145	3.649	4.493	4.423	16.140	0.067	NaN	-0.126	88.000	23.985	31.525	31.460	32.955	7.116	7.611	7.574	53.898	-0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
89	88.000	89.000	15.210	23.465	16.835	19.045	6.228	4.709	3.689	22.976	0.147	0.205	NaN	89.000	17.355	21.775	17.745	16.055	7.607	5.733	5.728	43.577	-0.130	-0.065	0.065	89.000	19.240	27.950	28.405	21.515	2.524	11.199	11.198	28.265	0.044	0.037	NaN	89.000	23.725	28.665	34.905	27.885	6.604	11.207	11.199	73.954	-0.054	-0.065	NaN	89.000	13.585	29.250	9.165	28.145	3.577	4.556	4.457	15.945	0.035	NaN	-0.063	89.000	23.920	31.525	31.460	32.955	7.092	7.674	7.619	54.038	0.045	NaN	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
90	89.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	19.240	27.950	28.340	21.515	2.080	11.145	9.100	18.928	-2.098	-0.053	NaN	90.000	23.855	28.535	34.905	27.885	6.721	11.069	10.951	73.600	-0.247	NaN	0.137	90.000	13.455	29.250	9.165	28.145	3.926	4.430	3.682	14.458	-0.775	NaN	0.126	90.000	23.920	31.525	31.460	32.955	7.647	7.674	7.334	56.083	-0.286	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
91	90.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	19.110	28.080	28.340	21.515	2.081	11.327	9.431	19.625	0.331	NaN	-0.181	91.000	23.790	28.535	34.905	27.950	6.771	11.130	11.063	74.909	0.111	-0.003	-0.065	91.000	13.455	29.250	9.165	28.145	3.742	4.430	3.772	14.116	0.090	NaN	NaN	91.000	23.920	31.525	31.460	32.955	7.674	7.674	7.399	56.784	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
92	91.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	19.110	28.080	28.405	21.515	5.682	11.380	11.379	64.659	1.949	0.053	NaN	92.000	23.920	28.535	34.905	27.950	9.849	11.001	10.682	105.207	-0.381	NaN	0.130	92.000	13.325	29.250	9.165	28.145	2.443	4.304	2.962	7.237	-0.810	NaN	0.126	92.000	23.920	31.525	31.460	32.955	9.426	7.674	7.559	71.250	0.160	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
93	92.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	18.980	28.145	28.210	21.645	2.524	11.289	10.371	26.178	-1.008	-0.234	-0.144	93.000	23.855	28.535	34.905	27.950	7.346	11.065	11.059	81.238	0.377	NaN	-0.065	93.000	13.260	29.250	9.165	28.145	3.302	4.241	3.834	12.662	0.872	NaN	0.063	93.000	23.855	31.460	31.460	32.955	7.859	7.751	7.639	60.037	0.080	NaN	-0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
94	93.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	19.045	28.145	28.210	21.580	5.577	11.274	11.272	62.868	0.901	0.038	0.053	94.000	23.920	28.600	34.970	27.885	9.787	11.073	10.777	105.473	-0.282	0.069	0.061	94.000	13.325	29.250	9.100	28.145	2.532	4.367	3.026	7.660	-0.809	0.063	-0.063	94.000	23.790	31.460	31.395	32.890	9.230	7.738	7.605	70.194	-0.034	-0.076	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
95	94.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	18.980	28.210	28.210	21.645	5.539	11.327	11.326	62.733	0.054	-0.038	-0.091	95.000	23.790	28.665	35.035	27.885	9.706	11.272	10.993	106.702	0.217	0.065	-0.134	95.000	13.260	29.185	9.100	28.145	2.589	4.288	2.899	7.504	-0.127	NaN	0.079	95.000	23.790	31.460	31.200	32.825	9.295	7.535	7.410	68.876	-0.195	-0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
96	95.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	19.045	28.080	28.210	21.645	5.668	11.199	11.194	63.451	-0.132	NaN	0.128	96.000	23.855	28.600	35.165	27.885	9.787	11.333	11.025	107.907	0.032	0.130	0.069	96.000	13.260	29.120	9.165	28.145	2.646	4.209	2.774	7.339	-0.125	-0.063	0.015	96.000	23.790	31.525	31.070	32.825	9.295	7.395	7.289	67.752	-0.121	-0.128	0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
