T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	41.925	22.555	766.314	347.859	105.635	172.875
2.000	41.925	23.075	734.507	338.708	105.358	168.248
3.000	41.925	23.140	740.214	336.953	105.430	168.912
4.000	41.925	23.075	737.794	338.743	105.323	168.289
5.000	41.860	23.205	730.922	339.404	105.414	167.791
6.000	41.860	23.140	737.726	337.990	105.350	168.689
7.000	41.795	23.140	731.804	338.988	105.338	168.734
8.000	41.730	23.075	734.456	339.772	105.363	168.791
9.000	41.665	23.140	729.753	339.946	105.410	168.702
10.000	41.600	23.075	714.825	342.385	105.353	167.629
11.000	41.665	23.010	714.672	341.211	105.320	167.283
12.000	41.665	23.010	733.701	334.883	105.359	168.298
13.000	41.730	23.010	732.296	331.833	105.363	167.975
14.000	41.470	23.010	720.704	335.148	105.352	167.647
15.000	41.470	23.075	735.051	328.802	105.367	167.594
16.000	41.470	23.010	736.986	327.212	105.324	166.125
17.000	41.470	23.075	737.610	327.113	105.334	166.607
18.000	41.535	23.010	741.396	319.339	105.298	166.236
19.000	41.535	23.010	739.478	325.233	105.283	165.519
20.000	41.600	23.010	742.943	321.998	105.180	166.211
21.000	41.600	22.945	722.156	326.316	105.243	165.495
22.000	41.665	22.945	714.880	328.733	105.226	164.326
23.000	41.665	22.945	721.440	327.603	105.227	164.779
24.000	41.665	22.945	718.708	326.328	105.241	165.337
25.000	41.665	22.620	719.566	323.871	105.222	165.141
26.000	41.600	22.490	729.381	321.912	105.307	166.135
27.000	41.535	23.270	717.252	326.658	105.250	165.616
28.000	41.470	23.270	710.571	327.846	105.240	165.808
29.000	41.470	23.270	715.671	328.124	105.259	166.355
30.000	41.535	22.555	720.235	327.745	105.221	165.736
31.000	41.535	23.140	712.553	327.620	105.235	165.338
32.000	41.795	23.010	718.670	325.694	105.262	165.872
33.000	41.795	23.010	714.559	320.610	105.207	165.122
34.000	41.795	23.140	714.302	320.198	105.232	165.645
35.000	41.795	22.945	714.380	315.727	105.193	165.701
36.000	41.860	22.945	715.853	311.992	105.100	166.355
37.000	41.795	23.010	715.104	310.561	105.161	163.669
38.000	41.795	22.880	713.467	306.834	105.158	165.260
39.000	41.860	22.880	716.166	303.990	105.199	164.457
40.000	41.860	22.945	715.506	306.220	105.181	163.122
41.000	41.860	22.880	713.626	302.260	105.154	164.085
42.000	41.795	22.815	710.750	300.318	105.151	164.582
43.000	41.665	22.815	718.417	302.555	105.133	165.665
44.000	41.730	22.750	714.614	303.831	105.155	165.595
45.000	41.730	22.815	715.448	305.958	105.207	166.363
46.000	41.860	22.815	715.369	307.318	105.196	164.894
47.000	41.860	22.815	710.408	313.202	105.197	165.779
48.000	41.925	22.815	710.728	314.291	105.165	165.203
49.000	41.860	22.815	718.043	317.718	105.171	165.600
50.000	41.925	22.815	709.456	322.865	105.175	165.394
51.000	41.990	22.620	715.230	319.017	105.101	165.050
52.000	41.990	22.685	719.419	318.850	105.191	165.626
53.000	42.055	22.750	715.922	322.033	105.129	164.880
54.000	41.990	22.750	712.850	324.672	105.142	165.129
55.000	41.925	22.945	714.573	324.668	105.185	165.880
56.000	41.860	23.010	722.264	326.914	105.233	166.924
57.000	41.925	23.140	721.904	333.377	105.259	166.885
58.000	41.925	23.270	723.525	336.796	105.223	167.461
59.000	41.925	23.400	719.178	342.588	105.210	166.913
60.000	41.925	23.400	724.156	340.959	105.255	168.216
61.000	41.925	23.270	722.299	342.418	105.261	167.597
62.000	41.925	23.270	721.981	343.923	105.233	167.333
63.000	41.860	23.465	717.275	343.608	105.245	167.590
64.000	41.925	23.660	715.842	342.472	105.228	167.142
65.000	41.860	23.400	713.716	343.406	105.206	165.750
66.000	41.925	23.530	716.579	341.126	105.223	166.360
67.000	41.925	23.010	715.072	339.857	105.211	165.487
68.000	41.925	23.270	710.260	338.703	105.172	164.646
69.000	41.925	23.140	709.030	338.734	105.211	165.171
70.000	41.925	23.530	709.576	340.791	105.141	164.556
71.000	41.925	23.400	710.117	343.630	105.151	164.293
72.000	41.860	23.335	707.456	343.968	105.115	164.224
73.000	41.795	23.335	706.278	343.764	105.151	164.299
74.000	41.795	23.270	705.642	341.413	105.145	165.210
75.000	41.795	23.465	698.003	341.527	105.156	164.600
76.000	41.860	23.400	698.568	341.336	105.152	165.547
77.000	41.795	23.530	694.390	337.987	105.138	164.827
78.000	41.925	23.790	692.663	339.069	105.117	164.559
79.000	41.925	23.725	688.546	337.894	105.141	164.997
80.000	41.925	23.595	692.500	333.837	105.114	164.329
81.000	41.860	23.595	687.760	332.226	105.032	164.388
82.000	41.925	23.595	695.441	330.411	105.110	164.016
83.000	41.990	23.530	693.999	327.421	105.103	164.524
84.000	41.925	23.530	694.475	324.859	104.970	163.993
85.000	41.925	23.595	692.331	323.117	105.089	163.956
86.000	41.925	23.465	690.978	325.678	105.095	163.917
87.000	41.925	23.595	691.528	323.779	105.083	164.187
88.000	41.860	23.530	692.242	325.939	105.058	163.688
89.000	41.925	23.465	698.233	326.093	105.066	162.954
90.000	41.925	23.465	692.947	325.228	105.044	162.572
91.000	41.990	23.400	690.458	328.369	105.054	162.632
92.000	41.990	23.465	693.394	329.606	105.067	162.519
