 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)	T (14)	Base X (14)	Base Y (14)	Tip X (14)	Tip Y (14)	||[body,base]|| (14)	||[base,tip]||  (14)	||[base,tip]|| : [body,base] (14)	[base,tip] ? [body,base] (14)	?||[base,tip]|| : [body,base] (14)	||[tip(t-1),tip(t)]|| : [base,tip] (14)	||[base(t-1),base(t)]|| : [base,tip] (14)	T (15)	Base X (15)	Base Y (15)	Tip X (15)	Tip Y (15)	||[body,base]|| (15)	||[base,tip]||  (15)	||[base,tip]|| : [body,base] (15)	[base,tip] ? [body,base] (15)	?||[base,tip]|| : [body,base] (15)	||[tip(t-1),tip(t)]|| : [base,tip] (15)	||[base(t-1),base(t)]|| : [base,tip] (15)	T (16)	Base X (16)	Base Y (16)	Tip X (16)	Tip Y (16)	||[body,base]|| (16)	||[base,tip]||  (16)	||[base,tip]|| : [body,base] (16)	[base,tip] ? [body,base] (16)	?||[base,tip]|| : [body,base] (16)	||[tip(t-1),tip(t)]|| : [base,tip] (16)	||[base(t-1),base(t)]|| : [base,tip] (16)	T (17)	Base X (17)	Base Y (17)	Tip X (17)	Tip Y (17)	||[body,base]|| (17)	||[base,tip]||  (17)	||[base,tip]|| : [body,base] (17)	[base,tip] ? [body,base] (17)	?||[base,tip]|| : [body,base] (17)	||[tip(t-1),tip(t)]|| : [base,tip] (17)	||[base(t-1),base(t)]|| : [base,tip] (17)	T (18)	Base X (18)	Base Y (18)	Tip X (18)	Tip Y (18)	||[body,base]|| (18)	||[base,tip]||  (18)	||[base,tip]|| : [body,base] (18)	[base,tip] ? [body,base] (18)	?||[base,tip]|| : [body,base] (18)	||[tip(t-1),tip(t)]|| : [base,tip] (18)	||[base(t-1),base(t)]|| : [base,tip] (18)	T (19)	Base X (19)	Base Y (19)	Tip X (19)	Tip Y (19)	||[body,base]|| (19)	||[base,tip]||  (19)	||[base,tip]|| : [body,base] (19)	[base,tip] ? [body,base] (19)	?||[base,tip]|| : [body,base] (19)	||[tip(t-1),tip(t)]|| : [base,tip] (19)	||[base(t-1),base(t)]|| : [base,tip] (19)	T (20)	Base X (20)	Base Y (20)	Tip X (20)	Tip Y (20)	||[body,base]|| (20)	||[base,tip]||  (20)	||[base,tip]|| : [body,base] (20)	[base,tip] ? [body,base] (20)	?||[base,tip]|| : [body,base] (20)	||[tip(t-1),tip(t)]|| : [base,tip] (20)	||[base(t-1),base(t)]|| : [base,tip] (20)
11	10.000	11.000	23.725	14.560	21.320	12.025	4.294	3.494	2.287	9.823	0.141	-0.092	-0.089	11.000	15.925	15.275	8.580	13.975	12.124	7.459	7.227	87.618	0.276	0.030	-0.203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	30.355	18.395	31.785	19.955	4.660	2.116	2.067	9.633	0.049	NaN	-0.004	11.000	22.165	21.385	21.970	21.515	9.138	0.234	0.225	2.053	-0.425	0.018	0.397	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	27.690	21.645	27.755	23.075	7.287	1.431	1.426	10.389	0.001	NaN	NaN	11.000	28.730	21.125	29.380	22.945	6.798	1.933	1.878	12.768	-0.061	NaN	0.083	11.000	22.750	22.035	21.385	23.075	9.303	1.716	1.630	15.164	-0.415	0.052	0.519	11.000	25.935	21.580	24.310	24.310	7.509	3.177	3.073	23.077	-0.364	-0.056	0.356	11.000	26.650	21.580	23.920	26.845	7.343	5.931	5.681	41.713	-0.136	NaN	0.175	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	16.770	17.680	13.975	17.550	10.518	2.798	2.660	27.978	0.196	0.127	-0.065	19.000	17.550	19.110	14.885	20.540	9.722	3.024	3.015	29.309	0.061	0.123	0.061	20.000	18.590	19.760	15.860	21.710	9.915	3.355	3.324	32.955	0.211	0.159	-0.053	27.000	20.670	22.750	18.265	24.765	9.998	3.138	3.099	30.982	-0.213	-0.267	-0.042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	22.230	22.555	20.930	23.985	8.723	1.933	1.925	16.790	-0.419	0.048	0.463	56.000	24.245	24.245	22.035	29.510	9.229	5.710	5.691	52.521	2.024	0.785	-1.255	67.000	16.380	14.495	14.495	13.585	9.881	2.093	1.873	18.506	0.104	0.087	-0.087	70.000	22.165	20.670	19.695	22.425	7.943	3.030	2.883	22.900	0.555	0.287	-0.325
12	11.000	12.000	23.725	14.625	21.320	12.025	4.550	3.542	2.368	10.774	0.080	NaN	-0.048	12.000	15.990	15.275	8.645	13.975	12.306	7.459	7.257	89.304	0.030	-0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	30.615	18.265	31.655	19.760	4.382	1.821	1.819	7.973	-0.248	-0.234	0.042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	27.690	21.775	27.755	23.205	7.239	1.431	1.420	10.279	-0.006	0.130	0.130	12.000	28.665	21.060	29.445	23.010	6.512	2.100	1.993	12.979	0.115	0.084	-0.084	12.000	22.230	22.425	21.385	23.075	9.920	1.066	1.030	10.220	-0.600	NaN	0.650	12.000	26.130	21.255	24.310	24.375	7.030	3.612	3.527	24.792	0.453	0.056	-0.379	12.000	26.715	21.515	23.920	26.845	7.128	6.018	5.812	41.430	0.132	NaN	-0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	16.965	17.680	13.780	17.550	11.415	3.188	3.072	35.063	0.412	0.195	-0.195	20.000	17.615	19.175	14.690	20.605	10.550	3.256	3.249	34.282	0.235	0.204	-0.030	21.000	18.720	19.760	15.860	21.710	9.161	3.462	3.443	31.544	0.119	NaN	-0.107	28.000	20.605	22.490	18.200	24.310	9.663	3.016	2.964	28.646	-0.134	-0.223	-0.105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	21.645	22.815	18.135	26.585	9.371	5.151	5.142	48.190	3.218	3.807	0.589	57.000	24.440	23.920	21.905	29.575	8.862	6.197	6.074	53.831	0.384	0.112	-0.376	68.000	16.640	14.430	14.430	13.585	10.011	2.366	2.199	22.012	0.326	0.061	-0.220	71.000	22.360	20.605	19.435	22.555	7.626	3.515	3.258	24.843	0.375	0.288	-0.198
13	12.000	13.000	23.595	14.625	21.320	12.025	4.162	3.455	2.355	9.802	-0.013	NaN	0.086	13.000	14.885	15.015	8.775	13.910	12.873	6.209	6.086	78.348	-1.171	-0.116	1.134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	30.680	18.200	31.590	19.760	4.519	1.806	1.778	8.036	-0.041	-0.033	-0.023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	27.690	21.840	27.755	23.335	7.085	1.496	1.494	10.588	0.074	0.130	0.065	13.000	28.665	21.060	29.445	23.075	6.370	2.161	2.106	13.414	0.113	0.061	NaN	13.000	21.710	22.815	21.450	23.075	10.075	0.368	0.364	3.667	-0.666	-0.046	0.643	13.000	26.130	21.320	24.310	24.310	6.763	3.500	3.340	22.587	-0.187	-0.056	0.056	13.000	26.650	21.580	23.920	26.910	6.914	5.988	5.698	39.394	-0.115	0.058	0.087	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	17.095	17.680	13.585	17.680	11.274	3.510	3.420	38.557	0.348	0.195	-0.130	21.000	17.680	19.175	14.495	20.735	9.850	3.547	3.540	34.865	0.290	0.232	-0.058	22.000	18.850	19.630	15.860	21.775	9.509	3.680	3.648	34.691	0.205	0.038	-0.181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	21.775	22.685	18.135	26.715	9.215	5.431	5.430	50.032	0.287	0.096	-0.184	58.000	24.700	23.400	21.710	29.705	8.576	6.978	6.842	58.677	0.768	0.201	-0.581	69.000	16.705	14.430	14.430	13.585	10.336	2.427	2.264	23.402	0.065	NaN	-0.061	72.000	22.555	20.475	19.240	22.685	7.375	3.984	3.710	27.365	0.453	0.234	-0.234
14	13.000	14.000	23.790	14.690	21.385	12.090	3.515	3.542	2.546	8.949	0.190	-0.092	-0.180	14.000	13.975	14.820	8.970	13.910	13.325	5.087	5.009	66.751	-1.077	-0.192	0.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	30.680	18.135	31.590	19.760	4.689	1.862	1.782	8.357	0.004	NaN	-0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	27.690	21.840	27.820	23.595	6.966	1.760	1.760	12.257	0.265	0.264	NaN	14.000	28.860	21.450	29.510	23.270	6.748	1.933	1.921	12.962	-0.185	0.206	0.433	14.000	21.385	23.075	21.320	23.205	10.103	0.145	0.143	1.449	-0.221	0.174	0.378	14.000	26.065	21.450	24.310	24.310	6.680	3.356	3.135	20.943	-0.205	NaN	0.145	14.000	26.650	21.710	23.920	26.910	6.856	5.873	5.435	37.265	-0.262	NaN	0.115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	17.420	17.810	13.520	17.875	10.422	3.901	3.787	39.466	0.367	0.068	-0.323	22.000	17.615	19.240	14.365	20.800	10.455	3.605	3.601	37.653	0.062	0.145	0.087	23.000	19.045	19.630	15.730	21.775	9.079	3.948	3.940	35.769	0.292	0.109	-0.164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	21.645	22.815	18.005	26.845	8.440	5.431	5.392	45.512	-0.037	0.184	0.184	59.000	24.960	23.075	21.515	29.770	8.182	7.529	7.337	60.033	0.495	0.147	-0.408	70.000	16.640	14.430	14.235	13.455	10.271	2.595	2.392	24.573	0.128	0.230	0.060	73.000	22.815	20.345	19.045	22.750	7.157	4.472	4.110	29.419	0.400	0.199	-0.289
15	14.000	15.000	23.725	14.755	21.320	12.025	3.188	3.638	2.514	8.015	-0.031	0.092	-0.006	15.000	13.195	14.690	8.775	13.910	13.716	4.488	4.431	60.772	-0.579	0.192	0.791	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	30.680	18.135	31.590	19.695	4.977	1.806	1.708	8.501	-0.074	-0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	27.625	22.295	27.820	23.725	7.444	1.443	1.442	10.736	-0.317	0.129	0.442	15.000	28.860	21.775	29.510	23.400	7.161	1.750	1.741	12.464	-0.180	0.121	0.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	26.000	21.580	24.310	24.310	6.757	3.211	2.933	19.815	-0.202	NaN	0.145	15.000	26.650	21.710	23.855	26.910	6.830	5.904	5.303	36.217	-0.133	0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	17.420	17.875	13.390	18.200	9.420	4.043	3.957	37.277	0.170	0.156	0.005	23.000	17.615	19.240	14.235	20.735	10.191	3.696	3.696	37.662	0.094	0.093	NaN	24.000	19.175	19.500	15.665	21.840	8.510	4.218	4.218	35.896	0.278	0.090	-0.180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	21.645	22.750	17.940	26.910	8.649	5.571	5.563	48.110	0.170	0.092	-0.049	60.000	24.895	23.140	21.385	29.900	8.249	7.617	7.352	60.646	0.015	0.175	0.088	71.000	16.640	14.430	13.910	13.455	10.011	2.899	2.717	27.201	0.325	0.306	NaN	74.000	22.620	20.605	18.915	22.815	7.663	4.314	3.924	30.069	-0.186	0.145	0.301
16	15.000	16.000	23.660	14.885	21.255	12.025	4.424	3.737	2.529	11.188	0.014	0.042	-0.058	16.000	15.535	15.145	8.580	13.845	12.545	7.075	6.948	87.166	2.518	0.204	-2.384	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	30.615	18.135	31.590	19.760	3.970	1.895	1.873	7.436	0.165	0.056	-0.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	27.625	21.905	27.885	23.855	6.840	1.967	1.928	13.190	0.486	0.137	-0.387	16.000	28.925	21.905	29.575	23.335	6.877	1.571	1.499	10.309	-0.242	-0.032	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	26.065	21.450	24.310	24.375	6.681	3.411	3.318	22.169	0.385	0.056	-0.145	16.000	26.715	21.710	23.920	26.845	6.769	5.846	5.593	37.860	0.291	-0.088	-0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	17.485	17.875	13.195	18.200	10.250	4.302	4.222	43.272	0.264	0.194	-0.065	24.000	17.615	19.175	14.040	20.800	9.709	3.927	3.925	38.110	0.229	0.204	-0.027	25.000	19.305	19.565	15.665	21.840	9.320	4.292	4.290	39.985	0.072	NaN	-0.076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	21.970	22.620	17.810	26.975	8.113	6.023	5.988	48.575	0.425	0.137	-0.318	61.000	24.700	23.595	21.385	29.965	8.702	7.181	6.978	60.722	-0.374	0.058	0.494	72.000	16.510	14.365	13.650	13.390	10.270	3.022	2.866	29.436	0.149	0.267	0.144	75.000	23.465	20.150	18.720	22.945	6.890	5.507	4.880	33.623	0.956	0.234	-0.959
17	16.000	17.000	23.660	15.015	21.320	12.090	4.422	3.746	2.425	10.723	-0.104	-0.091	-0.102	17.000	15.535	15.145	8.385	13.845	12.545	7.267	7.150	89.697	0.202	0.192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	30.615	18.265	31.590	19.825	4.020	1.840	1.826	7.339	-0.048	0.055	0.110	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	27.560	22.165	27.885	24.050	7.039	1.913	1.856	13.064	-0.073	0.192	0.245	17.000	29.055	22.230	29.640	23.335	7.152	1.250	1.174	8.399	-0.325	0.030	0.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	25.740	22.035	24.245	24.375	7.277	2.777	2.696	19.621	-0.622	0.035	0.668	17.000	26.715	21.775	23.920	26.910	6.769	5.846	5.593	37.860	-3.553E-15	0.057	0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	17.550	17.940	13.065	18.135	9.572	4.489	4.376	41.891	0.155	0.127	-0.062	25.000	17.550	19.110	13.845	20.735	10.686	4.046	4.046	43.230	0.121	0.152	0.033	26.000	19.240	19.500	15.665	21.840	8.941	4.273	4.266	38.148	-0.024	NaN	0.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	22.165	22.490	17.680	27.105	8.367	6.435	6.435	53.843	0.447	0.184	-0.229	62.000	24.895	23.140	21.320	30.160	8.293	7.878	7.664	63.552	0.686	0.203	-0.494	73.000	16.770	14.495	13.455	13.325	10.075	3.515	3.307	33.323	0.441	0.206	-0.288	76.000	23.530	20.020	18.590	23.010	6.581	5.774	5.194	34.180	0.314	0.145	-0.123
18	17.000	18.000	23.660	15.080	21.385	12.090	3.836	3.757	2.325	8.919	-0.100	-0.039	-0.052	18.000	14.430	14.950	8.320	13.780	13.066	6.221	6.127	80.055	-1.023	0.076	1.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	30.550	18.330	31.590	19.760	4.413	1.768	1.752	7.732	-0.074	-0.053	0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	27.625	22.165	27.950	24.310	7.021	2.169	2.151	15.100	0.295	0.267	0.010	18.000	29.055	22.100	29.640	23.400	7.128	1.426	1.397	9.954	0.222	0.059	-0.119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	26.130	21.320	24.245	24.375	6.324	3.590	3.390	21.438	0.693	NaN	-0.813	18.000	26.780	21.840	23.920	26.910	6.733	5.821	5.345	35.989	-0.248	NaN	0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	17.615	18.005	13.000	18.265	10.036	4.622	4.498	45.140	0.121	0.072	-0.061	26.000	17.420	18.915	13.585	20.670	10.320	4.217	4.214	43.488	0.168	0.209	0.037	27.000	19.370	19.370	15.535	21.515	8.897	4.394	4.393	39.085	0.126	-0.045	-0.177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	22.555	22.100	17.550	27.235	7.116	7.171	7.141	50.818	0.706	0.184	-0.551	63.000	25.025	23.010	21.320	30.225	8.095	8.111	7.812	63.236	0.148	0.058	-0.175	74.000	16.965	14.495	13.325	13.260	10.012	3.844	3.615	36.196	0.308	0.144	-0.185	77.000	23.530	20.020	18.460	23.075	6.566	5.919	5.441	35.727	0.247	0.145	NaN
19	18.000	19.000	23.725	15.145	21.385	12.090	2.731	3.848	2.412	6.587	0.087	NaN	-0.091	19.000	12.415	14.560	8.255	13.780	14.055	4.232	4.192	58.913	-1.935	0.064	2.052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	30.550	18.330	31.655	19.825	5.148	1.859	1.785	9.189	0.033	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	27.560	21.970	28.015	24.505	6.850	2.576	2.575	17.639	0.425	0.203	-0.203	19.000	29.055	21.970	29.640	23.595	7.243	1.727	1.727	12.506	0.330	0.183	-0.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	26.130	21.320	24.245	24.375	6.119	3.590	3.151	19.279	-0.239	NaN	NaN	19.000	26.780	21.775	23.920	26.845	6.573	5.821	4.922	32.355	-0.423	-0.057	-0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	17.680	17.940	12.870	18.200	9.688	4.817	4.688	45.419	0.191	0.126	-0.068	27.000	16.770	18.915	13.260	20.085	11.101	3.700	3.699	41.067	-0.515	0.123	0.617	28.000	19.175	19.370	15.665	21.450	8.895	4.080	4.071	36.217	-0.321	-0.145	0.168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	22.360	22.295	17.550	27.235	7.231	6.895	6.808	49.230	-0.333	NaN	0.276	64.000	25.090	22.815	21.320	30.225	8.158	8.314	8.012	65.369	0.201	NaN	-0.203	75.000	17.030	14.495	13.260	13.390	10.077	3.929	3.748	37.767	0.133	0.026	-0.062	78.000	23.595	20.020	18.265	23.205	6.726	6.209	5.656	38.038	0.215	0.234	-0.056
20	19.000	20.000	23.725	15.145	21.450	12.090	3.640	3.809	2.275	8.281	-0.137	-0.039	NaN	20.000	14.235	14.885	8.060	13.780	13.133	6.273	6.196	81.365	2.004	0.192	-1.849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	30.550	18.460	31.655	19.825	4.597	1.756	1.750	8.044	-0.035	NaN	0.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	27.625	22.035	28.080	24.765	6.895	2.768	2.745	18.928	0.170	0.267	0.075	20.000	28.860	21.645	29.640	23.660	6.670	2.161	2.139	14.264	0.412	0.061	-0.373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	26.000	21.255	24.245	24.375	6.261	3.580	3.428	21.459	0.277	NaN	0.007	20.000	26.780	21.710	23.920	26.845	6.591	5.878	5.369	35.384	0.446	NaN	-0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	17.485	18.005	12.675	18.200	9.374	4.814	4.601	43.129	-0.088	0.195	0.197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	19.045	19.175	15.730	21.450	9.307	4.021	3.963	36.884	-0.108	-0.054	-0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	22.815	21.970	17.485	27.300	7.269	7.538	7.483	54.393	0.675	0.092	-0.552	65.000	25.285	22.490	21.320	30.160	7.930	8.634	8.259	65.496	0.247	-0.058	-0.378	76.000	17.095	14.495	12.935	13.455	10.010	4.288	4.160	41.642	0.412	0.300	-0.063	79.000	23.595	19.955	18.070	23.335	6.601	6.477	5.801	38.287	0.145	0.234	-0.034
