 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)
91	90.000	91.000	29.380	8.255	40.885	15.210	6.846	13.444	12.704	86.972	-0.293	NaN	0.089	91.000	23.140	9.880	25.025	16.315	3.089	6.705	6.642	20.517	-0.870	-0.847	NaN	96.000	29.445	13.715	33.345	17.680	9.699	5.562	5.560	53.928	0.366	0.046	-0.322
92	91.000	92.000	29.640	8.385	40.885	15.210	7.100	13.154	12.389	87.969	-0.315	NaN	0.290	92.000	23.075	9.750	24.830	15.860	2.822	6.357	6.294	17.762	-0.349	-0.491	-0.143	97.000	29.380	13.780	33.345	17.810	9.606	5.654	5.653	54.304	0.093	0.093	7.473E-4
93	92.000	93.000	29.575	8.320	40.885	15.210	7.298	13.243	12.865	93.888	0.476	NaN	-0.089	93.000	23.075	9.880	24.765	15.730	3.797	6.089	6.010	22.823	-0.284	-0.143	0.125	98.000	29.315	13.715	33.280	17.745	9.607	5.654	5.652	54.300	-9.574E-4	-0.092	-0.092
94	93.000	94.000	29.250	8.190	40.885	15.210	6.744	13.589	12.724	85.810	-0.142	NaN	-0.345	94.000	23.140	9.620	24.765	15.730	2.715	6.322	6.308	17.128	0.298	NaN	-0.235	99.000	29.055	13.520	33.280	17.615	9.422	5.884	5.884	55.436	0.231	-0.090	-0.322
95	94.000	95.000	29.380	8.190	40.820	15.210	6.721	13.422	12.438	83.604	-0.285	-0.055	0.111	95.000	23.075	9.555	24.765	15.600	2.491	6.277	6.214	15.480	-0.094	-0.125	-0.080	100.000	29.120	13.455	33.280	17.615	9.469	5.883	5.883	55.702	-6.557E-4	NaN	1.292E-15
96	95.000	96.000	29.250	8.125	40.300	14.820	6.861	12.920	12.030	82.531	-0.409	-0.647	-0.145	96.000	23.140	9.880	24.700	15.405	2.996	5.741	5.732	17.175	-0.482	-0.205	0.330	101.000	28.925	13.325	33.410	17.875	9.377	6.389	6.388	59.898	0.505	0.276	-0.229
97	96.000	97.000	29.380	8.125	39.910	14.560	6.914	12.341	11.423	78.978	-0.607	-0.468	0.111	97.000	23.075	9.685	24.570	15.340	2.715	5.849	5.837	15.848	0.105	-0.096	-0.205	102.000	28.795	13.195	33.540	18.070	9.193	6.803	6.801	62.522	0.413	0.230	-0.184
98	97.000	98.000	29.250	8.060	39.585	14.430	6.904	12.140	11.177	77.161	-0.246	-0.345	-0.145	98.000	23.075	9.490	24.570	15.275	2.554	5.975	5.975	15.261	0.138	-0.063	-0.189	103.000	28.405	12.805	33.670	18.200	8.917	7.538	7.536	67.203	0.735	0.184	-0.552
99	98.000	99.000	29.185	7.995	39.520	14.430	6.914	12.175	11.231	77.647	0.054	-0.055	-0.090	99.000	23.075	9.230	24.505	15.145	2.447	6.085	6.075	14.864	0.100	-0.142	-0.253	104.000	28.340	12.805	33.735	18.330	8.963	7.722	7.721	69.201	0.185	0.138	-0.045
100	99.000	100.000	28.990	7.930	39.585	14.495	6.721	12.464	11.530	77.499	0.300	0.089	-0.200	100.000	23.075	9.230	24.505	15.015	2.509	5.959	5.953	14.935	-0.122	-0.126	NaN	105.000	28.340	12.805	33.865	18.460	9.009	7.906	7.904	71.208	0.183	0.184	NaN
101	100.000	101.000	28.990	7.930	39.520	14.365	6.861	12.341	11.473	78.712	-0.057	-0.123	NaN	101.000	23.075	9.295	24.505	15.015	2.672	5.896	5.879	15.709	-0.074	NaN	0.063	106.000	28.405	12.870	33.930	18.525	8.963	7.906	7.905	70.849	7.741E-4	0.092	0.092
102	101.000	102.000	28.600	7.800	39.520	14.365	6.454	12.741	11.835	76.388	0.362	NaN	-0.401	102.000	23.075	9.230	24.440	15.015	2.611	5.944	5.915	15.442	0.037	-0.015	-0.063	107.000	28.145	12.545	33.995	18.655	8.595	8.459	8.458	72.695	0.553	0.139	-0.415
103	102.000	103.000	28.535	7.670	39.455	14.300	6.593	12.775	11.877	78.306	0.042	-0.089	-0.123	103.000	23.205	9.490	24.440	15.015	3.150	5.661	5.589	17.606	-0.327	NaN	0.282	108.000	28.015	12.480	34.125	18.785	8.595	8.780	8.779	75.459	0.321	0.184	-0.137
104	103.000	104.000	28.470	7.605	38.285	13.585	6.593	11.493	10.678	70.405	-1.198	-1.371	-0.089	104.000	23.140	9.750	24.440	14.950	3.454	5.360	5.333	18.421	-0.256	-0.063	0.236	109.000	28.015	12.480	34.255	19.045	8.595	9.057	9.056	77.833	0.276	0.278	NaN
105	104.000	105.000	28.405	7.540	38.025	13.390	6.583	11.259	10.423	68.614	-0.255	-0.323	-0.089	105.000	23.140	9.425	24.440	15.015	3.175	5.739	5.655	17.956	0.322	0.063	-0.317	110.000	27.950	12.415	34.385	19.175	8.503	9.333	9.331	79.346	0.276	0.184	-0.092
106	105.000	106.000	28.405	7.540	37.635	13.195	6.444	10.825	9.979	64.309	-0.444	-0.434	NaN	106.000	23.205	9.620	24.440	15.015	3.271	5.535	5.480	17.927	-0.176	NaN	0.205	111.000	28.210	12.610	34.385	19.240	8.872	9.060	9.048	80.275	-0.283	0.048	0.320
107	106.000	107.000	28.600	7.605	37.570	13.065	6.604	10.501	9.795	64.693	-0.184	-0.123	0.200	107.000	23.075	9.100	24.440	14.950	2.838	6.007	5.963	16.921	0.483	-0.063	-0.536	112.000	27.950	12.415	34.580	19.370	8.457	9.609	9.608	81.259	0.560	0.229	-0.321
108	107.000	108.000	28.600	7.605	37.375	13.065	6.744	10.335	9.626	64.921	-0.169	-0.166	NaN	108.000	23.010	8.710	24.440	14.950	2.561	6.402	6.283	16.089	0.320	NaN	-0.395	113.000	27.690	12.220	34.645	19.500	8.230	10.068	10.068	82.865	0.460	0.139	-0.321
109	108.000	109.000	28.600	7.605	37.245	12.935	6.744	10.156	9.475	63.899	-0.152	-0.179	NaN	109.000	23.140	9.685	24.440	15.015	3.515	5.486	5.459	19.190	-0.824	0.063	0.978	114.000	28.860	13.195	34.710	19.565	9.238	8.649	8.639	79.810	-1.429	0.092	1.510
110	109.000	110.000	28.405	7.540	37.115	12.870	6.540	10.211	9.523	62.285	0.048	-0.145	-0.200	110.000	23.075	9.425	24.440	14.950	3.249	5.691	5.660	18.387	0.201	-0.063	-0.268	115.000	29.380	13.520	34.775	19.630	9.609	8.151	8.121	78.032	-0.518	0.092	0.588
111	110.000	111.000	28.535	7.605	37.050	12.870	6.796	10.011	9.294	63.168	-0.229	-0.055	0.145	111.000	23.140	9.945	24.440	14.950	3.743	5.171	5.145	19.258	-0.515	NaN	0.520	116.000	29.315	13.520	34.775	19.695	9.609	8.243	8.213	78.915	0.092	0.049	-0.043
112	111.000	112.000	28.665	7.735	37.050	12.870	6.769	9.832	9.248	62.602	-0.046	NaN	0.179	112.000	23.140	9.490	24.505	14.950	3.310	5.628	5.602	18.544	0.458	0.016	-0.441	117.000	29.250	13.455	34.840	19.760	9.470	8.426	8.400	79.544	0.187	0.092	-0.092
113	112.000	113.000	28.600	7.735	37.050	12.870	6.733	9.888	9.379	63.151	0.131	NaN	-0.056	113.000	23.140	9.880	24.440	15.015	3.804	5.297	5.291	20.128	-0.311	0.047	0.378	118.000	29.315	13.520	34.970	19.825	9.609	8.469	8.444	81.133	0.044	0.135	0.092
114	113.000	114.000	28.730	7.800	37.050	12.870	6.529	9.743	9.058	59.142	-0.321	NaN	0.145	114.000	23.140	9.425	24.505	14.950	2.858	5.691	5.682	16.237	0.390	-0.048	-0.442	119.000	29.445	13.650	34.905	19.825	9.654	8.243	8.216	79.316	-0.228	-0.043	0.184
115	114.000	115.000	28.795	7.800	37.050	12.805	6.435	9.654	8.880	57.139	-0.178	-0.034	0.056	115.000	23.075	8.970	24.505	14.950	2.179	6.149	6.134	13.368	0.453	NaN	-0.458	120.000	29.640	13.845	34.970	19.890	9.838	8.059	8.032	79.020	-0.184	0.092	0.275
116	115.000	116.000	28.990	7.930	37.050	12.870	6.711	9.453	8.728	58.575	-0.152	0.034	0.234	116.000	23.205	9.360	24.505	14.950	2.611	5.739	5.710	14.906	-0.424	NaN	0.409	121.000	29.705	13.975	35.100	19.890	9.929	8.006	7.989	79.329	-0.043	0.088	0.140
117	116.000	117.000	28.925	7.865	36.985	12.870	6.573	9.488	8.713	57.270	-0.015	-0.055	-0.090	117.000	23.140	8.905	24.440	14.950	2.138	6.183	6.132	13.110	0.422	-0.014	-0.458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
118	117.000	118.000	29.120	7.995	37.050	12.805	6.850	9.275	8.602	58.922	-0.111	0.022	0.234	118.000	23.205	9.750	24.440	14.950	2.982	5.345	5.337	15.916	-0.795	NaN	0.837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
119	118.000	119.000	29.055	7.930	37.050	12.870	6.637	9.398	8.634	57.304	0.032	0.034	-0.089	119.000	23.205	9.685	24.440	14.950	2.822	5.408	5.406	15.256	0.069	NaN	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
120	119.000	120.000	28.925	7.930	37.050	12.870	6.435	9.509	8.742	56.252	0.108	NaN	-0.111	120.000	23.400	10.465	24.440	14.950	3.547	4.604	4.604	16.330	-0.802	NaN	0.804	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
121	120.000	121.000	28.990	7.930	36.985	12.870	6.490	9.398	8.570	55.622	-0.172	-0.055	0.055	121.000	23.335	10.335	24.440	14.950	3.342	4.745	4.745	15.861	0.142	NaN	-0.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
