dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Base Local Background (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Tip Local Background (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Base Local Background (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Tip Local Background (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Base Local Background (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Tip Local Background (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Base Local Background (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Tip Local Background (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Base Local Background (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Tip Local Background (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Base Local Background (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Tip Local Background (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Base Local Background (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Tip Local Background (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Base Local Background (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Tip Local Background (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Base Local Background (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Tip Local Background (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)	T (20)	dT (20)	Base Mean (20)	Base Local Background (20)	Body Mean (20)	Proj Mean (20)	Tip Mean (20)	Tip Th Mean (20)	Tip Local Background (20)	Length (20)	dL (20)	DCTM (20)	DCBM (20)
24.000	25.000	24.000	169.067	146.011	367.880	133.797	121.966	132.000	111.014	3.651	0.046	-0.000	-0.082	25.000	24.000	154.677	121.902	367.880	133.345	115.387	119.960	106.774	7.894	2.398	0.064	-2.191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	24.000	206.333	182.900	367.880	150.227	129.815	141.111	123.440	2.039	0.065	-0.051	-0.115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	24.000	180.548	150.667	367.880	144.181	124.821	136.462	113.356	3.254	0.130	-0.064	-0.203	25.000	24.000	187.100	147.653	367.880	159.110	143.375	164.211	133.000	1.101	-1.764	-0.212	1.349	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	24.000	175.690	148.479	367.880	150.421	137.000	149.529	121.035	2.307	-0.295	-0.000	0.273	25.000	24.000	165.172	145.321	367.880	136.258	119.296	128.385	109.944	5.094	-0.084	0.057	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	24.000	155.207	135.369	360.166	137.636	121.133	130.529	108.619	5.228	1.508	0.195	-1.170	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	24.000	165.154	143.310	365.084	132.441	121.818	133.071	109.510	4.144	0.111	-0.000	-0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	24.000	166.462	128.957	353.710	125.483	118.185	127.062	107.229	6.693	-0.008	-0.000	-0.001	70.000	24.000	193.171	159.910	356.894	136.068	118.480	124.800	107.803	10.643	0.138	0.116	0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	24.000	175.286	135.368	352.689	134.471	120.893	129.857	108.000	5.343	-0.314	0.234	0.434
25.000	26.000	25.000	168.815	145.644	361.303	132.077	119.607	134.667	111.201	3.552	-0.100	-0.000	0.116	26.000	25.000	144.345	119.141	361.303	130.230	116.733	122.812	105.830	7.079	-0.815	0.128	0.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	25.000	197.179	176.798	361.303	149.457	128.438	138.524	121.463	2.196	0.157	0.018	-0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	25.000	188.828	157.035	361.303	146.133	125.233	135.600	113.027	3.384	0.130	0.011	-0.128	26.000	25.000	173.724	145.859	361.303	147.717	132.500	145.118	121.847	1.285	0.184	0.172	-0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	25.000	173.357	144.603	361.303	147.675	133.062	145.600	124.854	2.005	-0.303	-0.050	0.283	26.000	25.000	159.536	134.955	361.303	131.394	116.393	124.583	110.142	4.401	-0.693	-0.000	0.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	25.000	148.931	130.887	357.534	138.466	124.452	128.033	108.169	5.510	0.282	0.065	-0.328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	25.000	167.407	146.921	366.307	131.262	119.536	129.444	111.510	4.293	0.149	-0.033	-0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	25.000	175.923	140.588	354.528	126.897	118.250	125.333	106.510	7.072	0.379	0.139	-0.137	71.000	25.000	193.000	169.260	356.302	136.735	114.407	129.000	108.243	10.689	0.046	0.030	-0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	25.000	170.207	136.632	353.634	131.324	115.786	127.833	108.707	5.316	-0.027	0.290	0.379
26.000	27.000	26.000	166.769	153.000	359.507	136.306	119.414	125.800	110.000	3.436	-0.116	-0.000	0.081	27.000	26.000	147.935	123.514	359.507	127.939	111.742	116.522	107.890	7.737	0.658	-0.000	-0.599	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	26.000	187.429	170.322	359.507	148.270	138.000	152.762	120.066	2.253	0.057	-0.021	0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	26.000	174.793	145.773	359.507	139.829	119.500	124.261	113.972	2.937	-0.447	0.167	0.549	27.000	26.000	197.296	153.153	359.507	155.303	134.267	144.944	119.806	1.832	0.547	0.145	-0.408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	26.000	172.241	139.962	359.507	143.281	130.333	142.350	121.910	1.680	-0.325	0.046	0.276	27.000	26.000	163.038	133.101	359.507	133.701	121.500	132.700	110.320	4.106	-0.295	-0.000	0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	26.000	166.724	135.010	359.853	137.850	117.600	124.238	111.338	6.298	0.788	0.087	-0.653	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	26.000	178.520	152.133	362.741	133.581	121.552	130.600	112.793	4.312	0.019	-0.145	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	26.000	167.741	137.979	352.564	127.553	118.750	122.333	106.267	7.274	0.203	0.186	-0.000	72.000	26.000	173.778	149.074	355.457	134.025	116.258	124.312	107.270	10.291	-0.398	0.088	0.436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	26.000	184.469	141.535	351.003	135.421	120.214	133.778	108.174	5.435	0.119	0.179	0.055
27.000	28.000	27.000	192.667	179.449	360.535	136.687	120.000	129.636	111.240	3.707	0.271	-0.000	-0.233	28.000	27.000	144.129	119.243	360.535	129.032	113.286	116.800	106.885	7.293	-0.444	-0.074	0.331	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	27.000	206.964	172.116	360.535	156.143	138.094	164.455	119.800	2.448	0.195	0.057	-0.172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	27.000	175.839	144.097	360.535	139.387	121.200	124.143	110.062	3.159	0.222	0.205	0.127	28.000	27.000	184.103	147.914	360.535	151.609	131.194	141.810	117.054	2.016	0.184	0.264	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	27.000	179.185	139.534	360.535	149.073	131.029	140.476	121.268	1.542	-0.138	0.051	0.187	28.000	27.000	156.310	130.585	360.535	134.162	120.000	130.929	111.242	3.781	-0.325	0.035	0.343	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	27.000	158.724	134.947	362.592	134.042	120.444	126.778	107.861	6.444	0.146	0.195	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	27.000	171.407	146.793	367.955	133.671	117.156	128.833	112.447	4.450	0.138	-0.031	-0.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	27.000	160.880	138.068	352.292	128.067	120.296	132.083	107.095	7.477	0.203	0.092	-0.095	73.000	27.000	170.481	149.560	356.483	132.890	117.481	125.267	109.303	10.153	-0.138	-0.088	0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	27.000	188.812	152.376	353.259	135.451	120.483	127.688	108.465	5.710	0.276	0.145	-0.090
28.000	29.000	28.000	200.966	161.338	360.166	134.463	118.310	130.062	110.867	3.875	0.168	-0.000	-0.121	29.000	28.000	147.452	121.700	360.166	132.244	118.667	124.864	106.899	8.227	0.934	-0.064	-0.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	28.000	213.176	178.553	360.166	163.290	141.161	157.105	122.622	2.800	0.352	0.000	-0.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	28.000	177.607	147.644	360.166	140.000	119.179	124.640	113.320	3.113	-0.046	0.063	-0.015	29.000	28.000	196.467	165.333	360.166	155.368	136.533	144.611	119.873	2.571	0.555	0.027	-0.554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	28.000	178.357	142.444	360.166	149.471	138.267	151.176	126.434	1.120	-0.422	-0.092	0.367	29.000	28.000	166.759	132.468	360.166	132.323	117.793	128.167	111.905	3.563	-0.219	-0.089	0.123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	28.000	158.741	133.167	363.117	134.167	115.710	123.500	108.347	6.520	0.076	0.065	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	28.000	156.462	143.403	367.335	132.990	120.741	126.650	114.107	4.137	-0.314	-0.202	0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	28.000	160.000	130.090	352.788	125.628	113.037	121.267	110.106	7.313	-0.165	-0.135	-0.006	74.000	28.000	185.917	160.856	355.989	135.784	116.185	126.111	107.340	10.800	0.647	0.087	-0.377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	28.000	193.471	152.699	352.588	137.887	122.767	128.560	107.435	6.070	0.360	0.109	-0.215
29.000	30.000	29.000	185.667	152.494	357.534	133.641	121.241	130.312	110.649	3.761	-0.114	-0.059	0.061	30.000	29.000	145.323	120.259	357.534	126.697	113.259	125.143	106.324	6.738	-1.488	0.193	1.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	29.000	210.267	178.413	357.534	159.830	131.464	143.333	119.752	2.892	0.092	0.233	0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	29.000	178.967	152.943	357.534	140.196	122.433	126.440	113.122	3.270	0.157	0.016	-0.063	30.000	29.000	182.759	155.978	357.534	153.059	130.393	140.235	116.706	2.708	0.138	0.232	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	29.000	176.893	144.266	357.534	147.707	139.290	156.333	127.559	1.036	-0.084	-0.000	-0.000	30.000	29.000	163.552	135.573	357.534	132.870	123.815	133.059	109.993	3.498	-0.065	-0.000	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	29.000	168.778	146.622	365.084	137.292	121.643	129.143	110.483	6.642	0.122	-0.119	-0.329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	29.000	166.258	149.712	362.723	134.661	120.250	127.500	113.049	4.067	-0.070	-0.099	-0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	29.000	155.464	131.698	353.165	127.199	114.862	121.000	107.639	7.175	-0.138	-0.092	0.043	75.000	29.000	181.500	157.415	356.334	134.077	116.714	127.333	108.558	10.551	-0.249	-0.088	0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	29.000	205.353	156.536	353.519	141.979	118.667	129.882	107.958	6.725	0.655	0.344	-0.269
30.000	31.000	30.000	194.633	168.164	359.853	137.663	118.250	125.882	110.952	4.029	0.268	0.059	-0.145	31.000	30.000	152.581	120.981	359.853	127.572	114.241	117.960	105.536	6.654	-0.084	0.074	0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	30.000	195.786	168.267	359.853	158.950	128.333	139.812	118.021	2.946	0.054	0.176	0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	30.000	191.793	147.488	359.853	139.253	116.464	129.444	110.621	3.186	-0.084	0.172	0.172	31.000	30.000	194.750	157.923	359.853	154.090	135.500	149.500	114.790	3.041	0.333	0.291	-0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	30.000	182.667	143.493	359.853	148.855	137.355	146.286	124.801	1.174	0.138	0.092	-0.000	31.000	30.000	167.241	136.100	359.853	134.272	117.036	124.438	111.646	3.425	-0.073	-0.032	0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	30.000	165.741	144.273	366.307	135.995	118.548	126.389	107.833	7.056	0.414	0.135	-0.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	30.000	171.536	143.762	363.242	137.516	120.621	137.286	114.426	3.929	-0.138	-0.118	0.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	30.000	151.107	129.447	353.551	128.714	119.000	127.059	106.925	7.091	-0.084	0.043	0.092	76.000	30.000	175.231	146.579	357.666	132.701	114.862	125.857	108.028	10.153	-0.398	0.062	0.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	30.000	191.706	155.604	352.467	139.445	115.714	119.444	106.855	6.909	0.184	0.234	-0.000
31.000	32.000	31.000	207.148	162.429	362.592	135.685	119.259	129.000	109.545	4.067	0.038	-0.000	-0.087	32.000	31.000	156.484	122.842	362.592	131.379	115.429	122.615	106.345	7.645	0.991	-0.010	-0.929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	31.000	182.207	162.959	362.592	155.128	127.897	133.000	121.771	2.575	-0.371	-0.145	0.221	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	31.000	182.643	148.183	362.592	140.365	124.000	131.786	111.116	3.132	-0.054	0.127	0.154	32.000	31.000	191.548	164.176	362.592	152.795	129.781	137.190	115.041	3.447	0.406	0.204	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	31.000	185.500	147.602	362.592	150.865	139.065	150.333	128.523	1.101	-0.073	-0.035	-0.020	32.000	31.000	172.500	144.089	362.592	135.676	120.556	130.000	110.363	3.452	0.027	-0.000	-0.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	31.000	153.161	125.070	362.741	134.741	121.900	134.308	108.238	5.832	-1.224	0.086	1.314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	31.000	165.656	140.667	365.169	134.814	117.000	126.333	111.149	3.734	-0.195	-0.000	0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	31.000	159.704	131.958	353.556	129.426	115.448	126.900	107.382	7.274	0.184	0.092	-0.088	77.000	31.000	177.138	150.696	356.100	134.146	116.393	124.333	107.021	10.218	0.065	0.027	-0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	31.000	188.676	159.955	353.575	141.232	116.000	121.650	106.630	7.249	0.341	0.125	-0.199
32.000	33.000	32.000	196.143	153.405	363.117	133.276	113.690	122.118	110.391	4.075	0.008	0.031	0.027	33.000	32.000	166.226	126.010	363.117	137.819	112.929	124.625	106.088	8.831	1.186	0.064	-1.068	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	32.000	182.000	163.889	363.117	152.648	127.367	136.529	119.116	2.594	0.019	-0.090	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	32.000	188.933	165.545	363.117	141.097	121.375	129.118	113.733	3.262	0.130	-0.064	-0.116	33.000	32.000	191.179	164.896	363.117	153.109	131.000	143.357	114.381	3.642	0.195	0.205	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	32.000	176.370	166.934	363.117	146.043	132.656	148.833	130.021	1.231	0.130	-0.055	-0.200	33.000	32.000	171.480	158.076	363.117	134.692	117.808	123.111	111.568	3.655	0.203	-0.000	-0.179	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	32.000	149.414	125.757	367.955	131.162	116.774	123.789	108.902	5.878	0.046	0.072	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	32.000	172.077	135.078	361.114	135.669	123.321	134.583	111.951	3.290	-0.444	-0.087	0.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	32.000	160.778	135.698	353.041	127.308	115.000	124.636	107.973	7.523	0.249	0.092	-0.097	78.000	32.000	173.500	157.093	356.674	134.116	120.033	128.381	109.596	10.192	-0.027	-0.057	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	32.000	196.441	160.260	354.095	141.006	115.000	121.765	108.238	7.579	0.330	0.180	-0.126
33.000	34.000	33.000	191.667	156.026	365.084	136.544	123.828	130.778	110.000	3.937	-0.138	-0.058	0.058	34.000	33.000	155.379	125.596	365.084	133.982	117.767	125.250	108.130	7.924	-0.907	-0.128	0.736	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	33.000	182.963	156.857	365.084	155.840	131.133	141.588	120.103	2.502	-0.092	0.000	0.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	33.000	179.571	154.386	365.084	139.728	120.821	129.231	112.062	3.254	-0.008	0.185	0.008	34.000	33.000	203.379	164.527	365.084	152.062	123.444	130.176	114.800	3.986	0.344	0.158	-0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	33.000	178.793	163.917	365.084	151.566	137.485	144.120	126.407	1.434	0.203	0.089	-0.113	34.000	33.000	166.481	148.433	365.084	134.052	118.321	131.615	110.034	3.682	0.027	0.035	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	33.000	160.656	132.019	367.335	131.669	113.536	122.417	108.917	6.582	0.704	0.009	-0.598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	33.000	170.031	139.095	362.669	133.436	118.000	124.000	112.639	3.133	-0.157	-0.028	0.175	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	33.000	163.741	130.591	354.623	125.662	113.387	123.750	106.948	7.450	-0.073	-0.043	0.092	79.000	33.000	176.686	157.341	355.672	134.191	117.346	121.273	107.448	10.643	0.452	0.088	-0.233	90.000	33.000	170.111	163.783	352.467	124.886	111.222	116.040	107.840	8.769	8.769	2.076	-0.349	93.000	33.000	188.719	137.374	348.680	135.303	115.143	131.750	107.311	6.871	-0.708	0.217	0.920
