dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Base Local Background (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Tip Local Background (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Base Local Background (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Tip Local Background (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Base Local Background (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Tip Local Background (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)
10.000	11.000	10.000	284.167	220.507	544.443	169.612	138.414	152.267	132.449	1.825	0.192	-0.046	-0.368	11.000	10.000	242.478	213.727	544.443	144.756	123.565	148.250	116.040	5.148	0.181	-0.089	-0.356	11.000	10.000	155.103	149.676	544.443	140.243	122.786	134.056	116.878	4.876	0.176	0.322	0.064	11.000	10.000	216.517	148.282	544.443	136.786	120.320	123.269	113.046	7.809	-0.203	-0.065	0.065	11.000	10.000	158.433	135.033	544.443	134.470	121.542	125.421	112.849	10.224	-0.111	-0.018	0.090	23.000	10.000	265.885	227.014	504.181	180.601	147.655	159.231	140.879	1.902	-0.211	-0.091	0.091	38.000	10.000	257.441	221.147	495.024	199.790	167.167	187.000	163.964	1.808	0.382	0.073	-0.249	57.000	10.000	226.259	201.063	508.437	162.029	148.100	156.958	130.301	2.632	-0.076	-0.088	-0.030	74.000	10.000	199.571	164.699	522.982	164.109	141.071	155.643	130.142	1.827	0.111	0.065	0.000	79.000	10.000	161.423	144.967	525.479	141.877	128.269	134.600	122.433	1.846	0.203	0.000	-0.130	89.000	10.000	198.160	170.744	530.242	169.765	162.419	171.348	155.007	0.657	-1.332	-0.072	0.973	92.000	10.000	163.409	134.774	530.055	139.655	139.923	154.846	127.351	0.484	-0.046	0.052	0.169	101.000	10.000	268.484	184.526	539.336	177.905	141.250	153.250	129.317	1.729	0.000	0.087	0.087	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11.000	12.000	11.000	286.375	216.769	547.014	173.160	142.222	148.842	131.531	1.917	0.092	0.000	-0.097	12.000	11.000	263.231	230.731	547.014	146.700	122.042	134.200	116.333	5.351	0.203	0.034	-0.179	12.000	11.000	182.172	161.916	547.014	144.319	130.455	161.750	115.797	5.561	0.685	0.193	-0.395	12.000	11.000	228.931	148.739	547.014	139.353	122.360	134.444	113.973	7.874	0.065	-0.065	-0.065	12.000	11.000	156.467	131.441	547.014	132.859	121.000	126.944	112.784	10.224	0.000	0.054	0.054	24.000	11.000	281.690	239.968	543.937	188.953	149.148	165.000	139.537	2.131	0.230	0.091	-0.091	39.000	11.000	249.500	219.565	495.850	197.387	172.333	191.714	165.129	1.808	0.000	0.000	-0.012	58.000	11.000	253.828	214.214	513.283	171.083	150.938	165.611	136.176	2.754	0.122	-0.108	-0.199	75.000	11.000	201.333	172.889	521.889	159.938	137.185	147.833	128.872	1.838	0.011	0.065	0.003	80.000	11.000	177.586	152.922	527.729	143.407	133.391	149.500	123.570	2.087	0.241	-0.065	-0.259	90.000	11.000	204.040	160.267	535.152	185.357	185.357	226.000	154.217	0.410	-0.247	3.299E-15	0.164	93.000	11.000	161.045	137.241	525.787	143.686	143.222	155.429	128.773	0.495	0.010	0.167	0.111	102.000	11.000	248.765	189.217	534.273	170.707	139.423	145.474	130.378	1.905	0.176	0.059	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12.000	13.000	12.000	277.840	213.262	546.398	167.242	141.333	149.571	131.021	1.909	-0.008	-0.050	-0.007	13.000	12.000	276.889	236.794	546.398	147.816	126.417	131.500	116.360	5.488	0.138	-0.033	-0.145	13.000	12.000	203.667	175.365	546.398	145.771	132.226	145.667	115.947	5.989	0.428	0.323	-0.121	13.000	12.000	204.552	147.733	546.398	134.894	120.625	126.833	114.156	7.560	-0.314	0.000	0.195	13.000	12.000	153.333	127.733	546.398	131.112	117.600	123.875	113.079	9.708	-0.517	0.000	0.485	25.000	12.000	274.120	235.431	506.993	185.805	149.931	159.944	141.102	1.993	-0.138	-0.053	-0.014	40.000	12.000	254.278	223.089	492.076	202.574	170.200	191.417	161.169	1.984	0.176	-0.008	-0.194	59.000	12.000	251.741	212.610	511.951	174.181	149.536	160.444	130.794	2.773	0.019	-0.024	-0.121	76.000	12.000	201.357	162.226	519.340	158.304	140.034	155.857	130.000	1.548	-0.290	-0.058	0.259	81.000	12.000	186.571	152.786	529.655	145.754	126.125	129.792	121.177	2.079	-0.008	0.000	7.960E-18	91.000	12.000	210.154	164.494	529.623	193.077	193.077	205.600	159.102	0.410	-6.661E-16	-0.021	-0.021	94.000	12.000	163.174	135.389	527.079	143.379	143.240	157.667	127.962	0.476	-0.019	0.111	0.111	103.000	12.000	257.028	192.050	533.179	173.409	139.630	146.250	128.944	2.173	0.268	0.145	-0.119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13.000	14.000	13.000	282.393	203.419	545.905	169.780	143.222	150.955	130.191	1.947	0.038	0.053	0.076	14.000	13.000	308.367	233.844	545.905	148.122	126.696	129.895	117.248	5.618	0.130	0.000	-0.056	14.000	13.000	195.893	159.586	545.905	145.878	134.200	145.929	116.126	6.027	0.038	0.194	0.201	14.000	13.000	205.852	148.510	545.905	138.624	119.238	128.556	113.690	7.552	-0.008	0.000	-0.065	14.000	13.000	156.353	131.915	545.905	133.506	122.375	125.444	112.877	9.983	0.276	-0.053	-0.234	26.000	13.000	279.000	247.577	506.799	188.072	150.100	161.053	142.813	2.077	0.084	-0.091	-0.091	41.000	13.000	233.071	204.721	495.403	190.734	168.281	180.211	163.986	1.697	-0.287	0.129	0.394	60.000	13.000	253.107	212.767	513.165	176.135	145.034	153.619	129.979	2.930	0.157	0.000	-0.112	77.000	13.000	207.714	164.311	524.739	166.367	142.733	168.600	132.228	1.567	0.019	0.000	0.003	82.000	13.000	159.762	146.838	526.869	135.808	130.435	149.600	121.212	1.651	-0.428	0.000	0.377	92.000	13.000	230.278	178.107	530.055	196.000	196.000	204.333	172.704	0.154	-0.257	-0.116	-0.058	95.000	13.000	153.870	134.376	528.845	141.704	142.308	156.222	128.143	0.451	-0.024	0.178	0.204	104.000	13.000	263.400	191.750	528.756	171.324	138.538	147.941	129.899	2.127	-0.046	0.059	0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14.000	15.000	14.000	286.179	199.239	544.885	168.158	139.750	153.083	129.771	1.947	0.000	0.037	-0.017	15.000	14.000	309.690	228.754	544.885	148.460	124.154	133.133	117.027	5.572	-0.046	-0.056	0.000	15.000	14.000	210.679	169.843	544.885	147.872	135.233	151.467	120.329	6.249	0.222	0.145	-0.064	15.000	14.000	201.667	149.037	544.885	138.139	120.238	123.562	113.034	7.698	0.146	0.065	0.065	15.000	14.000	159.300	131.309	544.885	133.475	122.227	126.353	114.458	9.884	-0.100	0.000	0.037	27.000	14.000	280.529	251.987	506.931	185.797	144.968	153.364	140.283	2.307	0.230	0.055	-0.109	42.000	14.000	247.771	218.410	495.011	203.872	164.964	177.150	160.319	2.068	0.371	0.065	-0.257	61.000	14.000	276.185	212.286	513.488	172.984	141.036	150.619	126.363	3.263	0.333	0.173	-0.059	78.000	14.000	213.464	162.688	526.419	174.059	148.310	156.650	132.384	1.372	-0.195	0.004	0.191	83.000	14.000	204.238	177.831	535.030	141.460	128.500	138.500	120.167	2.007	0.355	-0.065	-0.454	93.000	14.000	227.889	181.678	525.787	181.250	181.250	213.500	173.598	0.410	0.257	-0.062	-0.123	96.000	14.000	158.885	135.606	530.745	147.273	145.741	158.929	129.833	0.473	0.022	0.123	0.041	105.000	14.000	272.265	199.989	532.879	176.645	132.929	138.909	125.974	2.617	0.490	0.265	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15.000	16.000	15.000	259.815	211.724	543.836	159.391	138.069	146.824	129.869	1.959	0.011	0.000	0.007	16.000	15.000	286.679	246.358	543.836	149.684	125.500	131.812	117.476	5.710	0.138	0.089	-0.034	16.000	15.000	236.448	187.646	543.836	149.953	135.571	145.562	119.299	6.582	0.333	0.129	-0.258	16.000	15.000	206.333	143.827	543.836	137.641	122.400	129.500	113.722	7.495	-0.203	-0.065	0.129	16.000	15.000	153.182	132.838	543.836	133.282	124.423	138.273	112.812	9.995	0.111	0.054	0.000	28.000	15.000	269.241	239.619	504.775	184.056	150.414	164.733	139.946	2.123	-0.184	-0.053	0.105	43.000	15.000	237.429	209.062	496.532	194.970	165.469	178.938	159.660	2.003	-0.065	0.065	0.195	62.000	15.000	264.962	197.333	517.285	173.003	141.429	152.000	124.524	3.290	0.027	0.145	0.059	79.000	15.000	231.310	162.337	525.479	184.067	155.138	175.077	133.556	1.131	-0.241	-0.000	0.247	84.000	15.000	198.650	157.732	530.346	140.348	131.077	183.000	121.853	1.877	-0.130	0.000	0.067	94.000	15.000	293.758	229.894	527.079	248.889	221.212	248.591	192.000	1.082	0.672	-0.183	-0.697	97.000	15.000	165.692	138.194	523.650	144.791	141.036	161.333	130.559	0.584	0.111	0.125	0.062	106.000	15.000	229.833	188.052	529.327	161.570	135.769	142.300	124.347	2.552	-0.065	0.232	0.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16.000	17.000	16.000	214.778	173.250	539.278	154.490	132.929	147.100	127.435	1.721	-0.238	0.000	0.180	17.000	16.000	251.040	214.218	539.278	145.297	126.560	129.654	118.340	5.553	-0.157	-0.090	0.110	17.000	16.000	222.633	187.985	539.278	148.832	132.750	142.800	120.883	6.803	0.222	0.137	-0.057	17.000	16.000	210.679	151.570	539.278	137.870	122.680	130.000	113.845	7.663	0.168	0.065	-0.130	17.000	16.000	149.200	130.283	539.278	131.760	119.125	125.769	113.185	9.589	-0.406	-0.037	0.432	29.000	16.000	284.839	248.000	502.753	186.619	143.179	161.500	140.884	2.318	0.195	0.055	-0.166	44.000	16.000	225.143	203.431	496.464	187.720	167.844	178.095	157.826	1.735	-0.268	0.000	0.065	63.000	16.000	212.034	178.495	515.605	167.287	145.379	157.737	124.510	3.019	-0.271	0.062	0.348	80.000	16.000	212.500	172.155	527.729	175.147	156.167	174.083	137.132	0.890	-0.241	-0.013	0.178	85.000	16.000	198.750	156.690	530.916	139.023	125.040	144.333	122.257	1.727	-0.149	0.000	0.125	95.000	16.000	309.000	234.475	528.845	248.505	222.742	248.760	194.198	1.009	-0.073	-0.091	-0.052	98.000	16.000	168.909	142.987	527.390	143.121	137.286	149.667	130.486	0.733	0.149	0.127	0.000	107.000	16.000	241.759	192.341	533.318	164.252	131.960	143.889	124.595	2.727	0.176	0.145	-0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17.000	18.000	17.000	205.286	169.213	537.280	153.409	137.633	146.333	126.585	1.751	0.030	0.000	0.080	18.000	17.000	249.000	194.770	537.280	142.576	122.320	129.938	118.688	5.416	-0.138	0.000	0.090	18.000	17.000	212.281	194.386	537.280	148.674	132.533	141.368	119.073	6.933	0.130	0.129	0.077	18.000	17.000	209.933	154.121	537.280	139.940	124.000	128.471	113.197	7.728	0.065	0.000	-0.065	18.000	17.000	151.700	132.134	537.280	133.921	120.296	129.583	111.967	9.949	0.360	0.037	-0.432	30.000	17.000	275.692	254.458	500.145	185.837	142.500	157.000	140.718	2.234	-0.084	-0.054	-0.037	45.000	17.000	212.094	185.400	491.525	184.754	169.833	185.400	159.238	1.475	-0.260	0.072	0.393	64.000	17.000	211.345	177.903	521.820	162.393	143.067	156.118	123.469	3.111	0.092	0.145	0.057	81.000	17.000	219.963	159.162	529.655	175.125	160.667	187.250	135.760	0.817	-0.073	0.021	0.062	86.000	17.000	185.650	154.506	527.720	140.146	126.667	154.333	121.259	1.689	-0.038	0.000	0.065	96.000	17.000	311.265	236.422	530.745	253.716	231.000	262.300	203.488	0.879	-0.130	-0.141	0.000	99.000	17.000	165.769	144.622	527.774	149.494	140.179	146.083	127.849	0.974	0.241	0.189	-0.065	108.000	17.000	253.393	204.686	536.126	162.035	132.960	138.353	124.776	3.022	0.295	0.060	-0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	18.000	257.690	207.911	540.448	142.322	120.269	125.118	116.671	5.637	0.222	0.056	-0.112	19.000	18.000	227.552	188.611	540.448	149.756	132.367	143.278	122.264	7.442	0.509	0.073	-0.283	19.000	18.000	213.379	157.398	540.448	137.530	122.280	128.000	112.524	7.701	-0.027	0.000	0.000	19.000	18.000	158.676	133.150	540.448	135.897	125.040	128.000	114.164	10.205	0.257	-0.144	-0.378	31.000	18.000	247.885	233.720	500.133	181.133	143.704	150.423	139.910	2.123	-0.111	-0.000	0.144	46.000	18.000	199.552	183.247	494.529	182.348	173.727	186.650	161.678	1.418	-0.057	0.065	0.065	65.000	18.000	238.360	185.093	518.933	167.384	139.179	149.235	124.318	3.268	0.157	0.145	-0.033	82.000	18.000	203.793	162.500	526.869	173.214	157.941	176.389	137.764	0.817	0.000	-0.000	-0.000	87.000	18.000	189.050	153.962	530.882	140.339	131.400	140.222	121.433	1.689	0.000	0.000	0.000	97.000	18.000	314.382	225.000	523.650	245.958	237.438	284.143	196.370	0.755	-0.124	-0.116	0.058	100.000	18.000	166.577	147.819	533.257	141.816	133.688	148.400	129.555	1.039	0.065	0.000	-0.065	109.000	18.000	255.100	202.269	534.940	164.913	135.042	141.150	125.054	3.225	0.203	0.145	-0.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19.000	20.000	19.000	206.778	167.474	540.751	153.252	138.286	150.000	128.182	1.705	1.705	0.000	0.250	20.000	19.000	228.192	191.643	540.751	140.452	127.840	138.273	117.296	5.481	-0.157	-0.056	0.089	20.000	19.000	234.345	185.177	540.751	150.769	137.714	146.688	120.137	7.729	0.287	0.194	-0.129	20.000	19.000	204.467	158.250	540.751	137.202	122.192	128.625	112.571	7.931	0.230	0.066	-0.066	20.000	19.000	155.788	129.437	540.751	135.131	121.840	128.500	113.810	9.873	-0.333	0.000	0.288	32.000	19.000	267.281	244.383	496.809	187.468	146.857	161.250	141.110	2.318	0.195	-0.035	-0.145	47.000	19.000	212.448	191.514	496.276	190.644	178.067	190.778	165.194	1.364	-0.054	-0.130	-0.065	66.000	19.000	237.107	179.837	521.189	162.530	135.036	147.000	123.731	3.203	-0.065	0.000	0.021	83.000	19.000	224.036	169.375	535.030	182.225	154.581	171.706	136.159	1.001	0.184	0.063	-0.126	88.000	19.000	184.217	156.678	531.896	140.043	130.240	140.462	121.621	1.762	0.073	-0.065	-0.072	98.000	19.000	250.593	205.126	527.390	216.143	217.692	231.833	194.356	0.475	-0.280	0.103	0.185	101.000	19.000	174.346	149.536	539.336	148.078	140.217	151.900	127.007	1.188	0.149	0.130	-0.065	110.000	19.000	247.567	211.163	533.059	161.295	135.208	143.385	124.231	3.371	0.146	0.029	-0.087	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20.000	21.000	20.000	213.607	180.604	544.902	153.347	138.893	142.955	128.434	1.732	0.027	-0.018	-0.018	21.000	20.000	245.148	194.037	544.902	141.115	122.739	130.917	117.042	5.592	0.111	0.089	-0.056	21.000	20.000	226.741	190.813	544.902	149.284	132.138	140.400	120.373	7.848	0.119	0.202	0.000	21.000	20.000	200.867	152.949	544.902	138.841	127.609	130.600	113.143	7.950	0.019	0.064	-0.001	21.000	20.000	162.588	135.515	544.902	136.230	117.750	126.692	113.596	10.251	0.379	-0.036	-0.378	33.000	20.000	291.781	259.696	501.595	193.419	146.481	152.611	140.438	2.380	0.062	-0.012	-0.130	48.000	20.000	216.548	195.238	499.365	193.384	176.606	194.136	170.399	1.502	0.138	-0.065	-0.201	67.000	20.000	238.733	180.908	518.297	167.767	140.067	153.571	124.713	3.222	0.019	0.000	0.033	84.000	20.000	213.818	168.457	530.346	183.143	158.839	184.538	139.517	1.001	0.000	-0.080	-0.017	89.000	20.000	184.273	149.940	530.242	143.050	130.714	144.750	122.971	1.586	-0.176	-0.065	0.135	99.000	20.000	260.760	220.863	527.774	221.864	221.864	250.417	198.220	0.487	0.011	-0.095	-0.158	102.000	20.000	164.783	147.567	534.273	142.685	135.923	147.500	125.438	1.410	0.222	0.133	-0.062	111.000	20.000	260.500	235.946	526.795	163.498	136.577	151.200	127.814	3.371	0.000	-0.258	-0.266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21.000	22.000	21.000	208.357	181.755	543.969	154.076	140.357	144.591	127.923	1.767	0.035	0.023	-0.023	22.000	21.000	267.828	203.838	543.969	143.633	120.750	130.900	116.338	5.710	0.119	0.000	-0.179	22.000	21.000	223.893	185.571	543.969	147.080	125.345	139.250	121.800	7.886	0.038	0.064	0.000	22.000	21.000	195.679	151.722	543.969	136.066	123.304	134.556	113.951	8.004	0.054	0.002	-0.002	22.000	21.000	155.806	133.042	543.969	136.677	123.292	129.045	114.311	10.003	-0.249	-0.090	0.090	34.000	21.000	295.613	246.822	493.100	195.900	150.464	157.957	142.329	2.307	-0.073	-0.038	-0.000	49.000	21.000	197.821	169.810	500.239	179.098	180.406	200.667	166.945	0.707	-0.796	0.065	1.040	68.000	21.000	265.452	189.963	523.494	171.381	139.000	152.500	125.868	3.314	0.092	0.000	-0.071	85.000	21.000	207.125	168.863	530.916	172.892	136.375	148.417	131.007	1.307	0.306	0.126	-0.205	90.000	21.000	174.545	146.753	535.152	139.976	128.190	133.467	120.577	1.651	0.065	0.194	0.130	100.000	21.000	280.815	218.691	533.257	234.045	232.350	264.667	200.693	0.573	0.087	-0.065	7.960E-18	103.000	21.000	167.885	153.802	533.179	142.568	133.038	141.562	125.359	1.716	0.306	0.062	-0.198	112.000	21.000	259.586	232.068	524.197	163.318	141.741	150.647	126.911	3.509	0.138	-0.031	-0.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	22.000	248.552	206.416	504.181	142.501	127.375	131.810	116.864	5.592	-0.119	-0.145	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	22.000	160.588	135.303	504.181	137.009	122.192	126.174	112.973	10.186	0.184	0.037	-0.090	35.000	22.000	290.607	257.973	497.073	197.549	152.333	161.091	146.259	2.123	-0.184	-0.144	0.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	22.000	270.030	184.843	522.797	171.476	146.931	155.588	124.764	3.387	0.073	0.179	0.124	86.000	22.000	207.100	159.548	527.720	168.700	139.462	152.917	128.753	1.280	-0.027	-0.064	0.013	91.000	22.000	169.909	143.967	529.623	137.115	127.731	134.222	123.450	1.383	-0.268	-0.065	0.194	101.000	22.000	306.600	231.397	539.336	250.690	249.560	288.294	208.873	0.571	-0.003	0.047	-0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000	22.000	273.652	231.338	523.086	164.169	137.667	152.333	127.966	3.639	0.130	0.000	-0.174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23.000	24.000	23.000	211.321	171.657	543.937	152.599	132.538	142.083	125.875	1.778	1.778	0.022	0.244	24.000	23.000	249.556	198.329	543.937	142.380	127.636	137.538	116.931	5.691	0.100	0.145	-0.013	24.000	23.000	217.379	182.869	543.937	147.131	130.731	140.714	120.646	8.127	8.127	0.000	0.000	24.000	23.000	189.321	149.589	543.937	137.520	115.143	123.400	112.397	8.202	8.202	0.130	-5.463	24.000	23.000	159.516	136.568	543.937	135.470	119.880	132.000	112.662	10.048	-0.138	0.000	0.036	36.000	23.000	298.800	258.930	487.311	197.905	154.034	169.882	149.329	1.967	-0.157	-0.196	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	23.000	199.630	162.602	521.215	155.312	144.241	157.412	126.349	2.583	-0.804	0.000	0.667	87.000	23.000	221.613	165.654	530.882	172.910	134.034	141.947	127.257	1.594	0.314	-0.000	-0.257	92.000	23.000	164.304	137.232	530.055	138.233	132.792	139.471	122.473	1.039	-0.344	0.000	0.242	102.000	23.000	326.393	219.182	534.273	271.250	271.250	276.727	211.106	0.420	-0.151	0.000	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	23.000	246.290	217.815	530.820	162.924	136.375	146.833	126.951	3.723	0.084	0.031	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
24.000	25.000	24.000	222.483	177.843	506.993	159.645	131.038	139.571	126.604	2.290	0.512	0.000	-0.312	25.000	24.000	242.962	195.282	506.993	139.524	119.348	128.417	117.287	5.645	-0.046	0.000	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	24.000	156.700	132.393	506.993	135.084	120.636	125.389	112.160	9.838	-0.211	-0.126	0.090	37.000	24.000	320.433	263.033	500.839	203.106	156.571	176.667	151.980	2.005	0.038	-0.091	-0.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	24.000	221.414	168.021	520.572	158.670	143.600	149.714	125.245	2.943	0.360	0.090	-0.181	88.000	24.000	210.241	155.281	531.896	161.526	140.857	151.267	125.425	1.483	-0.111	0.065	0.130	93.000	24.000	169.846	138.735	525.787	144.750	143.821	158.111	125.680	1.066	0.027	0.060	0.134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	24.000	156.304	144.918	529.327	138.565	129.654	145.429	121.753	1.735	1.735	0.065	0.260	115.000	24.000	243.281	200.291	534.418	163.540	138.556	150.000	125.566	3.742	0.019	-0.087	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25.000	26.000	25.000	225.276	180.880	506.799	160.687	131.000	137.737	127.128	2.547	0.257	0.000	-0.191	26.000	25.000	258.821	205.024	506.799	141.051	120.792	125.905	116.707	5.756	0.111	-0.034	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	25.000	157.844	135.111	506.799	135.012	120.462	125.045	112.834	9.784	-0.054	-0.144	0.000	38.000	25.000	285.793	261.575	495.024	201.871	161.074	173.529	156.559	1.745	-0.260	-0.142	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	25.000	248.533	177.303	522.035	166.735	142.621	156.917	123.406	3.422	0.479	0.181	-0.234	89.000	25.000	210.037	160.422	530.242	158.316	136.333	146.500	126.368	1.437	-0.046	0.065	0.000	94.000	25.000	167.696	139.713	527.079	144.596	139.077	147.750	126.287	0.772	-0.295	0.012	0.192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	25.000	167.394	154.652	533.318	143.042	124.958	134.500	122.007	2.347	0.612	0.130	-0.325	116.000	25.000	242.345	209.486	529.526	160.473	133.308	146.857	124.655	3.937	0.195	0.145	-0.118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
