T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	22.360	7.540	405.264	184.914	106.020	134.210
2.000	22.360	7.605	388.352	179.521	105.658	132.267
3.000	22.360	7.540	389.469	178.024	105.790	132.268
4.000	22.490	7.475	386.716	176.125	105.582	131.380
5.000	22.425	7.410	384.304	174.686	105.720	131.287
6.000	20.995	6.045	393.249	174.327	105.739	131.797
7.000	20.995	5.980	395.769	173.133	105.764	131.607
8.000	20.930	5.590	406.592	170.097	105.809	130.958
9.000	22.425	7.280	392.047	173.769	105.774	130.636
10.000	22.360	7.215	392.190	171.957	105.747	130.369
11.000	22.425	7.215	391.147	173.388	105.775	130.382
12.000	21.255	6.175	395.945	171.467	105.793	130.154
13.000	20.995	5.980	399.070	170.904	105.792	130.165
14.000	21.125	6.045	404.439	169.625	105.817	130.364
15.000	20.995	5.525	407.625	168.169	105.914	130.910
16.000	20.930	5.590	409.495	167.859	105.847	130.698
17.000	21.060	5.980	408.651	166.252	105.822	130.784
18.000	20.930	5.980	405.910	163.853	105.862	130.488
19.000	21.060	5.980	407.662	163.129	105.907	131.031
20.000	21.775	6.760	401.495	163.680	105.893	130.160
21.000	21.060	5.980	407.250	161.779	105.850	130.267
22.000	20.865	5.590	407.514	160.332	105.822	130.292
23.000	21.645	6.565	404.646	158.916	105.890	131.070
24.000	21.515	6.435	404.367	159.669	105.875	130.973
25.000	21.580	5.590	409.523	159.667	105.862	131.415
26.000	21.515	5.525	410.627	162.669	105.843	131.075
27.000	21.645	6.110	409.435	159.652	105.855	131.178
28.000	21.710	5.395	409.846	160.958	105.890	131.196
29.000	21.775	5.980	404.112	155.964	105.851	131.007
30.000	21.645	5.980	405.253	155.127	105.854	130.966
31.000	21.840	5.915	406.321	158.755	105.797	131.004
32.000	21.840	5.785	411.519	155.826	105.979	131.304
33.000	21.905	5.655	406.814	158.294	105.944	130.396
34.000	21.905	5.525	400.684	155.445	105.914	129.712
35.000	21.710	5.460	401.947	153.889	105.912	129.440
36.000	21.905	5.330	398.994	149.956	105.966	129.993
37.000	21.840	5.330	399.737	154.975	105.873	128.921
38.000	21.775	5.265	405.866	155.526	105.930	129.158
39.000	21.775	5.265	406.120	154.890	105.964	129.125
40.000	21.710	5.395	409.340	154.365	105.937	129.150
41.000	21.580	5.330	410.611	155.004	105.883	128.527
42.000	21.645	5.655	417.128	155.978	105.959	128.693
43.000	21.710	5.265	419.731	159.782	105.920	128.184
44.000	21.840	5.265	421.662	161.826	106.007	128.174
45.000	21.840	5.200	422.953	164.053	106.071	128.301
46.000	21.840	5.200	425.849	160.509	106.065	128.392
47.000	21.840	5.330	422.519	163.856	106.114	128.447
48.000	21.905	5.395	420.539	165.436	106.102	128.459
49.000	21.710	5.330	419.324	164.684	106.040	127.937
50.000	21.970	5.265	422.334	166.508	106.052	128.041
51.000	22.035	5.330	419.606	169.828	106.088	127.904
52.000	22.035	5.330	416.717	170.108	106.052	127.996
53.000	22.100	5.200	424.212	170.954	106.027	127.573
54.000	21.970	5.395	417.848	171.687	106.143	128.091
55.000	21.970	5.265	423.390	170.770	106.138	128.220
56.000	22.100	5.590	416.189	172.464	106.133	128.053
57.000	21.970	5.265	418.586	171.412	106.145	127.854
