dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)
99.000	100.000	99.000	217.714	181.271	470.790	143.838	123.750	135.250	108.892	13.562	0.257	0.065	-0.005	100.000	99.000	157.310	136.725	470.790	134.922	119.704	125.944	110.228	10.139	-0.325	-0.000	0.385	100.000	99.000	200.200	157.659	470.790	163.269	147.517	152.760	134.293	1.101	0.176	0.090	-0.035	103.000	99.000	209.719	177.135	469.652	141.659	124.840	133.923	110.820	7.723	-0.027	-0.047	0.045	100.000	99.000	231.000	162.217	470.790	153.939	120.889	124.826	110.127	7.543	0.092	0.088	-0.000	100.000	99.000	224.750	201.262	470.790	146.502	123.923	139.571	112.107	7.924	0.111	0.000	-0.009	100.000	99.000	228.107	200.337	470.790	142.414	116.609	121.882	108.782	14.097	0.027	0.063	0.063	102.000	99.000	191.864	159.473	470.383	160.536	151.067	164.125	133.144	1.277	-0.211	-0.000	0.234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100.000	101.000	100.000	235.222	186.533	471.200	142.929	122.679	131.333	108.980	13.921	0.360	0.198	-0.130	101.000	100.000	157.760	141.188	471.200	137.523	120.667	126.824	108.667	10.288	0.149	-0.000	-0.257	101.000	100.000	205.200	161.400	471.200	159.547	141.750	150.684	131.240	1.220	0.119	0.144	0.054	104.000	100.000	206.276	172.791	463.615	139.199	121.846	129.056	111.966	7.501	-0.222	-0.044	0.044	101.000	100.000	227.629	158.573	471.200	154.938	121.038	132.750	110.483	7.727	0.184	0.031	-0.145	101.000	100.000	241.281	194.463	471.200	147.452	123.577	136.889	111.899	8.062	0.138	0.000	-0.064	101.000	100.000	211.161	187.226	471.200	140.921	116.130	123.000	109.403	14.013	-0.084	-0.000	0.063	103.000	100.000	181.885	157.312	469.652	157.485	146.679	157.222	135.021	1.231	-0.046	0.057	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
101.000	102.000	101.000	242.222	190.153	470.383	143.735	122.643	129.875	107.865	14.108	0.187	0.198	-0.065	102.000	101.000	158.200	148.545	470.383	137.809	119.643	123.250	109.726	10.786	0.498	-0.064	-0.395	102.000	101.000	194.786	167.800	470.383	156.129	141.607	150.105	133.840	1.136	-0.084	-0.000	-0.000	105.000	101.000	202.036	172.250	466.676	140.377	119.640	128.643	111.061	7.482	-0.019	-0.000	0.047	102.000	101.000	241.424	164.221	470.383	156.695	122.407	136.800	112.772	7.884	0.157	-0.030	-0.233	102.000	101.000	237.520	188.114	470.383	145.849	123.042	135.667	111.836	8.005	-0.057	0.065	0.072	102.000	101.000	250.517	200.100	470.383	143.404	116.478	118.857	109.329	14.181	0.168	-0.000	-0.189	104.000	101.000	182.080	160.387	463.615	155.167	143.000	158.688	132.163	1.296	0.065	0.087	0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
102.000	103.000	102.000	228.143	195.620	469.652	142.736	120.222	129.789	109.552	14.392	0.284	0.068	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	102.000	200.593	160.000	469.652	160.282	150.167	163.375	131.966	1.174	0.038	-0.000	0.053	106.000	102.000	206.160	173.062	465.800	141.691	118.720	128.727	109.110	7.547	0.065	0.044	-0.047	103.000	102.000	229.971	167.509	469.652	153.091	125.667	133.111	110.132	7.987	0.103	0.058	0.030	103.000	102.000	235.517	187.212	469.652	146.141	125.808	139.538	110.617	7.924	-0.081	-0.064	0.000	103.000	102.000	245.500	198.416	469.652	143.287	119.304	129.300	108.620	14.208	0.027	-0.000	-0.016	105.000	102.000	185.167	161.108	466.676	156.454	138.750	151.308	130.007	1.453	0.157	0.180	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
103.000	104.000	103.000	239.966	187.188	463.615	142.822	124.815	193.000	110.507	14.349	-0.043	0.065	-0.062	104.000	103.000	175.704	149.720	463.615	129.495	120.267	127.333	109.257	9.971	9.971	0.000	0.000	104.000	103.000	205.042	160.667	463.615	159.604	149.767	163.667	132.221	1.128	-0.046	0.038	0.038	107.000	103.000	208.276	170.471	464.398	143.865	122.640	132.333	110.428	7.493	-0.054	-0.092	-0.000	104.000	103.000	230.667	169.559	463.615	153.556	125.192	132.421	111.603	8.419	0.433	0.088	-0.378	104.000	103.000	237.821	191.638	463.615	147.527	122.923	133.750	111.913	7.951	0.027	0.000	-0.009	104.000	103.000	226.469	187.340	463.615	141.386	120.917	127.917	108.993	13.967	-0.241	-0.000	0.268	106.000	103.000	188.654	173.625	465.800	158.258	141.000	150.467	130.534	1.572	0.119	-0.000	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
104.000	105.000	104.000	224.143	186.188	466.676	141.409	125.179	132.368	108.397	14.384	0.035	0.134	0.191	105.000	104.000	177.545	160.803	466.676	137.401	119.069	130.250	107.955	11.540	1.569	0.064	-1.209	105.000	104.000	200.286	164.928	466.676	158.786	141.036	146.913	128.840	1.358	0.230	0.144	-0.091	108.000	104.000	198.867	169.291	463.240	140.049	123.778	127.962	110.288	7.401	-0.092	-0.047	0.092	105.000	104.000	238.818	166.800	466.676	154.428	123.652	128.556	110.568	8.584	0.165	0.088	-0.088	105.000	104.000	239.036	190.868	466.676	146.193	119.136	129.077	112.448	7.986	0.035	0.000	0.000	105.000	104.000	234.903	195.798	466.676	142.598	120.045	123.632	108.882	13.921	-0.046	-0.063	-0.063	107.000	104.000	193.478	169.192	464.398	159.279	142.290	150.640	135.383	1.545	-0.027	-0.086	-0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
105.000	106.000	105.000	235.815	187.488	465.800	143.297	126.679	165.500	111.648	14.411	0.027	-0.000	-0.069	106.000	105.000	174.548	156.241	465.800	132.887	121.333	131.083	109.856	10.526	-1.014	-0.064	0.748	106.000	105.000	199.033	164.538	465.800	157.149	142.393	152.600	126.600	1.542	0.184	0.144	-0.000	109.000	105.000	191.000	165.022	459.990	139.625	119.320	132.438	111.760	7.152	-0.249	-0.045	0.139	106.000	105.000	236.700	173.717	465.800	150.795	124.542	131.533	111.747	8.733	0.149	0.058	-0.028	106.000	105.000	236.968	198.846	465.800	147.201	120.038	133.125	110.907	8.062	0.076	0.000	-0.064	106.000	105.000	264.800	203.500	465.800	144.516	121.500	128.000	108.870	14.089	0.168	-0.000	-0.174	108.000	105.000	188.720	171.699	463.240	159.657	144.643	159.250	132.603	1.610	0.065	0.039	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
106.000	107.000	106.000	189.310	169.717	464.398	139.936	126.433	132.000	110.973	14.013	-0.398	-0.000	0.519	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	106.000	208.429	163.225	464.398	157.123	141.276	157.067	125.109	1.588	0.046	0.082	-0.000	110.000	106.000	204.414	170.488	460.560	140.417	122.423	128.818	112.135	7.133	-0.019	-0.047	-0.000	107.000	106.000	239.824	171.294	464.398	154.954	123.481	129.889	109.449	9.231	0.498	0.088	-0.409	107.000	106.000	185.556	156.769	464.398	137.611	122.667	130.706	110.542	6.887	-1.175	0.000	0.991	107.000	106.000	234.923	195.385	464.398	143.082	113.667	118.500	108.442	14.089	0.000	0.063	0.047	109.000	106.000	180.800	164.419	459.990	155.449	141.321	149.190	131.082	1.518	-0.092	-0.033	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
107.000	108.000	107.000	209.767	178.663	463.240	141.808	127.821	133.333	110.000	14.262	0.249	0.065	-0.204	108.000	107.000	182.853	170.000	463.240	135.885	117.900	130.500	109.053	11.467	11.467	0.000	0.000	108.000	107.000	203.774	159.072	463.240	157.593	147.483	154.444	125.762	1.699	0.111	0.052	-0.000	111.000	107.000	192.250	173.429	464.185	141.628	125.034	134.850	112.632	6.923	-0.211	-0.184	-0.000	108.000	107.000	238.812	169.628	463.240	152.639	124.615	136.667	110.268	9.166	-0.065	0.088	0.145	108.000	107.000	187.240	155.970	463.240	139.467	127.391	152.500	111.938	6.842	-0.046	0.000	0.065	108.000	107.000	239.233	199.090	463.240	143.857	119.652	125.143	108.196	14.097	0.008	-0.063	-0.047	110.000	107.000	188.240	160.725	460.560	154.920	140.207	145.591	129.748	1.583	0.065	-0.000	-0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
108.000	109.000	108.000	198.259	176.319	459.990	142.066	123.154	131.529	110.203	14.224	-0.038	0.065	0.069	109.000	108.000	183.037	157.342	459.990	133.482	117.821	129.273	108.980	10.767	-0.701	-0.000	0.372	109.000	108.000	202.821	161.798	459.990	154.448	138.379	145.500	122.551	1.882	0.184	0.274	0.091	112.000	108.000	205.724	174.679	461.270	141.925	123.667	128.217	115.155	6.785	-0.138	-0.228	-0.139	109.000	108.000	218.879	168.794	459.990	149.431	125.000	129.000	109.627	9.239	0.073	0.057	-0.031	109.000	108.000	187.256	159.094	459.990	139.799	123.826	139.600	111.434	7.580	0.739	0.065	-0.252	109.000	108.000	231.345	184.095	459.990	142.879	117.727	127.625	109.014	13.829	-0.268	-0.000	0.268	111.000	108.000	192.565	157.105	464.185	154.274	142.593	151.250	130.692	1.334	-0.249	-0.023	0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
109.000	110.000	109.000	201.767	181.968	460.560	142.525	125.143	149.143	113.784	14.189	-0.035	-0.134	-0.134	110.000	109.000	187.115	163.543	460.560	133.489	121.133	129.250	108.608	10.969	0.203	-0.000	-0.204	110.000	109.000	199.346	160.557	460.560	151.554	137.741	151.727	121.814	1.955	0.073	0.142	0.051	113.000	109.000	200.321	169.911	460.862	144.086	126.296	136.188	113.845	6.490	-0.295	-0.228	0.140	110.000	109.000	245.188	180.659	460.560	155.213	128.346	135.929	111.500	9.591	0.352	-0.000	-0.291	110.000	109.000	189.033	159.440	460.560	138.881	119.654	131.400	112.743	7.063	-0.517	-0.065	0.129	110.000	109.000	214.267	178.813	460.560	141.495	116.739	124.333	109.315	13.718	-0.111	0.063	0.173	112.000	109.000	187.393	158.126	461.270	157.265	146.214	159.538	132.816	1.361	0.027	-0.061	-0.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
110.000	111.000	110.000	200.478	184.049	464.185	141.243	126.613	134.611	111.305	14.105	-0.084	-0.065	-0.000	111.000	110.000	174.645	159.000	464.185	132.552	119.133	132.625	108.453	11.080	0.111	-0.000	-0.064	111.000	110.000	202.312	165.547	464.185	153.005	135.536	146.417	121.149	2.139	0.184	0.041	-0.142	114.000	110.000	205.962	171.854	459.155	144.283	128.852	144.333	116.524	6.149	-0.341	-0.231	-0.000	111.000	110.000	225.889	175.596	464.185	152.918	122.808	135.615	112.286	9.664	0.073	0.031	-0.000	111.000	110.000	234.857	189.051	464.185	147.822	120.769	126.632	112.530	7.886	0.823	0.000	-0.808	111.000	110.000	217.880	187.321	464.185	142.416	122.478	131.250	109.243	13.791	0.073	-0.063	-0.126	113.000	110.000	178.786	159.607	460.862	157.531	150.419	159.435	137.220	1.101	-0.260	-0.233	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
111.000	112.000	111.000	229.143	192.246	461.270	140.701	128.208	132.368	109.957	14.484	0.379	0.069	-0.255	112.000	111.000	168.393	159.217	461.270	135.147	122.100	131.769	110.335	11.080	0.000	-0.000	-0.000	112.000	111.000	202.906	163.742	461.270	151.227	132.103	139.714	120.171	2.296	0.157	0.142	-0.000	115.000	111.000	189.731	160.452	459.931	140.496	125.296	135.312	117.208	5.716	-0.433	-0.180	0.232	112.000	111.000	222.258	175.538	461.270	151.996	126.852	136.538	110.685	9.683	0.019	0.057	-0.000	112.000	111.000	178.414	155.865	461.270	141.395	123.640	132.750	111.255	7.071	-0.815	0.000	0.804	112.000	111.000	202.867	173.687	461.270	142.242	120.789	124.500	109.014	13.680	-0.111	0.063	0.126	114.000	111.000	179.261	159.950	459.155	157.926	149.643	160.235	137.403	1.009	-0.092	-0.027	0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
112.000	113.000	112.000	230.286	176.480	460.862	140.806	123.821	132.357	111.068	14.292	-0.192	-0.000	0.072	113.000	112.000	169.677	152.740	460.862	135.841	124.034	128.087	112.046	10.996	-0.084	-0.128	-0.064	113.000	112.000	199.032	161.779	460.862	152.109	129.481	148.900	118.458	2.296	0.000	0.053	0.038	116.000	112.000	191.269	166.047	460.724	142.840	127.704	135.882	116.062	5.533	-0.184	-0.276	-0.092	113.000	112.000	214.310	173.433	460.862	150.596	122.222	133.133	112.808	9.526	-0.157	-0.000	0.088	113.000	112.000	189.475	154.959	460.862	139.950	125.000	136.429	111.866	7.431	0.360	0.000	-0.129	113.000	112.000	205.214	170.326	460.862	143.098	118.273	124.667	108.866	13.577	-0.103	-0.063	0.126	115.000	112.000	174.333	155.218	459.931	156.897	150.567	169.273	135.448	1.001	-0.008	0.059	0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
113.000	114.000	113.000	191.935	173.535	459.155	138.584	127.786	139.267	108.745	14.078	-0.214	-0.000	0.389	114.000	113.000	158.793	147.140	459.155	134.482	127.296	135.333	110.764	10.453	-0.544	-0.075	0.427	114.000	113.000	202.033	163.576	459.155	151.781	132.593	141.957	120.412	2.415	0.119	0.084	-0.042	117.000	113.000	192.583	168.782	461.568	143.123	128.741	127.971	117.890	5.257	-0.276	-0.275	-0.000	114.000	113.000	226.000	170.620	459.155	148.685	124.500	132.812	108.573	9.748	0.222	0.145	-0.057	114.000	113.000	184.839	154.883	459.155	138.758	123.714	127.933	113.233	7.163	-0.268	0.000	0.129	114.000	113.000	205.370	162.010	459.155	133.557	119.083	126.545	108.925	12.605	-0.972	-0.000	0.787	116.000	113.000	179.286	155.379	460.724	157.877	151.375	168.333	137.272	0.917	-0.084	-0.057	0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
114.000	115.000	114.000	224.655	179.571	459.931	138.686	125.929	150.000	113.377	14.116	0.038	-0.133	-0.260	115.000	114.000	164.192	148.333	459.931	134.918	120.286	130.091	108.891	10.602	0.149	0.064	-0.128	115.000	114.000	206.613	162.461	459.931	151.088	133.458	143.545	120.174	2.480	0.065	0.091	0.041	118.000	114.000	190.481	166.744	461.261	143.179	124.815	131.238	115.027	5.165	-0.092	-0.092	0.043	115.000	114.000	202.519	168.333	459.931	149.895	123.963	131.545	110.573	9.591	-0.157	-0.000	0.145	115.000	114.000	227.964	189.582	459.931	148.579	123.462	139.667	110.687	7.951	0.788	0.000	-0.872	115.000	114.000	200.355	166.733	459.931	132.997	118.217	124.882	108.867	12.957	0.352	-0.000	-0.189	117.000	114.000	181.241	157.170	461.568	162.561	156.172	174.182	140.426	0.833	-0.084	-0.058	0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
115.000	116.000	115.000	191.517	174.021	460.724	138.776	132.750	142.750	115.748	13.026	-1.091	-0.787	0.197	116.000	115.000	158.250	154.671	460.724	133.968	121.107	134.625	109.260	10.851	0.249	-0.000	-0.214	116.000	115.000	200.385	166.000	460.724	147.276	129.222	141.500	119.912	2.507	0.027	0.091	-0.000	119.000	115.000	197.167	170.208	458.387	142.520	124.483	134.812	116.927	4.870	-0.295	-0.275	-0.000	116.000	115.000	207.793	166.750	460.724	148.036	125.000	136.091	112.612	9.637	0.046	0.031	-0.000	116.000	115.000	222.759	187.588	460.724	147.482	123.269	131.250	111.379	7.997	0.046	0.000	-0.064	116.000	115.000	233.552	180.253	460.724	137.426	118.038	125.211	108.389	13.477	0.520	-0.016	-0.520	118.000	115.000	190.929	156.500	461.261	163.847	156.296	167.235	141.316	0.768	-0.065	-0.023	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
116.000	117.000	116.000	220.667	183.753	461.568	142.467	128.967	145.917	112.497	13.232	0.206	-0.000	-0.325	117.000	116.000	179.444	161.100	461.568	135.242	120.222	125.318	110.764	11.164	0.314	-0.000	-0.331	117.000	116.000	187.714	160.494	461.568	147.089	136.586	149.438	118.224	2.618	0.111	0.102	0.051	120.000	116.000	191.640	163.927	459.069	142.812	127.889	138.200	116.822	4.640	-0.230	-0.183	-0.000	117.000	116.000	206.138	162.911	461.568	147.034	125.444	132.227	110.572	9.526	-0.111	0.057	0.145	117.000	116.000	215.414	181.711	461.568	145.937	124.615	132.500	111.595	7.924	-0.073	0.000	0.073	117.000	116.000	210.931	180.705	461.568	136.925	121.480	128.000	108.273	13.412	-0.065	-0.000	-0.000	119.000	116.000	185.192	159.385	458.387	162.047	160.156	179.611	147.340	0.606	-0.163	-0.145	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
117.000	118.000	117.000	200.480	169.730	461.261	141.528	136.133	147.810	113.459	12.907	-0.325	-0.130	0.197	118.000	117.000	173.233	157.306	461.261	135.400	124.464	132.353	109.203	11.118	-0.046	-0.000	0.064	118.000	117.000	195.222	159.855	461.261	148.522	132.500	142.583	117.647	2.767	0.149	0.144	-0.015	121.000	117.000	198.815	165.250	458.259	144.874	134.000	144.286	118.646	4.429	-0.211	-0.232	0.043	118.000	117.000	207.000	162.124	461.261	148.122	128.536	140.667	111.094	9.591	0.065	-0.000	-0.027	118.000	117.000	226.345	185.519	461.261	146.543	124.958	135.444	111.514	8.089	0.165	0.064	-0.073	118.000	117.000	220.100	186.333	461.261	138.693	120.480	125.389	112.099	13.450	0.038	-0.331	-0.316	120.000	117.000	191.214	163.200	459.069	169.618	169.448	197.812	154.007	0.644	0.039	-0.203	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
118.000	119.000	118.000	230.793	175.890	458.387	142.589	133.344	142.294	116.245	12.999	0.092	-0.065	-0.130	119.000	118.000	172.548	159.375	458.387	137.600	120.667	131.417	108.713	11.092	-0.027	-0.000	0.075	119.000	118.000	180.444	155.753	458.387	147.882	133.107	144.714	118.129	2.794	0.027	0.052	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.000	118.000	200.593	163.294	458.387	147.479	127.808	139.500	111.823	9.507	-0.084	0.088	0.114	119.000	118.000	221.385	178.154	458.387	143.291	122.346	132.385	113.101	7.867	-0.222	-0.064	0.137	119.000	118.000	226.367	184.818	458.387	140.026	118.261	126.333	109.285	13.469	0.019	0.063	-0.063	121.000	118.000	191.385	167.455	458.259	167.188	166.700	183.643	154.360	0.611	-0.034	-0.092	-0.092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
119.000	120.000	119.000	214.700	172.570	459.069	141.549	131.036	150.545	114.618	12.804	-0.195	-0.067	0.128	120.000	119.000	187.385	164.014	459.069	137.190	122.231	128.250	109.917	11.229	0.138	-0.000	-0.203	120.000	119.000	179.393	154.094	459.069	147.207	134.786	150.375	116.694	2.905	0.111	0.091	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	119.000	203.931	160.689	459.069	145.928	126.929	137.308	111.007	9.637	0.130	0.088	-0.000	120.000	119.000	228.786	183.038	459.069	146.815	125.519	136.133	112.261	7.886	0.019	0.000	-0.009	120.000	119.000	202.600	168.747	459.069	136.019	123.000	130.875	108.979	13.014	-0.455	-0.126	0.361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
120.000	121.000	120.000	209.036	171.044	458.259	139.962	130.214	140.611	113.000	12.658	-0.146	-0.065	0.003	121.000	120.000	185.640	165.085	458.259	137.180	123.786	137.000	109.000	11.137	-0.092	-0.000	0.075	121.000	120.000	189.724	154.289	458.259	152.208	138.111	155.818	116.582	3.043	0.138	0.144	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.000	120.000	203.724	160.437	458.259	145.683	125.259	133.235	109.692	9.683	0.046	0.057	-0.000	121.000	120.000	208.138	179.815	458.259	145.530	125.034	133.833	111.060	7.875	-0.011	0.009	0.073	121.000	120.000	225.323	169.950	458.259	137.731	117.808	124.294	109.382	12.922	-0.092	-0.015	0.094	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
