dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)
92.000	93.000	92.000	182.324	154.197	631.012	144.003	128.704	135.176	117.177	3.253	0.046	0.000	-0.047	93.000	92.000	178.000	147.489	631.012	137.017	131.964	142.222	117.584	10.656	-0.111	-0.060	-0.037	93.000	92.000	238.148	169.236	631.012	155.549	129.034	137.000	115.695	7.698	-0.344	-0.130	0.264	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
93.000	94.000	93.000	181.771	161.877	625.162	145.299	126.630	137.615	118.858	3.200	-0.054	-0.092	-2.362E-15	94.000	93.000	185.750	152.064	625.162	137.125	131.667	142.474	115.033	10.702	0.046	-0.121	-0.145	94.000	93.000	243.519	170.000	625.162	156.725	132.148	141.400	115.107	7.698	0.000	-0.004	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
94.000	95.000	94.000	174.579	153.269	625.004	143.903	129.423	139.500	120.103	2.943	-0.257	-0.184	0.137	95.000	94.000	189.036	158.256	625.004	140.025	140.345	152.789	116.678	10.702	0.000	-0.145	-0.145	95.000	94.000	228.690	167.292	625.004	156.337	132.192	139.765	116.285	7.606	-0.092	-0.060	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
95.000	96.000	95.000	162.083	153.339	625.871	143.449	126.926	138.231	123.622	2.051	-0.892	-0.290	0.352	96.000	95.000	192.194	164.620	625.871	141.454	138.724	155.214	120.345	10.813	0.111	-0.145	-0.205	96.000	95.000	216.161	171.524	625.871	150.817	127.172	132.208	115.071	7.625	0.019	0.000	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
96.000	97.000	96.000	158.906	148.100	625.461	141.664	129.714	136.909	122.933	1.802	-0.249	-0.234	0.000	97.000	96.000	183.077	161.926	625.461	140.620	134.241	152.333	121.466	10.538	-0.276	-0.229	-0.061	97.000	96.000	215.345	171.845	625.461	152.061	127.704	142.000	117.054	7.579	-0.046	-0.137	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
97.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	97.000	182.500	156.021	635.066	139.550	132.889	146.267	118.507	10.492	-0.046	-0.084	0.000	98.000	97.000	209.633	167.964	635.066	152.670	119.955	127.467	113.812	8.115	0.536	0.334	-0.135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
98.000	99.000	98.000	163.969	140.355	628.157	146.435	138.000	150.692	128.799	0.852	0.852	0.000	0.000	99.000	98.000	178.552	156.302	628.157	139.247	128.391	135.364	118.904	10.545	0.054	0.000	-0.084	99.000	98.000	252.469	191.947	628.157	157.544	127.577	133.667	111.719	8.811	0.696	0.200	-0.454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
99.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	99.000	192.385	158.773	637.092	140.333	125.917	136.917	116.411	10.748	0.203	0.109	-0.085	100.000	99.000	250.483	191.303	637.092	154.784	126.160	132.917	112.351	9.182	0.371	0.324	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100.000	101.000	100.000	168.222	142.281	624.292	154.364	154.364	158.400	139.352	0.420	0.420	0.000	0.000	101.000	100.000	178.462	155.734	624.292	140.298	125.560	128.417	113.054	10.905	0.157	0.230	0.085	101.000	100.000	246.690	180.931	624.292	152.042	122.167	126.824	113.074	9.522	0.341	0.135	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
101.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	101.000	182.065	157.526	633.771	139.487	126.778	133.882	114.073	11.154	0.249	0.145	0.000	102.000	101.000	254.680	188.802	633.771	155.020	123.522	134.700	112.020	9.877	0.355	0.389	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
102.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	102.000	185.943	156.853	639.045	138.203	126.870	135.800	112.884	11.468	0.314	0.230	-0.060	103.000	102.000	250.909	193.290	639.045	152.489	125.000	132.455	112.163	10.405	0.528	0.259	-0.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
103.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	103.000	189.156	158.232	634.360	137.976	126.091	134.250	113.565	11.625	0.157	0.230	0.000	104.000	103.000	264.536	194.098	634.360	151.754	126.182	138.857	110.946	10.604	0.198	0.194	-0.135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
104.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	104.000	188.844	160.067	636.066	137.192	124.714	130.067	112.405	11.874	0.249	0.230	0.000	105.000	104.000	261.846	191.293	636.066	153.566	124.952	129.667	112.690	10.883	0.279	0.255	0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
105.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	105.000	180.615	155.135	631.708	139.263	124.333	168.000	112.013	11.954	0.081	0.231	0.119	106.000	105.000	266.161	189.092	631.708	151.792	121.048	131.600	112.828	11.288	0.406	0.195	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
106.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	106.000	228.933	171.979	604.208	148.697	124.905	128.400	111.394	11.250	-0.038	0.260	0.324	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
107.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000	107.000	248.900	175.988	606.914	149.312	129.625	135.357	113.166	11.392	0.141	0.203	0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
108.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.000	108.000	246.071	177.341	605.381	147.051	124.125	134.000	112.551	11.560	0.168	0.130	-0.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
109.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000	109.000	235.600	172.687	603.375	145.247	125.350	135.857	114.094	11.392	-0.168	-0.065	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
110.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	111.000	110.000	239.038	181.679	603.761	145.121	123.522	131.643	113.800	11.560	0.168	0.065	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
111.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112.000	111.000	186.964	157.895	622.151	136.405	120.412	124.500	112.493	13.589	13.589	0.376	-5.181	112.000	111.000	225.759	173.705	622.151	144.356	129.762	134.667	113.741	11.625	0.065	0.065	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
112.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000	112.000	184.259	153.433	615.723	134.817	123.353	126.062	114.146	13.091	-0.498	-0.376	0.060	113.000	112.000	238.800	180.805	615.723	143.981	131.333	133.773	114.789	11.797	0.173	-0.065	-0.134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
113.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	113.000	190.931	158.322	616.709	136.977	126.529	129.526	113.193	13.700	0.609	0.436	-0.086	114.000	113.000	232.704	173.457	616.709	143.731	129.885	140.167	115.540	11.663	-0.135	-0.065	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
114.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.000	114.000	184.379	158.846	615.555	137.626	126.059	131.818	115.524	12.647	-1.053	-1.016	0.000	115.000	114.000	230.828	172.409	615.555	142.140	124.591	133.308	117.313	11.724	0.062	-0.065	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
115.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	116.000	115.000	178.926	158.103	619.488	138.913	124.188	131.000	113.259	12.601	-0.046	0.000	0.000	116.000	115.000	214.692	161.057	619.488	138.448	121.000	131.636	114.700	11.797	0.073	0.260	0.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.000	116.000	178.115	155.312	616.374	138.448	127.000	134.000	113.527	12.463	-0.138	0.000	0.086	117.000	116.000	226.833	169.869	616.374	139.359	131.263	138.818	112.797	11.919	0.122	0.065	-0.126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
117.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.000	117.000	177.889	157.656	614.613	138.785	119.182	128.333	114.732	12.582	0.119	0.086	0.000	118.000	117.000	222.148	170.000	614.613	138.236	124.556	134.500	113.790	12.068	0.149	0.195	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
118.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.000	118.000	177.481	159.832	618.885	139.661	123.783	139.875	113.799	12.628	0.046	0.060	0.000	119.000	118.000	231.897	172.294	618.885	141.019	124.389	130.667	112.362	12.371	0.303	0.133	-0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
119.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	119.000	182.310	159.763	617.279	138.986	120.500	126.143	113.987	12.739	0.111	0.000	-0.026	120.000	119.000	230.185	170.156	617.279	139.959	125.348	134.889	113.066	12.447	0.076	0.134	-0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
120.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.000	120.000	181.760	157.195	619.203	138.893	124.000	130.294	114.042	12.620	-0.119	0.000	0.026	121.000	120.000	222.385	171.200	619.203	139.245	118.762	128.889	114.076	12.401	-0.046	-0.004	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
