 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)
41	40.000	41.000	12.870	7.475	14.950	4.485	5.229	3.642	3.642	19.046	-0.087	-0.090	NaN	41.000	12.545	10.660	19.760	7.085	2.885	8.052	8.034	23.178	-0.013	-0.145	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	19.630	18.135	29.510	24.570	11.646	11.791	11.791	137.321	0.776	0.215	-0.561	41.000	14.365	18.005	15.210	19.695	7.685	1.889	1.865	14.335	0.042	NaN	-0.058	41.000	12.090	17.680	13.585	23.400	6.314	5.912	5.881	37.138	0.078	NaN	-0.109	102.000	15.145	19.370	16.250	22.360	8.329	3.188	3.094	25.773	0.123	0.084	-0.061	104.000	11.570	19.565	6.760	23.595	7.292	6.275	3.008	21.936	0.131	0.241	-0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42	41.000	42.000	12.740	7.865	14.820	4.680	4.745	3.804	3.799	18.028	0.157	-0.234	-0.398	42.000	12.415	10.855	19.500	7.215	2.611	7.965	7.882	20.576	-0.152	-0.291	-0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	19.760	18.200	29.575	24.570	11.772	11.701	11.700	137.739	-0.090	0.055	0.144	42.000	14.430	18.070	15.210	19.695	7.791	1.803	1.778	13.850	-0.088	NaN	0.087	42.000	12.155	17.680	13.585	23.400	6.375	5.896	5.861	37.366	-0.020	NaN	0.016	103.000	15.080	19.305	16.250	22.360	8.425	3.271	3.161	26.630	0.067	NaN	-0.084	105.000	11.505	19.500	6.630	23.595	7.203	6.367	3.148	22.676	0.140	0.100	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43	42.000	43.000	12.610	8.125	14.820	4.550	4.526	4.203	4.196	18.991	0.397	0.111	-0.290	43.000	12.415	10.855	19.305	7.475	2.595	7.674	7.655	19.866	-0.227	-0.290	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	19.825	18.135	29.510	24.505	11.666	11.592	11.591	135.221	-0.109	-0.090	0.019	43.000	14.690	18.395	15.210	19.695	8.062	1.400	1.360	10.968	-0.417	NaN	0.398	43.000	12.220	17.550	13.585	23.465	6.132	6.070	6.009	36.850	0.148	0.063	-0.112	104.000	15.080	19.175	16.185	22.230	8.373	3.249	3.119	26.111	-0.042	-0.144	-0.122	106.000	11.505	19.435	6.695	23.530	7.177	6.317	3.003	21.556	-0.145	-0.092	-0.042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
44	43.000	44.000	12.675	8.125	14.885	4.615	4.724	4.148	4.145	19.579	-0.051	-0.020	0.035	44.000	12.545	10.920	19.175	7.540	2.765	7.442	7.428	20.542	-0.227	-0.145	0.086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	19.955	18.200	29.445	24.440	11.706	11.358	11.354	132.910	-0.238	-0.090	0.144	44.000	15.015	19.175	15.275	19.825	8.728	0.700	0.682	5.949	-0.679	0.145	0.845	44.000	12.155	17.745	13.585	23.400	6.109	5.833	5.797	35.414	-0.212	-0.063	0.173	105.000	15.145	19.565	16.055	22.100	8.691	2.693	2.603	22.621	-0.516	-0.166	0.389	107.000	11.570	19.435	6.695	23.530	7.128	6.367	2.929	20.876	-0.075	NaN	-0.050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
45	44.000	45.000	12.610	8.190	14.690	4.745	4.706	4.024	4.023	18.932	-0.122	-0.212	-0.089	45.000	12.480	10.920	18.850	7.605	2.704	7.181	7.181	19.414	-0.247	-0.318	-0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	20.020	18.200	29.510	24.570	11.638	11.430	11.418	132.885	0.064	0.126	0.054	45.000	15.015	19.370	15.275	19.760	8.744	0.469	0.469	4.098	-0.213	-0.054	0.162	45.000	12.220	17.485	13.585	23.465	5.745	6.134	6.057	34.801	0.260	0.063	-0.239	106.000	15.340	19.695	15.730	22.035	9.023	2.372	2.118	19.114	-0.484	-0.118	0.160	108.000	11.505	19.305	6.565	23.595	7.206	6.543	3.065	22.088	0.137	0.141	-0.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
46	45.000	46.000	12.415	8.255	14.755	4.745	4.660	4.218	4.210	19.621	0.188	0.036	-0.162	46.000	12.545	10.920	18.525	7.735	2.822	6.775	6.774	19.118	-0.406	-0.348	0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	20.085	18.135	29.705	24.765	11.594	11.683	11.651	135.082	0.233	0.271	0.017	46.000	15.015	19.370	15.275	19.890	8.637	0.581	0.575	4.969	0.107	0.116	NaN	46.000	12.220	18.005	13.585	23.400	6.109	5.565	5.531	33.787	-0.526	-0.063	0.504	107.000	15.145	19.630	15.730	21.645	8.803	2.098	1.978	17.411	-0.141	-0.375	-0.117	109.000	11.310	19.175	6.630	23.530	7.139	6.393	3.430	24.488	0.365	-0.092	0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47	46.000	47.000	12.415	8.320	14.690	4.810	4.548	4.183	4.180	19.013	-0.030	-0.090	-0.055	47.000	12.415	11.115	18.395	7.735	2.588	6.869	6.851	17.728	0.076	-0.113	-0.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	20.085	18.135	29.640	24.700	11.627	11.593	11.566	134.478	-0.085	-0.090	NaN	47.000	14.950	19.240	15.340	19.955	8.547	0.814	0.810	6.921	0.234	0.088	-0.145	47.000	12.285	17.420	13.585	23.400	5.650	6.120	6.012	33.969	0.481	NaN	-0.558	108.000	15.015	19.045	15.795	21.450	8.489	2.528	2.387	20.263	0.409	-0.165	-0.597	110.000	11.310	19.175	6.695	23.530	7.064	6.345	3.228	22.807	-0.202	-0.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48	47.000	48.000	12.350	8.385	14.625	4.875	4.515	4.183	4.178	18.865	-0.002	-0.090	-0.090	48.000	13.130	10.790	18.200	7.800	3.401	5.886	5.868	19.959	-0.982	-0.201	0.781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	20.020	18.070	29.575	24.570	11.505	11.556	11.528	132.627	-0.038	-0.127	-0.090	48.000	15.015	19.370	15.340	20.020	8.637	0.727	0.719	6.211	-0.091	0.058	0.145	48.000	12.285	17.680	13.585	23.400	5.830	5.866	5.786	33.732	-0.226	NaN	0.254	109.000	14.950	18.655	15.730	21.320	8.164	2.777	2.594	21.176	0.207	-0.143	-0.393	111.000	11.245	19.175	6.890	23.400	7.050	6.068	3.205	22.600	-0.023	-0.230	0.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
49	48.000	49.000	12.415	8.450	14.560	4.875	4.417	4.169	4.167	18.404	-0.012	-0.033	-0.022	49.000	13.260	10.725	17.810	7.930	3.551	5.340	5.290	18.784	-0.578	-0.400	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	19.955	18.135	29.575	24.570	11.604	11.574	11.560	134.152	0.033	NaN	-0.018	49.000	14.950	19.175	15.340	19.955	8.584	0.872	0.862	7.402	0.143	-0.058	-0.203	49.000	12.350	17.355	13.585	23.400	5.702	6.170	6.019	34.324	0.233	NaN	-0.305	110.000	14.885	18.460	15.730	21.190	8.031	2.858	2.639	21.197	0.046	-0.124	-0.206	112.000	11.440	19.110	6.890	23.465	6.984	6.298	3.072	21.455	-0.134	0.045	-0.186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50	49.000	50.000	12.480	8.385	14.560	4.875	4.562	4.080	4.077	18.598	-0.089	NaN	0.089	50.000	12.805	11.375	17.680	8.125	2.920	5.859	5.607	16.372	0.317	-0.216	-0.739	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	19.890	18.005	29.510	24.505	11.449	11.610	11.586	132.648	0.026	-0.090	-0.127	50.000	15.210	19.500	15.405	19.890	8.946	0.436	0.431	3.853	-0.432	-0.029	0.407	50.000	12.285	17.290	13.585	23.400	5.557	6.247	6.107	33.935	0.087	NaN	-0.077	111.000	15.015	19.305	15.730	21.190	8.775	2.016	1.937	16.997	-0.702	NaN	0.836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
51	50.000	51.000	12.415	8.450	14.560	4.875	4.562	4.169	4.167	19.008	0.090	NaN	-0.089	51.000	12.935	11.180	17.615	8.125	3.188	5.589	5.449	17.369	-0.158	-0.054	0.215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	19.760	18.005	29.445	24.375	11.360	11.592	11.575	131.495	-0.011	-0.126	-0.109	51.000	15.340	19.695	15.405	19.890	9.166	0.206	0.196	1.796	-0.235	NaN	0.226	51.000	12.285	17.485	13.585	23.465	5.702	6.120	5.987	34.138	-0.120	0.064	0.191	112.000	14.885	18.590	15.730	21.125	8.123	2.672	2.488	20.212	0.551	-0.062	-0.719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
52	51.000	52.000	12.350	8.385	14.560	4.875	4.582	4.148	4.148	19.004	-0.019	NaN	0.020	52.000	12.870	11.245	17.550	8.190	3.104	5.589	5.433	16.866	-0.016	-0.090	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	19.825	18.005	29.315	24.245	11.416	11.358	11.339	129.454	-0.236	-0.180	0.054	52.000	15.405	19.825	15.535	19.955	9.309	0.184	0.182	1.690	-0.014	0.138	0.138	52.000	12.350	17.355	13.585	23.400	5.611	6.170	5.991	33.618	0.004	-0.064	-0.114	113.000	14.885	18.525	15.730	21.190	6.773	2.796	2.760	18.691	0.271	0.062	-0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
53	52.000	53.000	12.220	8.580	14.495	4.940	4.348	4.292	4.292	18.662	0.145	-0.090	-0.234	53.000	12.675	11.245	17.290	8.255	2.921	5.499	5.377	15.709	-0.056	-0.254	-0.164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	19.760	18.005	29.380	24.245	11.360	11.467	11.453	130.113	0.114	0.055	-0.055	53.000	15.340	19.825	15.470	19.955	9.271	0.184	0.181	1.682	-1.679E-4	-0.046	-0.046	53.000	12.415	17.420	13.585	23.335	5.698	6.030	5.838	33.263	-0.153	-0.064	0.076	114.000	15.080	19.175	15.730	21.190	8.584	2.117	2.022	17.356	-0.738	NaN	0.678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
54	53.000	54.000	12.155	8.580	14.560	4.940	4.292	4.363	4.361	18.721	0.069	0.036	-0.036	54.000	12.740	11.180	17.095	8.320	3.043	5.210	5.070	15.430	-0.307	-0.199	0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	19.695	18.005	29.315	24.180	11.393	11.431	11.423	130.143	-0.030	-0.090	-0.055	54.000	15.405	19.825	15.405	20.020	9.400	0.195	0.158	1.483	-0.024	0.065	3.980E-18	54.000	12.350	17.355	13.585	23.465	5.698	6.234	6.041	34.425	0.204	0.127	-0.077	115.000	14.950	18.525	15.730	21.190	8.206	2.777	2.625	21.543	0.603	NaN	-0.660	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
55	54.000	55.000	12.025	8.645	14.560	4.875	4.348	4.543	4.539	19.735	0.178	0.054	-0.126	55.000	12.610	11.375	17.030	8.320	3.022	5.373	5.169	15.620	0.099	-0.053	-0.218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	19.435	17.940	29.380	24.310	11.182	11.810	11.798	131.926	0.375	0.125	-0.254	55.000	15.340	19.890	15.340	20.085	9.386	0.195	0.157	1.470	-0.001	0.065	0.065	55.000	12.285	17.225	13.585	23.400	5.495	6.310	6.078	33.399	0.037	-0.064	-0.141	116.000	15.015	18.655	15.730	21.190	8.297	2.634	2.480	20.576	-0.145	NaN	0.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56	55.000	56.000	12.025	8.645	14.560	4.875	4.483	4.543	4.530	20.305	-0.009	NaN	NaN	56.000	12.545	11.375	17.030	8.385	2.970	5.390	5.300	15.742	0.131	-0.036	-0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	19.500	17.940	29.315	24.245	11.086	11.666	11.643	129.074	-0.155	-0.090	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	12.220	17.030	13.585	23.400	5.089	6.515	6.259	31.852	0.181	NaN	-0.204	117.000	14.950	18.460	15.795	21.190	8.244	2.858	2.710	22.342	0.230	0.019	-0.206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
57	56.000	57.000	12.025	8.645	14.560	4.875	4.680	4.543	4.513	21.121	-0.017	NaN	NaN	57.000	12.675	11.310	17.030	8.320	3.170	5.283	5.250	16.642	-0.050	0.037	0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	19.695	18.005	29.315	24.245	11.107	11.467	11.422	126.868	-0.221	NaN	0.199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	12.025	17.290	13.585	23.400	4.972	6.306	6.185	30.750	-0.074	NaN	0.204	118.000	15.015	18.330	15.795	21.190	7.503	2.964	2.651	19.891	-0.059	NaN	-0.108	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
58	57.000	58.000	11.310	9.750	14.495	4.940	3.547	5.769	5.721	20.288	1.208	-0.090	-1.316	58.000	12.610	11.310	17.030	8.320	3.289	5.336	5.320	17.500	0.070	NaN	-0.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	19.435	17.940	29.315	24.245	10.902	11.720	11.672	127.244	0.250	NaN	-0.254	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	12.090	17.550	13.585	23.270	5.174	5.912	5.778	29.896	-0.407	-0.126	0.268	119.000	15.015	18.460	15.730	21.125	8.086	2.759	2.568	20.762	-0.083	-0.080	0.126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
