dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)
55.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	55.000	316.179	238.295	722.264	220.560	156.630	173.385	134.027	3.368	0.279	0.065	-0.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	55.000	292.857	191.266	693.999	184.638	145.379	165.692	118.034	4.232	0.203	0.233	0.029	88.000	55.000	212.172	163.871	692.242	194.816	159.500	169.955	120.376	5.508	0.268	0.189	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	56.000	309.276	227.789	721.904	224.736	163.167	196.556	132.575	3.487	0.119	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	56.000	277.174	204.089	694.475	180.192	153.724	169.176	118.500	4.259	0.027	0.145	0.087	89.000	56.000	223.161	169.330	698.233	191.661	154.464	167.667	119.685	5.933	0.425	0.205	-0.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
57.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	57.000	315.556	249.394	723.525	224.814	163.806	181.105	134.224	3.590	0.103	-0.065	-0.259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	57.000	267.037	196.832	692.331	181.831	156.103	164.565	121.242	4.286	0.027	0.115	0.143	90.000	57.000	214.806	170.418	692.947	189.432	152.500	169.765	118.610	6.128	0.195	0.189	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
58.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	58.000	329.259	251.000	719.178	228.157	165.364	193.818	136.105	3.804	0.214	0.000	-0.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	58.000	296.000	225.267	690.978	192.116	149.120	159.500	118.387	4.967	0.682	0.203	-0.466	91.000	58.000	234.194	175.436	690.458	194.436	147.679	171.778	120.459	6.461	0.333	0.189	-0.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
59.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	59.000	314.862	249.967	724.156	218.578	162.233	180.933	134.953	3.804	0.000	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	59.000	277.000	208.524	691.528	189.690	157.750	175.235	116.959	5.124	0.157	0.176	-0.000	92.000	59.000	213.258	168.899	693.394	196.007	144.708	155.500	119.606	6.472	0.011	0.190	0.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	60.000	326.889	247.341	722.299	219.897	161.321	177.067	134.034	3.869	0.065	0.065	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	60.000	281.438	215.796	692.242	186.996	151.893	168.471	116.327	5.649	0.525	0.210	-0.234	93.000	60.000	213.710	162.390	691.067	192.719	147.571	160.923	115.932	6.250	-0.222	0.190	0.409	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
61.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	61.000	305.241	238.299	721.981	221.492	165.933	194.800	137.571	3.655	-0.214	-0.129	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	61.000	273.088	213.337	698.233	182.561	147.071	167.909	117.204	5.962	0.314	0.202	-0.000	94.000	61.000	211.655	163.894	676.815	193.297	155.214	164.333	117.473	6.640	0.390	0.127	-0.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
62.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	62.000	298.897	242.990	717.275	215.913	166.286	183.824	133.925	3.785	0.130	0.065	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	62.000	265.963	217.770	692.947	182.635	148.333	161.875	118.283	6.092	0.130	0.089	-0.089	95.000	62.000	209.379	163.250	681.096	191.103	149.500	163.571	115.870	6.556	-0.084	0.205	0.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
63.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	63.000	300.000	246.458	715.842	220.775	166.259	187.900	134.452	3.980	0.195	0.065	-0.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	63.000	290.892	209.140	690.458	178.673	146.103	159.053	119.354	6.303	0.211	-0.000	-0.067	96.000	63.000	204.207	166.728	693.030	193.156	150.625	167.100	119.007	6.705	0.149	0.127	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
64.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	64.000	317.839	254.839	713.716	222.273	154.862	176.533	135.167	4.191	0.211	-0.058	-0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	64.000	268.885	204.141	693.394	181.357	153.964	164.048	123.747	5.924	-0.379	-0.089	0.033	97.000	64.000	206.903	159.717	696.795	189.086	149.571	163.722	116.864	6.632	-0.073	0.242	0.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
65.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	65.000	328.423	247.494	716.579	224.917	157.370	165.842	133.082	4.137	-0.054	0.059	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	65.000	241.793	194.125	691.067	180.953	156.207	177.818	125.245	5.798	-0.127	-0.056	0.121	98.000	65.000	203.040	163.734	697.232	192.112	141.393	155.312	115.850	7.382	0.750	0.218	-0.536	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
66.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	66.000	308.862	242.980	715.072	219.687	160.161	178.389	135.537	3.923	-0.214	-0.065	0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	66.000	246.121	187.550	676.815	180.080	143.741	157.167	119.738	5.890	0.092	0.114	0.088	99.000	66.000	205.097	175.447	695.783	195.053	153.806	162.136	116.889	7.861	0.479	0.078	-0.283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
67.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	67.000	319.966	239.918	710.260	216.662	154.767	171.615	133.413	3.858	-0.065	0.000	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	67.000	237.655	202.176	681.096	185.467	155.700	171.938	123.453	5.760	-0.130	-0.145	-0.088	100.000	67.000	217.812	174.099	693.760	195.721	141.833	160.111	117.750	8.492	0.631	0.240	-0.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
68.000	69.000	68.000	274.519	190.804	709.030	187.918	189.000	209.250	148.486	7.435	7.435	-0.027	0.087	69.000	68.000	316.207	246.112	709.030	222.361	164.036	178.824	133.552	3.793	-0.065	-0.065	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	68.000	251.774	206.602	693.030	184.344	148.071	159.857	121.320	6.047	0.287	0.033	-0.178	101.000	68.000	221.103	181.745	693.987	193.225	145.222	151.944	118.456	8.438	-0.054	0.167	0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
69.000	70.000	69.000	266.367	193.981	709.576	193.462	202.972	230.875	151.438	7.297	-0.138	-0.201	-0.028	70.000	69.000	329.379	248.979	709.576	226.262	162.633	197.222	135.034	3.785	-0.008	-0.065	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	69.000	236.967	200.829	696.795	185.315	150.129	172.929	119.100	6.081	0.035	0.089	0.032	102.000	69.000	213.444	174.451	692.906	196.316	145.821	156.150	113.840	8.568	0.130	0.192	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70.000	71.000	70.000	259.903	194.696	710.117	192.857	200.485	233.381	147.517	7.140	-0.157	-0.175	-0.058	71.000	70.000	327.444	265.340	710.117	229.140	162.167	183.000	139.796	3.934	0.149	-0.065	-0.190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	70.000	242.207	182.267	697.232	177.030	147.107	166.000	119.582	6.008	-0.073	0.056	0.112	103.000	70.000	218.345	178.758	691.610	197.891	148.893	161.765	118.765	8.652	0.084	0.053	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71.000	72.000	71.000	270.185	185.768	707.456	191.758	191.853	220.789	151.414	6.762	-0.379	-0.172	0.113	72.000	71.000	288.333	249.528	707.456	217.045	157.833	184.889	137.986	3.720	-0.214	-0.065	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	71.000	272.000	197.600	695.783	180.763	152.267	166.933	119.537	6.257	0.249	0.056	-0.122	104.000	71.000	217.207	173.568	690.543	197.426	146.893	156.476	120.520	8.365	-0.287	-0.040	0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
72.000	73.000	72.000	247.704	182.268	706.278	190.612	189.531	210.182	147.301	6.421	-0.341	-0.172	0.145	73.000	72.000	338.074	253.842	706.278	224.420	161.419	179.867	135.007	3.823	0.103	-0.004	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	72.000	239.321	181.808	693.760	177.703	146.786	165.438	119.745	6.138	-0.119	0.113	0.177	105.000	72.000	221.897	183.656	695.842	192.074	140.250	151.600	114.636	8.947	0.582	0.217	-0.331	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
73.000	74.000	73.000	258.552	184.961	705.642	199.888	197.867	230.923	154.566	6.224	-0.196	-0.233	-0.000	74.000	73.000	289.310	234.020	705.642	223.586	170.258	180.640	137.180	3.571	-0.252	0.000	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	73.000	246.438	186.667	693.987	182.073	149.276	162.200	121.456	6.222	0.084	-0.000	-0.000	106.000	73.000	216.613	173.627	688.924	192.172	135.500	147.250	114.461	8.882	-0.065	0.127	0.255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74.000	75.000	74.000	274.516	185.369	698.003	207.421	195.903	225.917	169.604	6.002	-0.222	-0.184	0.062	75.000	74.000	314.296	247.194	698.003	228.052	168.300	197.800	139.324	3.804	0.233	-0.065	-0.257	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	74.000	227.000	177.145	692.906	176.984	149.214	159.182	119.872	6.131	-0.092	0.089	0.177	107.000	74.000	227.097	172.635	687.943	189.871	138.633	149.737	112.940	8.763	-0.119	0.064	0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
75.000	76.000	75.000	277.938	193.809	698.568	208.489	202.143	212.080	162.593	5.727	-0.276	-0.225	-0.000	76.000	75.000	333.107	258.443	698.568	234.993	165.714	189.455	138.324	3.988	0.184	0.065	-0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	75.000	241.433	188.757	691.610	177.586	148.500	161.200	120.490	6.177	0.046	-0.032	-0.088	108.000	75.000	212.844	156.933	684.271	175.457	141.607	149.650	116.993	6.697	-2.066	-0.064	1.808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
76.000	77.000	76.000	279.586	204.474	694.390	202.698	184.607	203.211	156.600	5.643	-0.084	-0.185	-0.144	77.000	76.000	316.481	251.229	694.390	228.645	167.545	183.588	139.837	3.977	-0.011	-0.065	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	76.000	238.185	183.437	690.543	178.841	147.679	164.400	120.721	6.150	-0.027	-0.000	-0.027	109.000	76.000	219.586	155.798	680.190	178.188	142.833	152.529	118.829	6.689	-0.008	-0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
77.000	78.000	77.000	304.828	213.056	692.663	205.896	178.733	199.000	155.034	5.662	0.019	-0.226	-0.226	78.000	77.000	301.419	218.591	692.663	216.994	158.900	176.000	135.300	3.338	-0.639	0.065	0.716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	77.000	250.250	179.299	695.842	176.537	150.200	164.118	120.775	6.272	0.122	-0.000	-0.028	110.000	77.000	216.452	158.333	677.651	177.109	144.862	158.286	119.447	6.762	0.073	-0.128	-0.140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
78.000	79.000	78.000	306.900	210.989	688.546	215.345	188.393	205.867	150.132	5.532	-0.130	-0.206	-0.124	79.000	78.000	271.774	182.761	688.546	216.627	179.059	202.824	157.421	1.827	-1.511	-0.518	0.901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	78.000	254.259	174.750	688.924	179.504	145.107	155.857	121.537	6.115	-0.157	-0.000	0.087	111.000	78.000	228.094	158.564	679.393	176.152	145.138	156.500	117.367	6.808	0.046	-0.000	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
79.000	80.000	79.000	289.345	198.667	692.500	204.172	170.667	184.211	153.083	5.042	-0.490	-0.143	0.349	80.000	79.000	297.677	230.130	692.500	237.384	180.875	206.667	164.987	2.263	0.436	-0.392	-0.780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	79.000	251.714	179.013	687.943	182.423	148.000	164.000	120.122	5.966	-0.149	-0.058	0.058	112.000	79.000	226.438	162.904	677.021	177.968	142.296	153.000	121.115	6.827	0.019	-0.204	-0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
80.000	81.000	80.000	264.655	194.070	687.760	203.050	185.286	201.053	149.400	4.636	-0.406	-0.205	0.143	81.000	80.000	293.370	205.138	687.760	223.743	180.933	211.462	157.750	1.819	-0.444	-0.185	0.185	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000	80.000	250.000	186.792	684.271	185.287	148.862	160.944	120.612	6.023	0.057	-0.000	-0.029	113.000	80.000	223.000	164.117	674.716	181.021	142.933	159.812	122.207	6.716	-0.111	-0.191	-0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
81.000	82.000	81.000	286.233	206.969	695.441	207.797	177.179	202.583	154.549	4.839	0.203	-0.143	-0.349	82.000	81.000	301.250	221.905	695.441	232.549	180.677	197.941	152.074	2.068	0.249	-0.010	-0.276	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.000	81.000	253.690	171.012	680.190	185.461	148.929	166.714	122.986	5.701	-0.322	-0.028	0.318	114.000	81.000	232.310	165.587	678.624	184.134	149.786	163.643	126.014	6.716	0.000	-0.268	-0.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
82.000	83.000	82.000	289.533	207.365	693.999	210.716	182.464	196.600	157.819	4.747	-0.092	-0.161	-0.081	83.000	82.000	281.844	214.679	693.999	230.926	181.700	208.769	152.743	1.911	-0.157	-0.053	0.139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000	82.000	250.258	158.938	677.651	195.325	156.586	174.267	124.812	4.741	-0.961	-0.117	0.727	115.000	82.000	218.500	166.109	671.096	185.618	149.100	161.000	124.641	6.789	0.073	-0.191	-0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
83.000	84.000	83.000	276.034	196.316	694.475	208.815	192.933	210.467	164.841	4.341	-0.406	-0.205	0.205	84.000	83.000	274.441	215.595	694.475	223.893	176.071	193.500	149.308	1.957	0.046	0.064	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	111.000	83.000	243.909	180.590	679.393	201.109	160.786	178.875	131.082	4.576	-0.165	-0.145	0.113	116.000	83.000	223.000	160.317	670.972	181.896	148.500	160.875	124.881	6.724	-0.065	-0.191	-0.127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
84.000	85.000	84.000	284.800	213.032	692.331	215.978	187.833	210.692	159.889	4.590	0.249	-0.062	-0.287	85.000	84.000	288.700	229.865	692.331	229.723	176.200	195.600	150.479	2.263	0.306	-0.065	-0.382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112.000	84.000	233.233	183.762	677.021	197.613	160.250	173.750	135.917	4.430	-0.146	-0.230	-0.096	117.000	84.000	226.452	164.720	671.697	189.942	157.484	178.000	127.103	6.659	-0.065	-0.268	-0.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
