T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	43.875	47.125	454.541	176.543	104.513	129.951
2.000	43.875	47.125	436.781	168.196	104.298	128.875
3.000	44.265	47.060	437.756	164.310	104.322	128.903
4.000	44.135	47.190	441.217	166.321	104.368	129.522
5.000	44.135	47.125	440.834	167.217	104.374	129.429
6.000	44.070	47.125	447.329	163.990	104.299	129.956
7.000	44.005	47.060	450.384	161.287	104.416	130.388
8.000	44.200	47.060	448.131	164.298	104.393	130.357
9.000	44.330	47.190	449.070	164.389	104.430	130.616
10.000	44.395	47.190	449.553	163.721	104.426	130.675
11.000	44.395	47.190	448.937	163.356	104.437	130.444
12.000	43.550	47.190	445.090	163.781	104.394	130.268
13.000	44.135	47.190	442.760	162.426	104.394	130.077
14.000	44.330	47.190	444.679	161.158	104.358	130.271
15.000	44.525	47.190	443.561	161.104	104.391	130.346
16.000	43.810	47.190	441.514	162.599	104.373	130.412
17.000	43.810	47.125	438.001	161.381	104.308	130.478
18.000	44.005	47.060	438.359	161.618	104.297	130.619
19.000	44.200	46.995	441.323	162.614	104.279	130.619
20.000	44.265	46.995	439.455	161.407	104.287	130.606
21.000	44.265	47.125	442.245	161.334	104.310	130.526
22.000	44.200	47.125	443.333	159.582	104.298	130.632
23.000	44.135	47.255	441.770	158.956	104.286	130.460
24.000	44.200	47.190	441.818	160.154	104.280	130.511
25.000	44.070	47.255	443.831	162.654	104.323	130.682
26.000	44.070	47.255	442.034	160.585	104.320	130.596
27.000	44.005	47.255	439.411	163.154	104.296	130.440
28.000	44.005	47.255	439.459	161.729	104.350	130.792
29.000	43.940	47.255	441.158	162.704	104.386	131.105
30.000	44.005	47.255	443.814	165.407	104.402	131.033
31.000	44.070	47.190	444.009	166.499	104.373	130.985
32.000	44.070	47.190	444.158	163.859	104.387	131.327
33.000	44.005	47.190	445.428	166.110	104.410	131.416
34.000	44.005	47.190	446.123	166.997	104.404	131.768
35.000	44.005	47.190	446.974	167.734	104.464	132.191
36.000	44.005	47.190	446.638	166.481	104.324	132.075
37.000	44.005	47.125	452.140	168.189	104.382	132.441
38.000	44.070	47.125	451.999	167.135	104.406	132.267
39.000	44.135	47.255	454.238	166.767	104.458	132.669
40.000	44.135	47.255	452.614	164.248	104.457	132.938
41.000	44.135	47.255	455.376	165.270	104.505	133.540
