T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	9.750	11.895	266.348	89.804	103.804	114.982
2.000	9.815	12.155	257.687	85.499	103.673	114.134
3.000	9.880	11.960	257.725	85.720	103.656	114.109
4.000	9.750	12.090	259.218	84.362	103.663	114.447
5.000	9.685	12.025	257.681	85.484	103.672	114.161
6.000	9.750	12.025	260.624	84.045	103.668	114.390
7.000	9.685	11.830	260.787	84.187	103.622	114.151
8.000	9.685	12.090	261.945	83.285	103.675	114.399
9.000	9.620	11.960	260.677	83.971	103.633	114.303
10.000	9.620	11.700	261.560	84.425	103.639	114.506
11.000	9.685	11.700	262.124	83.607	103.635	114.493
12.000	9.685	12.025	262.848	84.117	103.616	114.386
13.000	9.685	11.700	263.567	85.208	103.623	114.493
14.000	9.620	11.830	265.363	82.646	103.509	114.826
15.000	9.685	11.830	262.504	83.218	103.622	114.801
16.000	9.685	12.025	262.314	83.451	103.507	114.941
17.000	9.685	11.830	260.790	83.293	103.652	114.766
18.000	9.685	12.155	261.085	83.103	103.646	114.953
19.000	9.620	11.830	262.183	82.408	103.666	115.000
20.000	9.685	11.830	263.149	81.559	103.680	115.233
21.000	9.685	11.700	262.315	82.695	103.670	114.896
22.000	9.750	11.635	261.744	82.352	103.682	114.788
23.000	9.750	11.635	260.511	81.872	103.663	114.878
24.000	9.815	11.700	260.218	83.299	103.635	114.522
25.000	9.750	11.830	260.122	82.309	103.645	114.614
26.000	9.750	11.700	256.546	81.764	103.635	114.664
27.000	9.880	11.895	254.906	82.332	103.610	114.288
28.000	10.010	12.220	255.156	81.038	103.657	114.614
29.000	10.205	12.350	254.450	80.423	103.675	114.604
30.000	10.270	12.220	255.260	80.322	103.666	114.605
31.000	10.140	11.895	254.275	82.182	103.681	114.337
32.000	10.335	11.895	252.964	81.140	103.678	114.645
33.000	10.205	11.895	252.858	80.567	103.699	114.603
34.000	10.075	11.895	253.556	80.155	103.668	114.486
35.000	10.205	11.830	253.705	81.136	103.655	114.334
36.000	9.880	11.765	255.391	80.327	103.671	114.119
37.000	9.880	11.765	256.050	80.601	103.644	114.020
38.000	10.140	11.700	255.641	80.124	103.627	113.900
39.000	10.010	11.830	254.336	81.074	103.645	114.091
40.000	10.205	11.635	254.411	80.497	103.656	113.947
41.000	9.880	11.765	253.711	80.098	103.654	113.704
42.000	9.945	11.700	255.241	79.721	103.671	113.830
43.000	10.010	11.830	252.470	80.594	103.625	113.415
44.000	10.010	12.025	252.730	80.832	103.637	113.616
45.000	10.075	12.155	252.562	81.479	103.653	113.584
46.000	10.075	12.285	250.865	81.395	103.680	113.712
47.000	10.075	12.220	252.418	81.448	103.629	113.632
48.000	10.075	12.285	252.856	82.835	103.631	113.664
49.000	10.010	12.155	252.827	81.645	103.630	113.802
50.000	10.010	12.220	252.744	82.297	103.655	113.959
51.000	9.945	12.285	251.948	81.324	103.653	114.010
52.000	9.945	12.285	251.883	80.081	103.618	113.884
53.000	9.945	12.285	251.063	81.200	103.597	113.746
54.000	9.880	12.220	251.127	80.301	103.604	113.759
55.000	9.750	12.350	250.883	79.962	103.613	113.766
56.000	9.815	12.545	250.794	81.199	103.652	113.932
