 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)
88	87.000	88.000	18.785	10.595	30.745	10.140	9.625	11.969	11.598	111.633	-0.208	0.062	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	9.230	14.235	8.580	14.950	0.966	0.966	0.892	0.862	0.275	0.004	-0.232	88.000	18.395	11.700	33.930	19.825	8.988	17.531	13.810	124.126	-0.040	-0.030	0.088	88.000	15.080	20.800	18.785	30.225	9.295	10.127	9.782	90.922	-0.189	-0.266	-0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000	16.835	22.490	17.420	24.180	13.270	1.788	1.723	22.866	-0.533	-0.267	0.288	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
89	88.000	89.000	18.655	10.595	30.745	10.075	9.520	12.101	11.710	111.472	0.112	0.003	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	8.905	14.495	8.580	14.950	1.282	0.559	0.557	0.714	-0.335	NaN	0.400	89.000	18.330	11.635	33.800	19.760	8.949	17.474	13.576	121.490	-0.234	-0.145	-0.088	89.000	15.145	21.060	18.525	30.160	9.491	9.707	9.345	88.691	-0.437	-0.151	0.266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	111.000	16.770	22.295	17.485	24.180	13.143	2.016	1.960	25.760	0.237	0.023	-0.205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
90	89.000	90.000	18.590	10.595	30.680	10.075	9.497	12.101	11.662	110.754	-0.047	-0.065	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	9.035	14.300	8.580	14.950	0.937	0.793	0.793	0.744	0.236	NaN	-0.234	90.000	18.330	11.635	33.735	19.760	8.975	17.416	13.355	119.863	-0.221	-0.057	NaN	90.000	15.080	20.995	18.395	30.160	9.295	9.746	9.341	86.824	-0.004	-0.044	-0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112.000	16.055	20.475	17.745	24.570	11.284	4.430	4.291	48.423	2.331	0.460	-1.955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
91	90.000	91.000	18.655	10.465	30.550	10.140	9.641	11.899	11.335	109.280	-0.328	-0.132	0.069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	9.035	14.170	8.580	14.885	0.735	0.847	0.827	0.608	0.034	-0.055	-0.110	91.000	18.265	11.635	33.735	19.760	8.940	17.474	13.241	118.372	-0.114	NaN	-0.058	91.000	15.080	20.865	18.395	29.965	9.087	9.685	9.240	83.972	-0.100	-0.183	-0.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000	16.055	20.540	17.940	25.285	11.546	5.106	4.950	57.156	0.659	0.736	0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
92	91.000	92.000	18.590	10.595	30.550	10.140	9.707	11.969	11.370	110.374	0.035	NaN	-0.070	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	9.230	14.105	8.580	14.950	0.291	1.066	0.959	0.279	0.132	0.052	-0.170	92.000	18.265	11.635	33.865	19.760	9.082	17.589	12.980	117.878	-0.261	0.115	NaN	92.000	15.145	20.865	18.395	29.770	8.914	9.480	8.945	79.734	-0.295	-0.183	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	15.990	20.410	17.420	24.440	11.380	4.276	4.117	46.847	-0.834	-0.970	-0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
93	92.000	93.000	18.460	10.595	30.485	10.075	9.693	12.036	11.397	110.471	0.027	-0.062	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	9.230	14.300	8.580	14.885	0.276	0.874	0.873	0.241	-0.086	-0.043	0.130	93.000	18.200	11.635	33.930	19.760	9.116	17.704	12.940	117.962	-0.040	0.058	-0.058	93.000	15.080	20.800	18.330	29.640	8.764	9.418	8.850	77.563	-0.095	-0.144	-0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.000	15.990	20.215	17.095	23.205	11.593	3.188	3.090	35.824	-1.027	-1.271	-0.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
94	93.000	94.000	18.265	10.595	30.355	10.205	9.572	12.096	11.391	109.030	-0.006	-0.134	-0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	9.165	14.430	8.580	14.885	0.379	0.741	0.691	0.262	-0.182	NaN	0.131	94.000	18.135	11.570	34.060	19.825	9.134	17.937	13.008	118.815	0.068	0.145	-0.088	94.000	15.080	20.800	18.265	29.575	8.806	9.335	8.741	76.967	-0.110	-0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	116.000	15.925	20.085	17.030	23.205	11.470	3.310	3.185	36.529	0.095	-0.022	-0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
95	94.000	95.000	18.265	10.530	30.290	10.140	9.511	12.031	11.320	107.670	-0.071	-0.063	0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	9.035	14.625	8.580	14.885	0.703	0.524	0.469	0.330	-0.222	NaN	0.210	95.000	18.070	11.505	34.320	19.825	9.009	18.256	13.252	119.390	0.244	0.231	-0.087	95.000	15.080	20.800	18.265	29.445	8.813	9.213	8.674	76.451	-0.066	-0.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.000	15.990	20.085	17.030	23.140	11.630	3.227	3.103	36.086	-0.082	-0.062	0.021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
96	95.000	96.000	18.135	10.660	30.160	10.270	9.313	12.031	11.461	106.736	0.141	-0.134	-0.134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	8.710	14.755	8.515	14.950	1.172	0.276	0.270	0.317	-0.198	0.092	0.322	96.000	18.070	11.505	34.515	19.695	9.002	18.372	13.841	124.604	0.589	0.117	NaN	96.000	15.080	20.800	18.265	29.315	9.055	9.091	8.613	77.994	-0.061	-0.122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.000	15.990	20.085	16.835	22.685	11.705	2.734	2.611	30.555	-0.492	-0.493	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
97	96.000	97.000	18.395	10.660	30.030	10.270	9.358	11.642	11.264	105.405	-0.197	-0.130	0.260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	8.645	14.885	8.515	14.950	1.744	0.145	0.116	0.203	-0.154	NaN	0.116	97.000	18.135	11.505	34.645	19.825	8.898	18.488	14.459	128.660	0.618	0.175	0.058	97.000	15.015	20.735	18.200	29.185	9.282	9.030	8.664	80.419	0.051	-0.145	-0.084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.000	15.990	19.955	17.095	23.595	11.561	3.804	3.607	41.705	0.997	0.946	-0.124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
98	97.000	98.000	18.265	10.660	29.965	10.270	9.160	11.706	11.466	105.025	0.202	-0.065	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	8.645	14.885	8.450	14.950	2.199	0.206	0.125	0.275	0.009	0.062	NaN	98.000	18.135	11.505	34.840	19.955	8.871	18.721	15.286	135.601	0.827	0.233	NaN	98.000	15.015	20.800	18.135	29.120	9.793	8.886	8.594	84.162	-0.070	-0.084	0.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	16.055	20.020	17.160	23.660	11.630	3.804	3.621	42.106	0.013	0.081	0.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
99	98.000	99.000	18.265	10.660	29.965	10.270	9.223	11.706	11.470	105.786	0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	8.580	14.885	8.450	15.015	2.199	0.184	0.165	0.363	0.040	0.046	0.046	99.000	18.070	11.505	35.100	19.955	8.871	19.011	15.608	138.453	0.321	0.233	-0.058	99.000	14.950	20.930	18.070	28.925	9.899	8.582	8.344	82.603	-0.250	-0.205	0.097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.000	16.055	19.890	17.160	23.660	11.520	3.929	3.744	43.133	0.124	NaN	-0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100	99.000	100.000	18.200	10.725	30.030	10.270	9.067	11.839	11.635	105.494	0.165	0.065	-0.067	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	8.710	14.820	8.515	14.950	2.179	0.234	0.182	0.397	0.017	-0.090	-0.144	100.000	18.070	11.570	35.360	20.020	8.788	19.244	16.011	140.709	0.403	0.262	0.029	100.000	15.015	20.930	18.070	28.795	9.953	8.437	8.208	81.690	-0.136	-0.121	0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
101	100.000	101.000	18.265	10.725	29.965	10.270	9.166	11.709	11.543	105.807	-0.092	-0.065	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	8.645	14.820	8.515	14.950	2.304	0.184	0.161	0.372	-0.021	NaN	0.046	101.000	18.070	11.570	35.685	20.020	8.836	19.537	16.498	145.784	0.487	0.293	NaN	101.000	15.015	20.995	18.070	28.665	10.150	8.256	8.058	81.788	-0.150	-0.121	0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
102	101.000	102.000	18.330	10.790	29.965	10.270	9.166	11.647	11.493	105.346	-0.050	NaN	0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	8.710	14.820	8.580	14.950	2.241	0.184	0.162	0.363	7.150E-4	-0.046	-0.046	102.000	18.070	11.570	35.945	20.020	8.780	19.772	16.669	146.354	0.171	0.235	NaN	102.000	15.015	21.125	18.005	28.535	10.168	7.991	7.821	79.523	-0.237	-0.145	0.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
103	102.000	103.000	18.330	10.790	29.965	10.335	9.083	11.644	11.562	105.017	0.068	-0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	8.840	14.690	8.580	15.015	2.524	0.416	0.372	0.938	0.209	0.051	-0.183	103.000	18.135	11.635	36.205	20.020	8.794	19.921	17.472	153.659	0.803	0.236	0.086	103.000	15.015	21.125	18.005	28.470	10.549	7.930	7.803	82.316	-0.018	-0.060	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
104	103.000	104.000	18.395	10.790	29.900	10.270	9.138	11.517	11.454	104.657	-0.108	-0.062	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	8.970	14.560	8.580	14.885	2.436	0.508	0.383	0.934	0.012	-0.083	-0.183	104.000	18.200	11.700	36.465	20.020	8.852	20.071	17.813	157.677	0.341	0.237	0.086	104.000	15.015	21.125	18.005	28.340	10.604	7.810	7.698	81.627	-0.105	-0.120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
105	104.000	105.000	18.395	10.855	29.965	10.270	9.119	11.585	11.543	105.257	0.089	0.065	-0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	9.035	14.495	8.580	14.885	2.427	0.599	0.447	1.086	0.064	NaN	-0.092	105.000	18.200	11.700	36.530	20.020	8.849	20.130	17.945	158.792	0.132	0.059	NaN	105.000	15.080	21.060	18.005	28.145	10.639	7.665	7.546	80.283	-0.151	-0.180	-0.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
106	105.000	106.000	18.460	10.855	30.030	10.270	9.158	11.585	11.510	105.410	-0.032	0.065	0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	9.100	14.495	8.580	14.885	2.169	0.650	0.463	1.006	0.016	NaN	-0.052	106.000	18.265	11.700	36.660	20.020	8.864	20.189	17.735	157.204	-0.210	0.118	0.059	106.000	15.080	20.930	17.875	28.080	10.276	7.677	7.508	77.153	-0.038	-0.108	-0.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
107	106.000	107.000	18.460	10.855	29.965	10.270	9.159	11.520	11.497	105.304	-0.013	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	9.230	14.300	8.645	14.820	2.409	0.783	0.551	1.327	0.087	-0.092	-0.227	107.000	18.330	11.765	36.855	20.020	8.971	20.281	18.403	165.096	0.668	0.178	0.086	107.000	15.080	20.800	17.875	27.820	10.584	7.556	7.417	78.501	-0.091	-0.242	-0.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
108	107.000	108.000	18.395	10.985	29.965	10.335	9.139	11.588	11.581	105.836	0.084	-0.004	-0.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000	9.295	14.235	8.645	14.950	2.405	0.966	0.715	1.720	0.164	0.096	-0.092	108.000	18.265	11.765	36.920	20.020	8.970	20.400	18.595	166.799	0.191	0.059	-0.059	108.000	15.080	20.930	17.745	27.820	10.783	7.387	7.244	78.116	-0.173	-0.047	0.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
109	108.000	109.000	18.395	10.985	29.965	10.335	9.128	11.588	11.585	105.752	0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.000	9.360	14.040	8.645	14.885	2.341	1.107	0.825	1.931	0.110	-0.050	-0.191	109.000	18.265	11.765	36.725	20.150	8.970	20.275	18.520	166.131	-0.074	-0.124	NaN	109.000	15.080	21.125	17.745	27.755	11.059	7.146	7.045	77.905	-0.200	-0.060	0.181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
110	109.000	110.000	18.395	10.920	29.835	10.270	9.123	11.458	11.457	104.527	-0.128	-0.126	0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000	9.295	14.105	8.645	14.885	2.535	1.015	0.780	1.977	-0.045	NaN	0.092	110.000	18.265	11.765	36.725	20.280	8.972	20.329	18.641	167.247	0.120	0.054	NaN	110.000	15.080	20.995	17.745	27.755	11.059	7.266	7.155	79.130	0.111	NaN	-0.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
111	110.000	111.000	18.395	10.985	29.705	10.270	9.046	11.333	11.332	102.511	-0.126	-0.130	-0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	111.000	9.360	14.040	8.645	14.820	2.600	1.058	0.780	2.028	-4.441E-16	-0.048	-0.092	111.000	18.200	11.765	36.660	20.280	8.846	20.329	18.760	165.954	0.120	-0.059	-0.059	111.000	15.015	21.060	17.745	27.755	11.159	7.230	7.155	79.844	-2.741E-4	NaN	0.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
112	111.000	112.000	18.395	10.985	29.575	10.270	9.111	11.203	11.202	102.063	-0.130	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112.000	9.360	14.040	8.645	14.820	2.601	1.058	0.762	1.982	-0.018	NaN	NaN	112.000	18.200	11.765	36.725	20.215	8.911	20.361	18.821	167.711	0.060	0.032	NaN	112.000	15.080	20.995	17.745	27.755	11.170	7.266	7.163	80.009	0.008	NaN	-0.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
113	112.000	113.000	18.330	11.050	29.510	10.335	9.036	11.203	11.189	101.104	-0.013	-0.069	-0.069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000	9.360	14.040	8.710	14.820	2.861	1.015	0.765	2.189	0.003	-0.042	NaN	113.000	18.265	11.765	36.660	20.215	8.989	20.243	18.906	169.946	0.085	-0.059	0.059	113.000	15.080	20.995	17.745	27.820	11.393	7.327	7.233	82.404	0.070	0.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
114	113.000	114.000	18.720	10.985	29.380	10.400	9.296	10.676	10.667	99.161	-0.522	-0.133	0.393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	9.360	14.040	8.710	14.820	2.926	1.015	0.794	2.324	0.029	NaN	NaN	114.000	18.330	11.895	36.725	20.280	8.939	20.216	19.056	170.348	0.151	0.086	0.113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
