T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	13.845	25.545	542.633	314.368	110.052	134.618
2.000	13.845	25.545	542.703	320.911	110.040	134.484
3.000	13.715	25.545	541.607	320.907	110.003	134.303
4.000	13.715	25.480	542.747	325.599	110.029	134.108
5.000	13.650	25.675	542.195	327.645	110.024	134.151
6.000	13.910	25.545	538.412	328.153	109.971	134.607
7.000	13.845	25.610	540.044	330.071	109.958	134.631
8.000	13.845	25.480	541.782	328.883	110.035	134.798
9.000	13.845	25.675	542.607	330.071	110.031	134.855
10.000	13.910	25.480	544.803	329.727	110.015	134.470
11.000	13.910	25.545	544.443	327.079	109.973	134.788
12.000	13.910	25.545	547.014	325.647	110.032	135.109
13.000	13.975	25.740	546.398	323.889	110.050	135.510
14.000	13.975	25.675	545.905	325.560	110.026	135.516
15.000	13.975	25.675	544.885	327.555	110.091	135.744
16.000	14.040	25.610	543.836	328.578	110.080	135.866
17.000	13.975	25.805	539.278	321.861	110.032	136.154
18.000	13.910	25.480	537.280	323.506	110.054	135.881
19.000	13.910	25.415	540.448	321.173	110.059	136.043
20.000	13.910	25.610	540.751	320.317	110.118	136.119
21.000	13.910	25.480	544.902	320.630	110.121	136.149
22.000	13.910	25.545	543.969	321.435	110.070	135.596
23.000	16.575	25.415	504.181	329.676	110.038	135.652
24.000	13.845	25.350	543.937	324.430	110.051	135.674
25.000	16.705	25.480	506.993	333.724	110.069	134.993
26.000	16.835	25.415	506.799	333.040	110.074	136.047
27.000	16.965	25.675	506.931	329.892	110.137	135.742
28.000	16.965	25.935	504.775	329.622	110.106	135.984
29.000	16.900	25.805	502.753	331.430	110.090	136.260
30.000	16.965	25.805	500.145	331.900	110.122	136.061
31.000	16.835	25.870	500.133	330.349	110.122	136.057
32.000	16.900	25.870	496.809	329.322	110.131	135.637
33.000	16.900	25.935	501.595	328.204	110.100	136.064
34.000	16.900	25.935	493.100	322.822	110.060	135.530
35.000	16.900	26.000	497.073	319.787	110.075	135.952
36.000	16.900	25.870	487.311	315.889	110.011	135.271
37.000	16.835	25.090	500.839	314.202	110.094	136.135
38.000	16.900	25.935	495.024	314.727	110.061	135.800
39.000	16.705	25.935	495.850	313.934	110.037	136.017
40.000	16.640	25.935	492.076	311.819	110.000	136.098
41.000	16.510	26.000	495.403	314.542	110.112	136.260
42.000	16.640	26.065	495.011	311.252	110.124	136.609
43.000	16.900	26.000	496.532	313.260	110.113	136.572
44.000	16.640	25.935	496.464	310.907	110.125	136.485
45.000	16.770	25.870	491.525	312.397	110.090	136.612
46.000	16.705	25.870	494.529	313.372	110.159	136.480
47.000	16.640	25.740	496.276	312.467	110.136	136.419
48.000	16.510	25.610	499.365	312.867	110.185	136.138
49.000	16.510	25.610	500.239	313.105	110.203	136.695
50.000	16.510	25.740	502.805	315.541	110.179	136.181
51.000	16.445	25.610	503.430	311.576	110.182	136.401
52.000	16.250	25.805	506.780	310.697	110.296	136.996
53.000	16.250	25.805	504.834	307.406	110.220	136.817
54.000	16.185	25.740	505.709	305.337	110.193	136.950
55.000	16.185	25.675	509.673	304.265	110.265	137.281
56.000	16.250	25.805	511.109	300.654	110.308	137.433
57.000	15.990	26.065	508.437	297.797	110.296	137.491
58.000	16.055	25.935	513.283	297.586	110.316	137.542
59.000	16.120	25.935	511.951	299.565	110.288	137.601
60.000	16.055	26.130	513.165	300.091	110.330	137.999
61.000	16.055	26.130	513.488	298.435	110.330	138.141
62.000	15.795	26.065	517.285	299.597	110.410	138.612
63.000	15.730	25.935	515.605	301.227	110.335	138.364
64.000	15.600	25.870	521.820	299.186	110.461	138.997
65.000	16.120	25.480	518.933	295.331	110.386	138.675
66.000	15.535	25.350	521.189	294.055	110.362	138.627
67.000	16.120	25.285	518.297	292.058	110.355	138.771
68.000	15.405	25.350	523.494	289.475	110.382	138.592
69.000	15.405	25.155	522.797	292.070	110.366	138.366
70.000	15.340	25.220	521.215	290.501	110.374	138.428
71.000	15.275	25.285	520.572	288.109	110.322	138.138
72.000	15.340	25.350	522.035	288.684	110.380	138.237
73.000	15.860	25.155	517.198	289.605	110.323	137.978
74.000	15.145	25.220	522.982	285.896	110.341	138.095
75.000	15.145	25.220	521.889	284.661	110.295	137.686
76.000	15.665	25.415	519.340	285.184	110.326	137.986
77.000	15.145	25.220	524.739	287.389	110.408	138.342
78.000	15.145	25.350	526.419	287.995	110.430	138.474
79.000	15.080	25.545	525.479	287.601	110.401	138.919
80.000	14.950	25.675	527.729	289.367	110.443	138.912
81.000	14.885	25.675	529.655	292.363	110.484	139.274
82.000	15.080	25.740	526.869	292.706	110.423	139.108
83.000	14.885	25.675	535.030	292.724	110.467	139.501
84.000	14.950	25.805	530.346	293.341	110.498	139.460
85.000	15.015	25.675	530.916	298.455	110.497	139.487
86.000	15.015	25.415	527.720	296.066	110.418	139.792
87.000	15.015	25.870	530.882	295.631	110.549	140.287
88.000	15.015	25.480	531.896	290.380	110.547	140.595
89.000	15.080	25.480	530.242	291.424	110.546	140.358
90.000	15.145	25.350	535.152	292.140	110.580	141.026
91.000	15.210	26.065	529.623	289.904	110.566	140.913
92.000	15.340	26.065	530.055	289.076	110.655	141.550
93.000	15.405	26.130	525.787	287.510	110.624	141.003
94.000	15.535	26.260	527.079	287.936	110.611	140.900
95.000	15.600	25.220	528.845	284.195	110.557	140.340
96.000	15.600	25.155	530.745	284.940	110.522	140.421
97.000	15.665	25.935	523.650	284.853	110.606	140.845
98.000	15.665	26.000	527.390	285.660	110.693	141.309
99.000	15.600	26.000	527.774	282.126	110.644	141.464
100.000	15.600	25.805	533.257	282.245	110.715	141.698
101.000	15.535	25.090	539.336	280.830	110.768	142.168
102.000	15.535	25.480	534.273	282.995	110.752	142.021
103.000	15.405	25.545	533.179	279.905	110.680	141.847
104.000	15.600	25.155	528.756	283.124	110.653	141.775
105.000	15.340	25.090	532.879	284.134	110.749	141.743
106.000	15.535	25.220	529.327	283.760	110.585	141.316
107.000	15.405	25.090	533.318	284.575	110.664	141.571
108.000	15.470	25.220	536.126	284.019	110.667	141.547
109.000	15.470	25.415	534.940	284.470	110.763	142.096
110.000	15.405	25.480	533.059	285.980	110.735	141.387
111.000	15.600	25.415	526.795	286.730	110.686	141.477
112.000	15.600	25.545	524.197	287.696	110.629	140.831
113.000	15.860	25.480	523.086	289.335	110.610	140.679
114.000	16.055	25.545	530.820	285.987	110.680	140.996
115.000	16.055	25.480	534.418	287.835	110.684	141.092
116.000	16.055	25.480	529.526	288.988	110.659	140.713
117.000	15.925	25.610	532.141	287.308	110.692	140.790
118.000	15.925	25.610	535.223	289.055	110.725	140.969
119.000	15.795	25.740	539.680	291.087	110.786	141.106
120.000	15.730	25.610	535.471	290.204	110.728	140.726
121.000	15.730	25.675	534.996	287.101	110.662	140.694
