T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	18.525	10.790	1281.583	704.846	131.168	198.418
2.000	18.525	10.855	1254.801	695.604	130.673	196.020
3.000	18.460	10.855	1258.761	688.023	130.969	197.218
4.000	18.395	10.725	1247.617	684.910	130.923	196.535
5.000	18.330	10.595	1241.947	681.004	130.864	195.885
6.000	18.265	10.595	1243.959	679.015	131.200	195.493
7.000	17.875	10.660	1240.357	677.165	131.087	195.164
8.000	17.810	10.595	1231.463	677.025	130.866	194.243
9.000	17.745	10.595	1230.680	676.993	130.825	194.049
10.000	17.940	10.595	1236.144	685.928	130.888	193.885
11.000	17.810	10.595	1229.382	685.880	130.822	193.244
12.000	17.745	10.790	1224.405	691.353	130.635	193.218
13.000	17.810	10.855	1236.253	701.912	130.884	193.607
14.000	17.745	10.790	1235.242	708.849	130.432	192.948
15.000	17.680	10.790	1245.053	713.465	130.296	192.864
16.000	17.550	10.790	1235.452	717.366	130.149	191.869
17.000	17.810	10.985	1234.621	727.328	130.098	191.099
18.000	17.745	10.790	1242.319	733.039	130.184	191.679
19.000	17.680	10.855	1246.413	740.322	130.208	191.770
20.000	17.810	10.920	1243.650	740.566	129.827	189.729
21.000	17.745	11.115	1250.120	745.032	129.811	188.849
22.000	18.005	10.725	1244.782	745.934	129.376	186.425
23.000	17.810	10.855	1256.530	737.671	129.415	186.093
24.000	17.810	10.920	1241.592	719.326	129.070	184.443
25.000	17.810	11.115	1240.319	719.887	129.113	184.212
26.000	18.005	11.245	1236.160	717.229	129.015	183.795
27.000	17.875	11.180	1237.003	715.275	128.600	182.094
28.000	17.940	11.440	1231.182	716.932	128.444	181.590
29.000	18.200	11.570	1237.210	708.365	128.430	181.680
30.000	18.265	11.570	1225.522	696.963	128.230	181.152
31.000	18.135	11.700	1227.394	689.205	128.196	181.159
32.000	18.135	11.700	1225.637	684.483	128.123	181.560
33.000	18.070	11.765	1217.478	681.575	127.874	180.628
34.000	17.875	11.895	1217.136	673.605	127.839	180.529
35.000	17.680	12.025	1217.145	657.074	127.846	180.898
36.000	17.615	12.155	1204.805	650.414	127.883	180.377
37.000	17.485	12.155	1203.103	641.745	127.876	180.873
38.000	17.355	12.155	1201.263	638.928	127.790	180.996
39.000	17.355	12.155	1198.223	626.730	127.679	180.902
40.000	17.225	12.220	1185.031	621.852	127.350	180.035
41.000	17.225	12.285	1177.483	615.889	127.288	179.365
42.000	17.290	12.285	1177.774	609.863	127.658	180.140
43.000	17.095	12.285	1174.210	606.319	127.432	179.904
44.000	16.900	12.415	1174.865	611.369	127.666	180.529
45.000	17.160	12.545	1162.584	607.787	127.734	181.079
