 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)
24	23.000	24.000	21.385	21.190	22.815	20.670	8.611	1.522	1.503	12.945	1.503	0.022	0.244	24.000	21.645	22.620	26.065	19.890	8.264	5.195	5.074	41.929	0.035	0.145	-0.013	24.000	25.805	27.885	33.215	28.795	12.226	7.466	7.438	90.930	7.438	NaN	NaN	24.000	27.625	29.575	35.425	29.315	14.413	7.804	7.381	106.386	7.381	0.130	-5.463	24.000	22.685	33.215	27.885	40.950	11.832	9.320	9.026	106.804	-0.313	NaN	0.036	36.000	18.395	27.040	17.030	28.015	1.898	1.677	-0.474	-0.900	0.123	-0.196	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	24.505	24.895	26.390	23.660	9.171	2.254	1.928	17.677	-0.530	NaN	0.667	87.000	23.465	33.150	23.270	34.385	11.154	1.250	0.658	7.343	0.130	NaN	-0.257	92.000	30.550	29.770	31.525	29.575	15.655	0.994	0.901	14.107	-0.269	NaN	0.242	102.000	24.310	26.390	24.310	26.260	8.822	0.130	-0.013	-0.118	0.092	NaN	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	25.415	26.780	28.340	25.220	9.441	3.315	2.696	25.451	-9.517E-4	0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	24.000	25.000	21.060	21.190	22.815	20.670	6.113	1.830	1.615	9.874	0.112	NaN	-0.312	25.000	21.710	22.620	26.065	19.890	5.765	5.140	5.136	29.605	0.062	NaN	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	22.750	33.280	27.755	40.885	9.868	9.104	9.077	89.574	0.051	-0.126	0.090	37.000	18.395	26.910	17.095	27.950	2.397	1.665	-0.056	-0.135	0.418	-0.091	-0.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	24.375	25.025	26.455	23.595	9.104	2.524	2.120	19.300	0.192	0.090	-0.181	88.000	23.270	33.280	23.270	34.450	11.357	1.170	0.804	9.126	0.145	0.065	0.130	93.000	30.680	29.705	31.590	29.640	15.688	0.912	0.871	13.668	-0.030	0.060	0.134	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	30.875	30.030	32.500	30.030	16.076	1.625	1.551	24.928	1.551	0.065	0.260	115.000	25.350	26.715	28.275	25.285	9.377	3.256	2.711	25.422	0.015	-0.087	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
26	25.000	26.000	20.930	21.385	22.815	20.670	5.745	2.016	1.845	10.601	0.230	NaN	-0.191	26.000	21.580	22.685	26.065	19.955	5.474	5.251	5.249	28.734	0.113	-0.034	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	22.750	33.280	27.690	40.755	9.841	8.960	8.943	88.011	-0.134	-0.144	NaN	38.000	18.330	26.975	17.225	27.885	1.768	1.431	-0.358	-0.634	-0.302	-0.142	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	24.180	25.155	26.585	23.465	8.842	2.939	2.442	21.590	0.322	0.181	-0.234	89.000	23.270	33.280	23.270	34.515	11.310	1.235	0.852	9.633	0.048	0.065	NaN	94.000	30.875	29.705	31.590	29.575	15.722	0.727	0.669	10.520	-0.202	0.012	0.192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	30.550	30.030	32.630	30.030	15.930	2.080	1.977	31.502	0.427	0.130	-0.325	116.000	25.220	26.715	28.405	25.220	9.248	3.518	2.957	27.344	0.246	0.145	-0.118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27	26.000	27.000	20.930	21.385	22.685	20.735	5.842	1.872	1.669	9.747	-0.176	-0.144	NaN	27.000	21.645	22.685	26.065	19.890	5.554	5.230	5.230	29.043	-0.019	0.035	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	23.010	33.800	27.625	40.690	10.127	8.293	8.283	83.879	-0.661	-0.090	0.577	39.000	18.395	26.975	17.225	27.820	1.984	1.443	-0.554	-1.099	-0.195	-0.038	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	24.115	25.285	26.650	23.465	8.256	3.121	2.506	20.690	0.064	0.053	-0.129	90.000	23.335	33.085	23.270	34.580	11.265	1.496	0.979	11.031	0.128	0.065	-0.198	95.000	31.005	29.640	31.590	29.575	16.027	0.589	0.544	8.725	-0.125	NaN	0.136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000	30.485	30.095	32.825	30.095	15.787	2.340	2.226	35.135	0.248	0.195	-0.065	117.000	25.285	26.650	28.470	25.220	9.418	3.491	3.008	28.324	0.051	0.059	0.086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28	27.000	28.000	21.060	21.320	22.750	20.735	6.170	1.788	1.559	9.620	-0.109	0.061	0.144	28.000	21.775	22.750	26.065	19.955	5.769	5.120	5.120	29.537	-0.109	-0.035	0.073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	23.205	34.125	27.560	40.625	10.296	7.824	7.810	80.410	-0.473	-0.090	0.379	40.000	18.395	26.975	17.225	27.820	2.040	1.443	-0.576	-1.175	-0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	24.115	25.415	26.715	23.400	8.972	3.289	2.556	22.929	0.050	0.091	-0.080	91.000	23.400	32.825	23.270	34.645	10.619	1.825	1.058	11.239	0.079	0.065	-0.264	96.000	31.070	29.705	31.525	29.575	16.125	0.473	0.400	6.447	-0.145	-0.062	0.045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.000	30.550	30.095	33.020	30.095	15.790	2.470	2.359	37.248	0.133	0.195	0.065	118.000	25.285	26.585	28.600	25.090	9.411	3.637	3.142	29.571	0.135	0.172	0.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	28.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	21.775	22.620	26.000	19.955	5.823	4.995	4.995	29.085	-0.125	-0.055	0.069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	23.140	34.060	27.560	40.560	10.348	7.860	7.851	81.238	0.041	-0.054	-0.090	41.000	18.330	26.845	17.225	27.820	2.007	1.474	-0.592	-1.187	-0.016	NaN	-0.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	24.245	25.350	26.780	23.400	9.101	3.198	2.507	22.815	-0.049	0.052	0.143	92.000	23.465	32.890	23.205	34.645	10.611	1.774	0.930	9.865	-0.129	0.010	0.055	97.000	31.135	29.705	31.590	29.575	15.923	0.473	0.411	6.549	0.011	0.062	0.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000	30.485	30.160	33.150	30.030	15.790	2.668	2.507	39.580	0.148	0.133	-0.068	119.000	25.155	26.650	28.665	24.895	9.404	3.924	3.324	31.257	0.181	0.145	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30	29.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	21.710	22.685	26.000	19.955	5.679	5.085	5.084	28.874	0.090	NaN	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	23.075	33.865	27.430	40.430	10.114	7.878	7.863	79.523	0.012	-0.180	-0.198	42.000	18.330	26.845	17.420	27.690	1.861	1.242	-0.472	-0.879	0.120	-0.231	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	24.310	25.350	26.715	23.400	8.645	3.096	2.420	20.918	-0.087	-0.050	0.050	93.000	23.465	32.760	23.270	34.645	10.436	1.895	1.047	10.926	0.117	-0.007	-0.129	98.000	31.135	29.640	31.655	29.575	15.892	0.524	0.491	7.808	0.080	0.064	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	25.285	26.650	28.665	24.830	9.611	3.839	3.163	30.403	-0.160	0.031	0.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31	30.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	21.515	22.490	26.000	19.955	5.773	5.152	5.120	29.558	0.036	NaN	-0.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	23.075	33.995	27.300	40.300	10.245	7.590	7.574	77.592	-0.289	-0.180	0.108	43.000	18.330	26.910	17.420	27.625	1.695	1.157	-0.384	-0.651	0.088	-0.040	0.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	24.180	25.415	26.650	23.530	9.037	3.107	2.429	21.949	0.009	-0.131	-0.143	94.000	23.595	32.630	23.270	34.580	10.273	1.977	0.954	9.802	-0.093	-0.064	-0.150	99.000	31.070	29.640	31.720	29.510	15.892	0.663	0.603	9.582	0.112	0.076	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112.000	31.070	29.965	33.475	30.095	16.089	2.409	2.348	37.780	2.348	0.198	0.396	121.000	25.220	26.650	28.860	24.830	9.540	4.070	3.435	32.769	0.272	0.174	-0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	31.000	32.000	21.385	21.125	22.750	20.670	6.529	1.439	1.268	8.281	1.268	0.021	0.206	32.000	21.515	22.490	26.065	19.890	5.720	5.240	5.207	29.786	0.087	0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	23.205	34.125	27.235	40.235	10.387	7.319	7.302	75.847	-0.272	-0.090	0.180	44.000	18.330	26.845	17.550	27.495	1.919	1.015	-0.379	-0.727	0.005	-0.183	-0.042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	24.050	25.610	26.455	23.725	8.909	3.056	2.349	20.926	-0.080	-0.274	-0.223	95.000	23.530	32.695	23.205	34.645	10.898	1.977	1.101	11.999	0.147	0.075	0.075	100.000	31.005	29.640	31.655	29.510	15.875	0.663	0.599	9.515	-0.004	-0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000	31.525	29.965	33.670	30.160	16.294	2.154	2.116	34.476	-0.232	0.200	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
33	32.000	33.000	20.995	21.320	22.750	20.735	6.170	1.850	1.602	9.887	0.334	-0.021	-0.432	33.000	21.515	22.490	26.065	19.890	5.759	5.240	5.201	29.955	-0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	23.335	34.255	27.170	40.105	10.518	6.995	6.974	73.350	-0.328	-0.144	0.180	45.000	18.395	26.780	17.615	27.430	1.862	1.015	-0.363	-0.676	0.016	-0.092	-0.092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	23.595	32.630	23.270	34.645	10.945	2.041	1.139	12.464	0.038	-0.010	-0.075	101.000	30.940	29.705	31.720	29.510	16.081	0.804	0.691	11.116	0.092	0.063	-0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.000	32.045	29.965	33.800	30.160	16.590	1.766	1.744	28.924	-0.372	0.129	0.517	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34	33.000	34.000	21.255	21.125	22.750	20.735	6.489	1.545	1.293	8.387	-0.310	NaN	0.301	34.000	21.580	22.425	26.065	19.890	5.850	5.152	5.109	29.888	-0.092	NaN	0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	23.140	34.190	27.105	39.975	10.348	7.013	7.006	72.497	0.032	-0.144	-0.164	46.000	18.395	26.780	17.680	27.365	1.919	0.924	-0.352	-0.676	0.011	-0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	23.595	32.565	23.270	34.580	10.336	2.041	1.043	10.782	-0.096	-0.064	-0.064	102.000	30.810	29.705	31.850	29.510	15.849	1.058	0.950	15.062	0.259	0.128	-0.128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.000	31.980	29.900	33.930	30.225	16.527	1.977	1.966	32.490	0.222	0.139	-0.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35	34.000	35.000	21.060	21.255	22.750	20.800	6.310	1.750	1.456	9.189	0.164	-0.017	-0.222	35.000	21.580	22.425	26.000	19.890	5.889	5.095	5.051	29.748	-0.058	-0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	23.335	34.255	27.040	39.910	10.467	6.761	6.738	70.524	-0.268	-0.090	0.161	47.000	18.460	26.845	17.745	27.365	2.129	0.884	-0.341	-0.727	0.011	-0.053	-0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	23.725	32.565	23.270	34.580	10.395	2.066	0.920	9.561	-0.123	NaN	-0.029	103.000	30.680	29.705	31.785	29.575	15.831	1.113	1.032	16.338	0.082	-0.072	-0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	116.000	31.915	29.900	33.995	30.225	16.464	2.105	2.091	34.425	0.125	0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36	35.000	36.000	21.060	21.320	22.750	20.735	6.165	1.788	1.572	9.692	0.116	0.021	-0.021	36.000	21.515	22.295	25.935	19.955	5.838	5.001	4.927	28.764	-0.124	-0.088	0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	23.270	34.060	26.910	39.845	10.376	6.835	6.801	70.566	0.063	-0.124	-0.200	48.000	18.395	26.910	17.875	27.300	2.290	0.650	-0.207	-0.473	0.135	-0.143	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	23.660	32.565	23.270	34.580	10.395	2.052	0.970	10.085	0.050	NaN	0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.000	31.785	29.900	34.190	30.225	16.430	2.427	2.406	39.538	0.316	0.193	-0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37	36.000	37.000	21.320	21.320	22.750	20.735	5.859	1.545	1.471	8.619	-0.101	NaN	0.241	37.000	21.450	22.100	25.740	20.085	5.499	4.740	4.696	25.823	-0.231	-0.232	0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	22.815	32.435	26.845	39.715	9.472	8.321	8.190	77.571	1.389	-0.145	-1.642	49.000	18.395	26.845	18.070	27.300	2.254	0.559	-0.022	-0.051	0.184	-0.113	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	23.660	32.500	23.270	34.580	10.478	2.116	1.029	10.782	0.059	NaN	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.000	31.785	29.900	34.385	30.225	16.430	2.620	2.595	42.630	0.188	0.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38	37.000	38.000	21.255	21.385	22.750	20.800	6.298	1.605	1.456	9.172	-0.015	-0.024	-0.084	38.000	21.385	22.035	25.545	20.150	5.944	4.567	4.376	26.009	-0.320	-0.204	-0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	23.335	34.190	26.715	39.520	10.467	6.311	6.282	65.749	-1.908	-0.234	1.761	50.000	18.070	27.170	17.940	27.235	2.116	0.145	-0.052	-0.110	-0.029	0.087	0.436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	23.595	32.630	23.270	34.580	11.037	1.977	1.095	12.084	0.066	NaN	0.139	106.000	30.940	29.575	31.915	29.510	16.009	0.977	0.921	14.737	0.921	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.000	31.525	29.965	34.580	30.355	16.288	3.080	3.052	49.703	0.457	0.210	-0.250	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39	38.000	39.000	21.515	21.515	22.620	20.930	6.532	1.250	1.209	7.901	-0.247	-0.176	0.169	39.000	21.515	21.905	25.545	20.150	6.275	4.396	4.216	26.457	-0.160	NaN	0.171	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	23.335	34.190	26.650	39.390	10.588	6.167	6.130	64.904	-0.152	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	23.595	32.630	23.270	34.515	10.774	1.913	1.008	10.858	-0.087	-0.064	NaN	107.000	30.745	29.510	32.045	29.510	15.964	1.300	1.249	19.942	0.329	0.130	-0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000	31.395	29.965	34.905	30.420	16.259	3.539	3.504	56.966	0.452	0.331	-0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
