T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	22.620	19.825	689.779	419.534	114.579	152.538
2.000	22.620	19.825	665.910	405.467	114.068	149.479
3.000	22.620	19.825	666.050	409.203	114.249	150.087
4.000	22.685	19.760	662.360	408.931	114.211	149.592
5.000	22.555	19.825	661.628	410.434	114.240	149.231
6.000	22.490	19.825	614.820	382.295	113.042	144.142
7.000	22.425	19.630	608.417	385.932	113.106	144.210
8.000	22.425	19.630	609.357	385.378	113.068	143.896
9.000	22.490	19.890	611.380	380.985	113.143	144.089
10.000	22.620	19.695	609.845	385.839	113.067	143.895
11.000	22.555	19.630	606.591	386.060	113.083	143.816
12.000	22.490	19.630	611.134	387.593	113.284	144.034
13.000	22.555	19.760	611.377	385.347	113.262	144.144
14.000	22.490	19.825	610.876	384.224	113.244	143.883
15.000	22.425	19.760	612.347	384.735	113.281	143.874
16.000	22.425	19.825	612.758	382.753	113.208	144.158
17.000	22.425	19.825	612.040	382.057	113.333	144.135
18.000	22.360	19.955	616.738	383.204	113.401	144.030
19.000	22.360	19.890	613.865	380.681	113.359	143.834
20.000	22.360	19.890	614.511	378.085	113.402	144.067
21.000	22.425	19.890	615.416	378.081	113.381	144.236
22.000	22.360	20.085	610.665	372.241	113.254	143.949
23.000	22.165	19.955	616.813	374.023	113.357	144.277
24.000	22.100	19.955	620.109	374.966	113.382	144.663
25.000	22.100	19.890	618.145	373.386	113.405	144.683
26.000	22.100	19.825	613.910	375.872	113.509	144.885
27.000	22.100	19.825	616.055	376.499	113.506	144.861
28.000	22.295	19.890	613.877	376.357	113.472	145.123
29.000	22.425	19.825	616.751	376.773	113.514	145.281
30.000	22.425	19.890	613.832	376.234	113.529	145.246
31.000	22.230	19.825	620.308	378.162	113.684	145.564
32.000	22.230	19.760	621.100	376.539	113.675	145.786
33.000	22.425	19.760	619.871	379.539	113.695	145.568
34.000	22.295	19.760	619.400	376.153	113.604	145.525
35.000	22.295	19.370	622.717	378.191	113.698	145.685
36.000	22.165	19.305	624.234	373.044	113.601	145.618
37.000	22.425	19.695	630.107	370.503	113.718	146.406
38.000	22.490	19.565	630.923	370.227	113.778	146.657
39.000	21.710	20.085	643.040	366.324	113.753	146.365
40.000	21.710	20.150	642.980	366.553	113.794	146.235
41.000	21.645	20.085	642.364	365.840	113.768	146.132
42.000	21.840	20.085	640.213	362.991	113.771	146.219
43.000	21.775	20.085	639.672	361.134	113.716	145.831
44.000	21.840	20.150	642.943	362.281	113.809	146.206
45.000	21.970	20.150	641.292	361.396	113.774	146.013
46.000	22.035	20.085	639.254	358.626	113.578	144.749
47.000	21.905	20.150	640.303	359.376	113.812	146.167
48.000	21.905	20.150	643.576	359.917	113.836	145.922
49.000	21.905	20.020	644.037	360.391	113.779	145.506
50.000	21.840	20.085	643.225	358.146	113.832	145.892
51.000	21.775	20.085	642.406	358.608	113.825	145.999
52.000	21.840	20.020	639.220	356.360	113.805	145.400
53.000	21.710	20.020	639.287	356.060	113.717	145.033
54.000	21.645	20.085	642.628	357.610	113.806	144.837
55.000	21.710	20.020	641.457	358.471	113.742	144.608
56.000	21.710	20.020	644.603	357.347	113.780	144.861
57.000	21.645	19.955	647.560	359.446	113.885	144.932
