T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	12.480	11.765	476.512	215.591	109.240	130.965
2.000	12.415	11.635	454.961	204.714	108.588	128.590
3.000	12.480	11.570	454.973	204.629	108.629	128.574
4.000	12.415	11.505	454.213	207.335	108.668	128.265
5.000	12.350	11.375	451.543	207.382	108.585	127.972
6.000	11.895	11.440	453.650	210.135	108.649	127.999
7.000	11.895	11.310	454.454	209.604	108.587	127.880
8.000	11.700	11.115	455.829	209.802	108.614	127.771
9.000	11.635	11.115	455.891	209.245	108.612	127.816
10.000	11.570	11.310	453.427	207.443	108.599	127.703
11.000	11.570	10.985	451.954	206.906	108.602	127.523
12.000	11.505	10.790	453.155	205.444	108.669	127.655
13.000	11.505	10.790	450.617	202.698	108.634	127.607
14.000	11.505	11.375	447.025	203.210	108.613	127.443
15.000	11.440	11.830	443.711	199.219	108.629	127.499
16.000	11.375	11.765	441.112	197.639	108.513	127.643
17.000	11.570	11.700	439.019	196.719	108.549	127.632
18.000	11.440	11.375	437.115	194.836	108.540	127.625
19.000	11.310	11.310	435.257	193.655	108.529	127.738
20.000	11.180	10.335	438.811	194.917	108.430	127.590
21.000	11.440	11.830	430.196	195.698	108.431	127.801
22.000	11.310	11.895	432.180	198.767	108.382	127.649
23.000	11.570	10.270	442.482	196.225	108.387	128.066
24.000	11.505	11.895	437.928	201.374	108.390	127.992
25.000	11.440	10.140	445.857	199.380	108.367	127.922
26.000	11.505	11.570	441.274	203.214	108.343	127.964
27.000	11.505	11.505	443.548	203.515	108.361	128.390
28.000	10.985	11.375	444.177	204.079	108.318	127.908
29.000	10.985	11.245	444.937	204.339	108.269	127.585
30.000	10.920	10.400	447.441	200.138	108.308	127.507
31.000	10.920	11.375	441.550	202.432	108.261	127.344
32.000	10.855	11.375	439.663	200.855	108.288	127.353
33.000	10.855	11.245	436.569	202.951	108.179	126.954
34.000	10.855	11.050	438.927	201.573	108.295	127.330
35.000	10.855	10.465	441.864	202.853	108.232	126.989
36.000	10.985	10.660	440.900	203.556	108.229	127.014
37.000	10.855	10.465	440.982	202.469	108.134	126.846
38.000	10.790	10.530	444.584	205.782	108.122	126.869
39.000	10.725	10.335	446.971	207.036	108.109	126.805
40.000	10.725	10.335	446.753	207.917	108.107	126.893
41.000	10.595	10.465	449.896	209.986	108.073	126.858
42.000	10.595	10.400	451.084	211.586	108.093	127.024
43.000	10.530	10.335	452.721	213.708	108.037	126.836
44.000	10.400	10.400	456.934	215.089	108.096	127.103
45.000	10.400	10.335	458.368	217.749	108.065	126.905
46.000	10.400	10.205	456.741	216.196	107.962	126.748
47.000	10.400	10.205	459.626	218.350	108.045	127.007
48.000	10.270	10.270	458.285	220.239	107.933	126.459
49.000	10.270	10.530	460.790	220.490	108.023	126.628
50.000	10.335	10.335	458.672	220.476	108.005	126.743
51.000	10.270	10.400	461.043	223.335	107.987	126.537
52.000	10.335	10.335	459.431	222.347	108.004	126.685
53.000	10.400	10.335	460.318	222.139	108.062	127.105
54.000	10.335	10.400	459.018	223.134	108.013	126.969
55.000	10.270	10.270	458.782	222.962	108.031	126.838
